category,user,tweet,time
4G,TopTrend1,"#Android #Tablets Samsung Galaxy Tab S SM-T807A 10.5"" Wi-Fi + 4G (AT&amp;T) Android Tablet 16GB - Gray… https://t.co/T1Knsxr3TH",Tue May 09 00:05:19 +0000 2017
4G,CheriseWildes,"#Android #Tablets Samsung Galaxy Tab S SM-T807A 10.5"" Wi-Fi + 4G (AT&amp;T) Android Tablet 16GB - Gray… https://t.co/KPUb6exnbd",Tue May 09 00:05:16 +0000 2017
4G,jtribeapps,Jelly Is the World's Smallest 4G Smartphone https://t.co/1Wmb2pPXpg,Tue May 09 00:05:02 +0000 2017
4G,yetty_49,RT @sbf00293203: @trinitysfaith @GregPettys @NH_Hockey_12 @LordJesus111 @BAM_4G_Radio @doucefeline @alisawoodard6 @OneiTaH @darhar981 @oliv…,Tue May 09 00:04:15 +0000 2017
4G,Nickstar_Gaming,@RedNickss @YouTube My stupid 4g https://t.co/mXiwcgz4GN,Tue May 09 00:03:32 +0000 2017
4G,Nickstar_Gaming,@RedNickss My dump 4g https://t.co/rHl16Vf8CG,Tue May 09 00:02:24 +0000 2017
4G,yetty_49,RT @McdougaldR: @bobonfarm @JamesSager @BAM_4G_Radio @ChristianInst @Pra_Raquell @mosssithole @FREEBetsyB @GregPettys @NH_Hockey_12 @beverl…,Tue May 09 00:02:15 +0000 2017
4G,DubaiTrends,"RT @3b2: Samsung Galaxy S8+ Dual Sim - 64GB, 4G LTE,Midnight Black https://t.co/YN1FaRFNrk https://t.co/CSi6BA5Po1",Tue May 09 00:00:26 +0000 2017
4G,AbuDhabiLife,"RT @3b2: Samsung Galaxy S8+ Dual Sim - 64GB, 4G LTE,Midnight Black https://t.co/YN1FaRFNrk https://t.co/CSi6BA5Po1",Tue May 09 00:00:26 +0000 2017
4G,michaelbkr,"RT @MiLBMariners: Joe Rizzo since joining Clinton:
4G, 8-16, 2 2B, R, 2RBI, BB, 3K. #LumberKings",Tue May 09 00:00:09 +0000 2017
4G,coolappsdaily,"Airtel, Ola Partner to Offer &amp;#039;Integrated Digital Offerings&amp;#039; to Their Customers  https://t.co/W7Q5C6e7AX",Tue May 09 00:00:04 +0000 2017
4G,ASTACforAK,Whaling Captain Ben Tagarook was thrilled to be on #ASTAC’s 4G network and have service as far as 7 miles away... https://t.co/ipoja1PSfC,Tue May 09 00:00:03 +0000 2017
4G,PoppularD,Check out Apple iPhone 5S 16GB 4G LTE Straight Talk Prepaid Smartphone ME350LL/A SpaceGray https://t.co/ppSFvcE4Tx @eBay Make offer,Mon May 08 23:59:14 +0000 2017
4G,mashableng,Archive: Specifications and review of #Intex Aqua Prime 4G https://t.co/uUkGTSoD2D #aquaprime4g,Mon May 08 23:59:09 +0000 2017
4G,GabrielleMary55,@Blessttt @exousia35 @blessedlady7777 @doucefeline @laura_guitard @aref4950 @DrKieva @AHeartofVirtue @WhatASaviour7… https://t.co/zH4Gnkl7Ug,Mon May 08 23:58:34 +0000 2017
4G,mashableng,Archive: #Smile To Expand #4G across #Africa https://t.co/36Esgsk6Oa,Mon May 08 23:58:17 +0000 2017
4G,greg_fisher,Jelly Is the World's Smallest 4G Smartphone https://t.co/NSNjm24FkA,Mon May 08 23:58:00 +0000 2017
4G,JackLomer,BlackBerry Z30 16GB  Black (Verizon) Smartphone Unlocked GSM LTE 4G Great giveaway RT &amp; Follow https://t.co/OOTiKcs2BQ,Mon May 08 23:57:44 +0000 2017
4G,craigmcnhibs,"RT @newsworthy_ie: Come to Achill for the sun, sea and sand.

Stay for the reliable 4G.

@achilltourism https://t.co/GtKeQrI9jE",Mon May 08 23:57:31 +0000 2017
4G,jwalsh4225,"RT @Joe_Lombardi: Suffolk: Miller Place 15, Bayport-Blue Point 7, F. MP: Kevin Gersbeck 2-5, Anthony Beck 3-2, Patrick Doyen 4G, Jack Walsh…",Mon May 08 23:57:28 +0000 2017
4G,EnanoO_4G,Glenn Howerton Comedy A.P. Bio Scores Series Order at NBC https://t.co/8QGW4PagHj,Mon May 08 23:57:14 +0000 2017
4G,eBayDailyDealer,"Manufacturer Refurbished! Amazon Kindle Fire HDX 7, 32GB, Wi-Fi + 4G (AT https://t.co/6i9xwZAOxe https://t.co/YOIgoWfu3S",Mon May 08 23:57:08 +0000 2017
4G,GabrielleMary55,RT @Blessttt: @exousia35 @blessedlady7777 @doucefeline @laura_guitard @aref4950 @DrKieva @AHeartofVirtue @WhatASaviour7 @endtimeslife @Tony…,Mon May 08 23:57:06 +0000 2017
4G,Atiksh_Singh,"RT @JiveNottingham: Check out great pay monthly offers on #EE, the #4G network that's 50% faster than #O2, #Vodafone and #Three.⬇https://t.…",Mon May 08 23:57:03 +0000 2017
4G,joshpera,Doesnt matter still illegal but 1.4g of coke. 1.4g. How does one even get that to register as a weight haha,Mon May 08 23:56:59 +0000 2017
4G,IVIAUI,Woke up @ 3 today already smoked 4g,Mon May 08 23:56:44 +0000 2017
4G,discotribble,@4G_b4nny Then you'd be t4nny!,Mon May 08 23:56:09 +0000 2017
4G,VZWSupport,@YoCrump Internet device get 10GB of 4G LTE speeds on the unlimited plan. For details click here: https://t.co/CJxCwRMt92. *LL,Mon May 08 23:55:24 +0000 2017
4G,giantshoppercom,Apple iPhone 5s 16GB Gold (Unlocked)AT&amp;T Mobile 4G LTE GSM Smartphone  New Other  via eBay https://t.co/jb7OCtZuG7… https://t.co/2rhrmjUFPN,Mon May 08 23:55:14 +0000 2017
4G,giantshoppercom,Apple iPhone 5s 16GB White Silver AT&amp;T Mobile 4G LTE Smartphone New Other   via eBay https://t.co/gkGsei0FBQ… https://t.co/JDTTwdziLv,Mon May 08 23:55:12 +0000 2017
4G,Bob42746,RT @tea7cher: @BexyEvans1 @lizfebruary9 @67Chester @Carole77777 @NH_Hockey_12 @marshahorn66 @BeachcatTt @GregPettys @trinitysfaith @LordJes…,Mon May 08 23:54:53 +0000 2017
4G,Ziatmo_Buandu,"Samsung Galaxy Note Pro SM-P905V 32GB, Wi-Fi + 4G (Verizon) - Black 12.2"" Screen https://t.co/E4NTPrXr9p https://t.co/qzOCdul0Jl",Mon May 08 23:54:11 +0000 2017
4G,SolisFarid,BlackBerry Z30 16GB  Black (Verizon) Smartphone Unlocked GSM LTE 4G Great Giveaway RT &amp; Follow https://t.co/0BGC6XxW6H,Mon May 08 23:53:43 +0000 2017
4G,SolisFarid,Apple iPhone 5s 16GB Gold (Unlocked)AT&amp;T Mobile 4G LTE GSM Smartphone  New Other Giveaway RT &amp; Follow https://t.co/8Zoge6RZAT,Mon May 08 23:53:40 +0000 2017
4G,Ziatmo_Buandu,"Samsung Galaxy Note Pro SM-P905V 32GB, Wi-Fi + 4G (Verizon) - Black 12.2"" Screen https://t.co/E4NTPrXr9p https://t.co/q9Yf4RF0qG",Mon May 08 23:53:39 +0000 2017
4G,AUSwinNOW,Apple iPhone 5s 16GB Gold (Unlocked)AT&amp;T Mobile 4G LTE GSM Smartphone  New Other #win https://t.co/WTXnaRPRic,Mon May 08 23:53:16 +0000 2017
4G,AUSwinNOW,Apple iPhone 5s 16GB White Silver AT&amp;T Mobile 4G LTE Smartphone New Other  #win https://t.co/OgXFZovm8h,Mon May 08 23:53:14 +0000 2017
4G,Joe_Lombardi,"Suffolk: Miller Place 15, Bayport-Blue Point 7, F. MP: Kevin Gersbeck 2-5, Anthony Beck 3-2, Patrick Doyen 4G, Jack Walsh 2-2, Matt Leen 11S",Mon May 08 23:53:03 +0000 2017
4G,lohudsports,"RT @WVGLacrosse: Westlake beats Edgemont in 2OT 12-11
Lembo 1G, Prauda 4G, Donnelly 1G1A, Colabatisto 1G, Oswald 1G3A, Hudd 2G, Power 2G #s…",Mon May 08 23:52:50 +0000 2017
4G,lohudglax,"RT @WVGLacrosse: Westlake beats Edgemont in 2OT 12-11
Lembo 1G, Prauda 4G, Donnelly 1G1A, Colabatisto 1G, Oswald 1G3A, Hudd 2G, Power 2G #s…",Mon May 08 23:52:50 +0000 2017
4G,WVGLacrosse,"Westlake beats Edgemont in 2OT 12-11
Lembo 1G, Prauda 4G, Donnelly 1G1A, Colabatisto 1G, Oswald 1G3A, Hudd 2G, Power 2G #seniorday #WVGL",Mon May 08 23:52:34 +0000 2017
4G,geek_output,RT @SocialRaceMedia: Adorable Device Might Be The World’s Smallest 4g Smartphone – Check It Out  | https://t.co/gQX8R6TGJm | #Tech https://…,Mon May 08 23:52:21 +0000 2017
4G,nsquaredmagic,"Meet the worlds smallest and newest 4G Smartphone, via @newscomauHQ https://t.co/8EmqNLsCrU",Mon May 08 23:52:04 +0000 2017
4G,SocialRaceMedia,Adorable Device Might Be The World’s Smallest 4g Smartphone – Check It Out  | https://t.co/gQX8R6TGJm | #Tech https://t.co/YAj1XlBC3C,Mon May 08 23:52:04 +0000 2017
4G,JiveNottingham,"Check out great pay monthly offers on #EE, the #4G network that's 50% faster than #O2, #Vodafone and #Three.⬇https://t.co/grUyzkTzT7",Mon May 08 23:52:02 +0000 2017
4G,rizwankhalil,"@Zongers @Eeyyah_Mahr Best network for Voice as well, try the clear and crisp voice on Zong 4G",Mon May 08 23:51:55 +0000 2017
4G,JackLomer,Apple iPhone 5s 16GB Gold (Unlocked)AT&amp;T Mobile 4G LTE GSM Smartphone  New Other giveaway RT &amp; Follow https://t.co/8JeV79pMN3,Mon May 08 23:51:23 +0000 2017
4G,TalkUKTelecoms,"RT @martingeddes: ""The US has 4 national 4G networks while the no [European] player…is allowed to create such scale and innovation."" https:…",Mon May 08 23:51:02 +0000 2017
4G,JiveBirmingham,Check out 🔥 #Apple deal from #O2 - Apple iPhone 6s Plus (32GB Space Grey) at £179.99 on O2 Refresh 4G (24 ...⬇https://t.co/qtu1imcZqJ,Mon May 08 23:49:09 +0000 2017
4G,EnanoO_4G,Man Whose Boat Mangled an 8-Year-Old Is Convicted of Manslaughter https://t.co/sgQPpGmdWq,Mon May 08 23:49:08 +0000 2017
