category,user,tweet,time
company,tecmcr,RT @TheLandingMCUK: This 2-day course will give a health check for anyone building a tech company on how to be scaling your company https:/…,Fri May 12 13:23:39 +0000 2017
company,Nagma76,A great leader has the incredible ability to bring out the best in you: https://t.co/zE95rxC5K1 https://t.co/k1OvbHZi3C,Fri May 12 13:23:39 +0000 2017
company,rcolintait,@mznewman @FayebellineW So maybe this is the natural endpoint for the company? I can't imagine that the audiences w… https://t.co/Iv4ZutKhFR,Fri May 12 13:23:38 +0000 2017
company,frankgong1006,Thank you all. For today's joy. For the three year's company. https://t.co/7czGkegejQ,Fri May 12 13:23:38 +0000 2017
company,Tati_WM,"Facebook &amp; LinkedIn for some reason feel more personal. If you want me to write about a company or issue, email me: tatianawm@live.com",Fri May 12 13:23:38 +0000 2017
company,CCMProfessional,"RT @GandGCatering: Winners of “Best Outside Catering Company”

Thank you to all our fabulous team for making this happen! 

@CHS_Group 
#CH…",Fri May 12 13:23:37 +0000 2017
company,john_stance,How Co-Founding a Company Can Help You Overcome Your Biggest Weaknesses https://t.co/0qVvgRR9w3,Fri May 12 13:23:37 +0000 2017
company,stephenthorpe,RT @autcs: Congratulations to @PushPay for winning the @PwC_NZ #Hi-Tech Company of the Year Award at tonight's @Hi-TechAwards #HTANZ https:…,Fri May 12 13:23:37 +0000 2017
company,SDRemodel,@sdremodels is a renovation company. We specialize in a variety of #Bathroom improvements. Call us (619) 206-7590. https://t.co/PMuhjFwAdD,Fri May 12 13:23:35 +0000 2017
company,AnnemarieVtW,RT @evaluatepharma: Find out how our expert services gave one #Biopharma company the data-driven toolkit for successful European launch htt…,Fri May 12 13:23:35 +0000 2017
company,King_TonyeSpiff,"RT @SheLovesArtemis: A female secretary with at least 3yrs experience needed in a company within Lagos island
salary 70K
send CV to conyebu…",Fri May 12 13:23:33 +0000 2017
company,showmesolutions,"Here's how Apple, already the world's biggest company, can get even bigger - CNBC https://t.co/ZblelXYEiN #AppleNews https://t.co/213STfVYpw",Fri May 12 13:23:33 +0000 2017
company,WILOMiddleEast,"Wilo Egypt, the new subsidiary of the German company Wilo SE, the world’s leading manufacturers… https://t.co/SC8HgUgJwu",Fri May 12 13:23:33 +0000 2017
company,3NovicesChennai,#3Novices : Young Indian a not-for-profit company: Congress https://t.co/Rp6aJcOt6b The court direction clears the decks for an IT probe #…,Fri May 12 13:23:33 +0000 2017
company,AlderLaneeggs,Management at HCG tells Steven Boland he doesn't know what he is talking about or understand the company! @amberkanwar @LJKawa,Fri May 12 13:23:30 +0000 2017
company,SianiPrice,Lovely to have this guy's company today! Cosmeston Medieval Village @FinanceWales @BITCCymru #Giveandgainwales https://t.co/zxKjf7j02X,Fri May 12 13:23:30 +0000 2017
company,T0mpp41,"RT @Harvard: “I was the only black woman in a company of 80 dancers, and that went on for a decade” https://t.co/CpyUC8M6XL",Fri May 12 13:23:29 +0000 2017
company,dhr_dhruv,"RT @anandmahindra: Now I take this as an enormous compliment. My job, as I see it, is to ensure that people continue to feel the company is…",Fri May 12 13:23:28 +0000 2017
company,Hareesh_5554,Young Indian a not-for-profit company: Congress https://t.co/ba0KdVwbA2 https://t.co/y9H5OeHVol,Fri May 12 13:23:27 +0000 2017
company,YTFanAccounts,"RT @soyeani: Queens love T-ARA, not company.... You should know that bitch @officialmbkent",Fri May 12 13:23:27 +0000 2017
company,CorridorCulture,"Making God Laugh
Sunday, May 14, 2017; 2:00 PM - 4:30 PM
The Old Creamery Theatre Company

This brand new comedy... https://t.co/6isvLdfXJB",Fri May 12 13:23:27 +0000 2017
company,911_calls,Burglary Alarm (Alarm Company) at address: 28XX CHEROKEE ST at time: 2017-05-12 7:21:22 #911 #scanner,Fri May 12 13:23:27 +0000 2017
company,M0re_nike,"RT @SheLovesArtemis: A female secretary with at least 3yrs experience needed in a company within Lagos island
salary 70K
send CV to conyebu…",Fri May 12 13:23:26 +0000 2017
company,K1Birch,"RT @victoriacjhall: In my view the important topic in this area. Make time for this, it could just change your company's future (and yours)…",Fri May 12 13:23:25 +0000 2017
company,m42calhoun,RT @ABC: Man charged with plotting to bomb Target stores so he could gain financially from a drop in company's stock price. https://t.co/e7…,Fri May 12 13:23:25 +0000 2017
company,TheHeartWarsaw,Designing corporate-startup engagement? Here're 5 lessons from @UnileverFoundry. Make your company #ReadyForStartups https://t.co/RvpqsnyJY2,Fri May 12 13:23:24 +0000 2017
company,gingeruaena,RT @_9sxjy: I hope IU starts her own company because CEO Lee Ji Eun sounds perfect for her https://t.co/KU5pniBUCd,Fri May 12 13:23:23 +0000 2017
