category,user,tweet,time
company,Indivisible337,This Private Prison Company Is Getting Rich Off Donald Trump’s Immigration Crackdown https://t.co/BRpctvv9l0 via @thedailybeast,Wed May 17 21:53:41 +0000 2017
company,unicorntokyo,"RT @meme___mom: 17.) ""Alyssa, we're in the company of some amazing queens tonight."" 

WHERE? https://t.co/BxMZLdY01Z",Wed May 17 21:53:40 +0000 2017
company,ShawnShawnguala,"Im an artist looking for a great pr company for my music follow, if you're reading this and can help dm me",Wed May 17 21:53:40 +0000 2017
company,MatthewBusta,"RT @BleacherReport: LaVar Ball says Big Baller Brand is not a ""women’s company"" in cringeworthy interview https://t.co/VmFpSsLF6d https://t…",Wed May 17 21:53:39 +0000 2017
company,abenasty,@MickMcLeod924 @datniggerjim @LOLOLOLOLOL012 @00Exodus @Frankie_Vision Hes been dealing with this his whole life An… https://t.co/vWyVb4UzQ6,Wed May 17 21:53:39 +0000 2017
company,Montxro,EA fucking joke of a company https://t.co/uvCWjKoNTt,Wed May 17 21:53:39 +0000 2017
company,wnkytv,Tonight on WNKY CBS 40 brought to you in part locally by Kentucky Music Company! https://t.co/dy5BKMycB4,Wed May 17 21:53:39 +0000 2017
company,justineannan,"RT @espn: LaVar Ball said that if a company wants to make a deal with Big Baller Brand now, the asking price is $3 billion.
https://t.co/Uk…",Wed May 17 21:53:38 +0000 2017
company,Naijadailyfeed,Graduate NYSC – Customer/Client Service Personnel at an Online Communications Company https://t.co/bBhEIC0U6F,Wed May 17 21:53:37 +0000 2017
company,WFMY,"One of the workers injured in the wood plant explosion in Montgomery County has died, company confirms.… https://t.co/GWrN1E0PKA",Wed May 17 21:53:37 +0000 2017
company,Mike_FactoryCC,How a CEO with dyslexia and ADHD runs his company. First of all: no email ....(I wish)  https://t.co/b7fT7GS6zJ via @WSJ,Wed May 17 21:53:36 +0000 2017
company,JadaSteele,"RT @DebCarson: LaVar Ball told @TheHerd, BBB won't be marketing products toward women, just ""Big Ballers""...BBB is not a ""women's company.""…",Wed May 17 21:53:35 +0000 2017
company,BathkeSamantha,RT @asdfghjkl_nala: never choose a good time over good company,Wed May 17 21:53:34 +0000 2017
company,mackiebarch,"RT @ErinatTheSun: Maryland Medical Cannabis Commission just issued the first license to grow marijuana to ForwardGro, an Anne Arundel compa…",Wed May 17 21:53:32 +0000 2017
company,wendymolinaro,@garyashley5 @GorettiSimon @ricketts44 @WillcoxJoe @penelopedarby @helenyg @IanDunt He's been keeping strange compa… https://t.co/diu3nWRPUe,Wed May 17 21:53:31 +0000 2017
company,KingALFOMALE,RT @elonmusk: What I love about The Boring Company are the low expectations. Nowhere to go but down.,Wed May 17 21:53:31 +0000 2017
company,Ticeyfly,"RT @jarieVee_: me finding you attractive is one thing, me actually wanting to be around you and enjoying your company and conversation is a…",Wed May 17 21:53:31 +0000 2017
company,SENIORVR,New 5 Star Review! @reviews_experts #review #reviews https://t.co/SZIHlL0Lzd,Wed May 17 21:53:31 +0000 2017
company,HandMadePatric,Hudson and Company D https://t.co/6sRWtHIKbi,Wed May 17 21:53:31 +0000 2017
company,_KlippityKlopp,RT @mcginleycep: Want to work for a Top 100 company? Are you a recruitment consultant? Apply here: https://t.co/Iq4UeTRXMk #construction #r…,Wed May 17 21:53:31 +0000 2017
company,Hitchcock_King,New 4 Star Review! @reviews_experts #review #reviews https://t.co/INt3sWpnvM,Wed May 17 21:53:30 +0000 2017
company,KathleenStott2,"RT @The_Animal_Team: EMBER is a 4yo Galgos. Good with ppl/dogs/kids. Active girl, likes company. #woofwoofwednesday #adopt sndrescue@gmail.…",Wed May 17 21:53:28 +0000 2017
company,upmostvolsfan1,RT @brooksbratten: The #Preds are just the 3rd team in the last 28 years to win 10 consecutive playoff games at home. That's fun --&gt; https:…,Wed May 17 21:53:28 +0000 2017
company,flux_nomad,RT @420Meta: Maryland Medical Cannabis Company Calls To Halt | https://t.co/dheKOBNLAt | #Race https://t.co/AmWbSr5oSB,Wed May 17 21:53:27 +0000 2017
company,andreacesarini4,"RT @AccentureComms: ""The company that owns the home will be the winner"" - @markveyette #TMFLive #IoE #monetization. We agree! https://t.co/…",Wed May 17 21:53:27 +0000 2017
company,CeylonBlue94,"RT @The_Animal_Team: EMBER is a 4yo Galgos. Good with ppl/dogs/kids. Active girl, likes company. #woofwoofwednesday #adopt sndrescue@gmail.…",Wed May 17 21:53:26 +0000 2017
company,ictwiggs,RT @Factsionary: It’s better to be alone than to be in bad company.,Wed May 17 21:53:26 +0000 2017
company,grhum,RT @elonmusk: What I love about The Boring Company are the low expectations. Nowhere to go but down.,Wed May 17 21:53:25 +0000 2017
company,nicolewardxx,Having people slate the mental illness and call people who have it 'crazy' in my company makes me fearful,Wed May 17 21:53:24 +0000 2017
company,SocialServiceP,"Hello Social Workers! We're back, with the Top 3 Reasons it's beneficial to work for a Social Work Staffing Company… https://t.co/DJZh4E8hcb",Wed May 17 21:53:23 +0000 2017
company,inf0rmationist,RT @shae_thompson_: Talk on the phone. Talk about your day. Talk about your list on Netflix. Talk about ur grandma. Just ramble and enjoy e…,Wed May 17 21:53:23 +0000 2017
company,samgolden22,RT @CaptivatingCory: It Looks Like Thursday Evening is going to be LONELY  ☹️  Any FOLLOWER Care to KEEP ME COMPANY?  💋 https://t.co/MKqx92…,Wed May 17 21:53:23 +0000 2017
company,macushla7,RT @tribelaw: I've been there ever since POTUS fired Comey at the point he did and talked about it to Lester Holt the way he did. I'd welco…,Wed May 17 21:53:22 +0000 2017
company,tabfabxx,i honestly have so much fun by myself and i rlly love my own company n i feel like that sounds really sad and pathetic but i just love me,Wed May 17 21:53:22 +0000 2017
company,patl,"RT @PragmaticAndy: Can your company out-learn the competition? 

If not, how do you hope to compete?",Wed May 17 21:53:21 +0000 2017
company,jiminhurtz,"RT @yoonminet: this how bang pd sleeps at night knowing that bts are under his company

#BTSBBMAs https://t.co/kaVZG0ta4h",Wed May 17 21:53:21 +0000 2017
company,LasEstrellas73,"RT @BTS_National: [🍈] if we can make 'Spine Breaker' enters the TOP50 on music charts within a week, the company will grant BTS a wish! 😏 #…",Wed May 17 21:53:21 +0000 2017
company,JamesTully02,@88weighted You can't boycott ExxonMobil unless you stop using petroleum. The company doesn't even own it's own gas stations anymore.,Wed May 17 21:53:20 +0000 2017
company,DreadedCone,"Today's stream is gonna be nuts. Quake Champions + PUBG + Yakuza 0, w/ discussions about how to launch Remmy's hauling company in GTA RP ;)",Wed May 17 21:53:19 +0000 2017
company,MiamiHeatMind,"LaVar tells reporter to stay in her lane, implies BBB isn't 'a women's company' (via https://t.co/JYaHcPcNwy ) https://t.co/l75kkVhlvj",Wed May 17 21:53:19 +0000 2017
company,makavelyy,I think my complaint is of no importance to your company. @Bet9jaHelp @Bet9jaOfficial,Wed May 17 21:53:18 +0000 2017
company,redland15,"RT @UKIPNFKN: Standard Life likely to choose Dublin for EU base says company chairman via @Independent
#Brexit #GE2017 #BrexitCost
https://…",Wed May 17 21:53:17 +0000 2017
company,richmcneal85,"RT @BleacherReport: LaVar Ball says Big Baller Brand is not a ""women’s company"" in cringeworthy interview https://t.co/VmFpSsLF6d https://t…",Wed May 17 21:53:17 +0000 2017
company,stocknewsdotcom,$EPIX Company will present early data from the Phase 1 portion of the ongoing Phase 1/2 clinical trial of its prod… https://t.co/vvWawFs7no,Wed May 17 21:53:16 +0000 2017
company,MiamiHeatMind,"Spurs fan files lawsuit against Pachulia, Warriors for Leonard injury (via https://t.co/JYaHcPcNwy ) https://t.co/PtvRglFmqR",Wed May 17 21:53:15 +0000 2017
company,JanetBridges111,RT @ChrisLevinson: CBS Report On Potential Dangers Of Roundup: Patients: Roundup gave us cancer as EPA official helped the company https://…,Wed May 17 21:53:15 +0000 2017
company,robbier5,@SoundersFC I love watching the Sounders but now that I live in Eastern Washington that's not always possible. I ha… https://t.co/ll7jt7iDTF,Wed May 17 21:53:15 +0000 2017
company,Roses_4_Thorns,"The more things change... https://t.co/MfXLlj8FW6

— Breitbart News (BreitbartNews) May 17, 2017",Wed May 17 21:53:14 +0000 2017
company,darylgibson,RT @AlArabiya_Eng: #Saudi new arms company SAMI expected to contribute more than $3.7 billion to GDP https://t.co/Lbpb45yRNa,Wed May 17 21:53:13 +0000 2017
company,CuponeandoPRnet,"RT @comprasyhogar: Learn how to find the best homeowners insurance company 
-&gt; https://t.co/hXgQOgGpEZ &lt;- #CRSponsored #CRDinero https://t.…",Wed May 17 21:53:13 +0000 2017
company,page1escortsseo,Are you experiencing drops in you rankings with your current seo company? Do NOT wait until you can not afford to correct it! Contact us!,Wed May 17 21:53:13 +0000 2017
company,MoAkDrDaIyE,RT @muminuh: keep company with people who inspire and motivate you.,Wed May 17 21:53:13 +0000 2017
company,alankingny,Thank you @poshstylemag https://t.co/pG0m33shAT,Wed May 17 21:53:12 +0000 2017
company,NewarkJobs1,"East Orange, #NJ - Anderson Trucking Service - OTR CDL-A Flatbed Company Truck Driver - To... https://t.co/C1FoxgDzft #NEWARK #DRIVING #JOB",Wed May 17 21:53:12 +0000 2017
company,josiewaddams,"RT @jarieVee_: me finding you attractive is one thing, me actually wanting to be around you and enjoying your company and conversation is a…",Wed May 17 21:53:11 +0000 2017
