category,user,tweet,time
data mining,EnragedNY,"RT @HappyLark34: MT @ECLankford: @realdonaldtrump, We need more help. No good reason to continue data mining. https://t.co/Yvi87nqbgL #Stop…",Thu May 11 04:23:21 +0000 2017
data mining,AKC0G,RT @AKC0G: MT @TeriGRight: #POTUS Ex Order should halt intrusive Data Mining &amp; Restore #FERPA protection https://t.co/G4bUV1yoYB #StopCommo…,Thu May 11 04:23:11 +0000 2017
data mining,YwanVanLoon,"RT @FrankKienle: RT @Ronald_vanLoon: What is the difference between Data Analytics, Data Mining, Data Science, Machine Learning, and Big Da…",Thu May 11 04:21:54 +0000 2017
data mining,RilesMaga,"@cahtx01 @tweettruth2me Very mature. 
Remove Russia all together &amp; Cambridge analyticas data mining should concern… https://t.co/MXR5Bmjsol",Thu May 11 04:19:53 +0000 2017
data mining,alevergara78,"RT @FrankKienle: RT @Ronald_vanLoon: What is the difference between Data Analytics, Data Mining, Data Science, Machine Learning, and Big Da…",Thu May 11 04:19:23 +0000 2017
data mining,FrankKienle,"RT @Ronald_vanLoon: What is the difference between Data Analytics, Data Mining, Data Science, Machine Learning, and Big Data? | #DataS … ht…",Thu May 11 04:18:08 +0000 2017
data mining,EnragedNY,"RT @Dadagainstcore: MT @jstines3: Hey, @POTUS, end BIG BROTHER CREEPY DATA - MINING of our children! https://t.co/JQtsdZR0PB #StopCommonCor…",Thu May 11 04:17:50 +0000 2017
data mining,alevergara78,RT @ArnoCandel: Express your love for #h2oai at https://t.co/snAfEGGi6l #opensource #MachineLearning #DataScience #DeepLearning #rstats #Py…,Thu May 11 04:16:07 +0000 2017
data mining,Navdeep_Gill_,RT @ArnoCandel: Express your love for #h2oai at https://t.co/snAfEGGi6l #opensource #MachineLearning #DataScience #DeepLearning #rstats #Py…,Thu May 11 04:15:39 +0000 2017
data mining,alevergara78,RT @Entee76: I voted for @RapidMiner in the @kdnuggets #analytics #datamining #datascience #machinelearning software poll https://t.co/vlAP…,Thu May 11 04:14:14 +0000 2017
data mining,Entee76,I voted for @RapidMiner in the @kdnuggets #analytics #datamining #datascience #machinelearning software poll https://t.co/vlAPv62n3J,Thu May 11 04:12:38 +0000 2017
data mining,_tomrice,PADMINI: a P2P distributed astronomy data mining system and a case study (2010) - NASA DASHlink @NASAdata  https://t.co/0AWeQpcXuV,Thu May 11 04:11:54 +0000 2017
data mining,CreativeJobFeed,Small data mining project by basarnow https://t.co/bQ67C2ORJL #creativejobs #jobs,Thu May 11 04:10:05 +0000 2017
data mining,FreelanceDirect,Small data mining project by basarnow #Freelance #Job https://t.co/0GXmHAfc2C,Thu May 11 04:03:14 +0000 2017
data mining,JoindaHunt,Small data mining project by basarnow https://t.co/MIF2B6Tety Create Wordpress db for fields to be scrapped every 6 months from dynamic “I…,Thu May 11 04:01:15 +0000 2017
data mining,latestprojects,Small data mining project by basarnow https://t.co/RRn5Eq8vXJ,Thu May 11 03:57:36 +0000 2017
data mining,elaine_helenka,"RT @ALT_uscis: Keep your eyes open, this also happened. Census-link to other ""data mining"" companies @realDonaldTrump is linked to https://…",Thu May 11 03:51:03 +0000 2017
data mining,_tomrice,"""Grist: Grid-based Data Mining for Astronomy"" (2005) https://t.co/J9sqNycQra",Thu May 11 03:48:20 +0000 2017
data mining,MariaRegovic,"RT @ALT_uscis: Keep your eyes open, this also happened. Census-link to other ""data mining"" companies @realDonaldTrump is linked to https://…",Thu May 11 03:45:44 +0000 2017
data mining,alevergara78,"RT @NeilTibco: Have you used #Spotfire for #analytics, #datamining, #datascience, or #machinelearning? Vote for it in this poll! https://t.…",Thu May 11 03:41:48 +0000 2017
data mining,AKC0G,MT @TeriGRight: #POTUS Ex Order should halt intrusive Data Mining &amp; Restore #FERPA protection https://t.co/G4bUV1yoYB #StopCommonCore #PJNET,Thu May 11 03:41:47 +0000 2017
data mining,NeilTibco,"Have you used #Spotfire for #analytics, #datamining, #datascience, or #machinelearning? Vote for it in this poll! https://t.co/V69ljCz2GT",Thu May 11 03:40:04 +0000 2017
data mining,AwhHellNaw,"RT @ALT_uscis: Keep your eyes open, this also happened. Census-link to other ""data mining"" companies @realDonaldTrump is linked to https://…",Thu May 11 03:36:44 +0000 2017
data mining,aschalson,"RT @ALT_uscis: Keep your eyes open, this also happened. Census-link to other ""data mining"" companies @realDonaldTrump is linked to https://…",Thu May 11 03:30:53 +0000 2017
data mining,PPT_Search,military data mining Powerpoint Presentations - https://t.co/MtpN90Xbxs  #powerpoint #slide #military #data #mining,Thu May 11 03:28:27 +0000 2017
data mining,handdonordad,"RT @ALT_uscis: Keep your eyes open, this also happened. Census-link to other ""data mining"" companies @realDonaldTrump is linked to https://…",Thu May 11 03:26:23 +0000 2017
data mining,bufbvr,DISNEY BIG DATA MINING IMPACT BELL. DIARRHEA-FILLED BOZO DRONES WITH SELENA GOMEZ. CONSTIPATION RING LARDNER SERENA WILLIAMS YOGURT,Thu May 11 03:18:46 +0000 2017
data mining,luisafercald,RT @machinelearnbot: Clinical Data-mining: Integrating Practice And Research (pocket Guides To Social  here  https://t.co/k4EJ09uf2S #datam…,Thu May 11 03:15:26 +0000 2017
data mining,momofourudder,Shhh - the Unpresident's data-mining monkeys might hear you. https://t.co/VSVuIpvy0M,Thu May 11 03:07:09 +0000 2017
data mining,YoungCompan,"RT @DeepAdvantage: The Undeniable Power of Data Mining, Visualization and Infographics for Business

https://t.co/rISM3CAsAX   #bigdata

vi…",Thu May 11 03:03:12 +0000 2017
data mining,alevergara78,RT @machinelearnbot: Statistical And Machine-learning Data Mining: Techniques For Better Predicti here  https://t.co/jaCqmr9vac #machinelea…,Thu May 11 03:02:35 +0000 2017
data mining,DanielFinance,RT @machinelearnbot: Statistical And Machine-learning Data Mining: Techniques For Better Predicti here  https://t.co/jaCqmr9vac #machinelea…,Thu May 11 03:02:08 +0000 2017
data mining,DanielFinance,RT @machinelearnbot: Clinical Data-mining: Integrating Practice And Research (pocket Guides To Social  here  https://t.co/jYgt5Kmwzm #datam…,Thu May 11 03:02:04 +0000 2017
data mining,mmnu,"RT @ipfconline1: Training: Introduction to #MachineLearning &amp; Data Mining
https://t.co/2P7C03cMJh  #BigData #DataScience #ML by @analyticbr…",Thu May 11 02:56:52 +0000 2017
data mining,DanielFinance,RT @machinelearnbot: Clinical Data-mining: Integrating Practice And Research (pocket Guides To Social  here  https://t.co/k4EJ09uf2S #datam…,Thu May 11 02:56:48 +0000 2017
data mining,machinelearnbot,Clinical Data-mining: Integrating Practice And Research (pocket Guides To Social  here  https://t.co/k4EJ09uf2S #datamining @machinelearnbot,Thu May 11 02:53:29 +0000 2017
data mining,domainawareness,RT @kennethlipp: FALCON-SA is Palantir's Gotham for DHS HSI immigration data-mining https://t.co/SidsPRSTOq,Thu May 11 02:51:07 +0000 2017
