category,user,tweet,time
democrats,braimahake,"Democrats dig in, delay against Dodd-Frank overhaul https://t.co/0g4MREYRoC https://t.co/awXFfXRpLh",Wed May 03 00:03:54 +0000 2017
democrats,AmyFG3,"RT @GeorgiaDirtRoad: TRUTH ARROWS 🎯🎯🎯

It's The Same Ole' Hate.... Democrats Have Been Doing It For Decades.

#WakeUpAmerica #DeathByDemocr…",Wed May 03 00:03:54 +0000 2017
democrats,antipandemonium,RT @JuddLegum: Trump's budget director brags that the Trump administration held miners' health care in limbo to extract concessions from De…,Wed May 03 00:03:53 +0000 2017
democrats,TerbercTeresa,RT @TeresaC123: Theresa May accused of hiding from voters on Bristol visit https://t.co/y7twbgNSCv,Wed May 03 00:03:52 +0000 2017
democrats,EggRetweet,RT @mitchellvii: Screw the Democrats.  Go freakin' NUCLEAR on EVERYTHING.  That solves all these problems.,Wed May 03 00:03:51 +0000 2017
democrats,zahar_alao,@harleypamieee @TeamReichenbach @bathroompolice @TallahForTrump @ninarightside The southern democrats. Who are now… https://t.co/tPUBRthvmx,Wed May 03 00:03:50 +0000 2017
democrats,17julesez,"RT @RedNationRising: The Democrats are only interested in themselves, not what's best for America. #MAGA #TrumpTrain #RedNationRising https…",Wed May 03 00:03:50 +0000 2017
democrats,TexasKenJSmith,RT @KamVTV: Looks like this is #MayDay2017 for these two nut jobs. Democrats got SCHLONGED today! #MAGA https://t.co/9jlrpMdqde,Wed May 03 00:03:49 +0000 2017
democrats,OutwornSlogans,.@CoryBooker @PodSaveThePpl It wasn't just Cory. Most elected Democrats weren't serious about opposing Sessions. So… https://t.co/nOSrKv6vva,Wed May 03 00:03:48 +0000 2017
democrats,rustydog1932,"RT @ABC: Pres. Trump upset Democrats made him look bad in spending deal, OMB Director Mulvaney says. https://t.co/EsS7IfjkBZ https://t.co/H…",Wed May 03 00:03:47 +0000 2017
democrats,w59_tammy,RT @dbongino: Wall Street Journal: Democrats Trying to Squelch Susan Rice Unmasking Story  https://t.co/SFZOAIe3EV,Wed May 03 00:03:47 +0000 2017
democrats,saradav21047146,RT @dbongino: Wall Street Journal: Democrats Trying to Squelch Susan Rice Unmasking Story  https://t.co/SFZOAIe3EV,Wed May 03 00:03:47 +0000 2017
democrats,sidnknj,"RT @RVAwonk: Mulvaney: ""[Democrats] were desperate to make it look like this administration can't function.""

...that's, um, not exactly ha…",Wed May 03 00:03:46 +0000 2017
democrats,Greatgarlou,RT @dbongino: Wall Street Journal: Democrats Trying to Squelch Susan Rice Unmasking Story  https://t.co/SFZOAIe3EV,Wed May 03 00:03:46 +0000 2017
democrats,POTUS_Cat,The Democrats Have Sold Out The Working Class https://t.co/yFDatSHly1,Wed May 03 00:03:45 +0000 2017
democrats,kickcoach2,"RT @_Makada_: Paul Ryan &amp; Democrats agree on spending bill that funds sanctuary cities, planned parenthood but NO WALL. Ryan is a open bord…",Wed May 03 00:03:44 +0000 2017
democrats,mrslindsayk,@RealGE10 True. I've had with idiots in congress. And democrats are in love with @JohnKasich . They can have him. R… https://t.co/vEvMiungjQ,Wed May 03 00:03:42 +0000 2017
democrats,Belrial223,@TheMidMerican @sean_spicier @SkyeShepard Yet it it still beyond most democrats abilities.,Wed May 03 00:03:41 +0000 2017
democrats,Blargmeh,"RT @TeddyAmen: Read the comments: 

From a profile of Dem. Sen. Jon Tester of Montana 
- https://t.co/pHqL0x0Rzw https://t.co/bfn9lce6Yn",Wed May 03 00:03:41 +0000 2017
democrats,connect2732,"Well, the TRUTH comes out, as per Mulvaney -- The Democrats DIDN'T win on the Budget!  Mulvaney says TRUMP WON for… https://t.co/MttBjKCSrM",Wed May 03 00:03:40 +0000 2017
democrats,mgmglobal,RT @business: Trump threatens a government shutdown later this year following budget compromise https://t.co/7eFOqH9zo1 https://t.co/mwRR3l…,Wed May 03 00:03:39 +0000 2017
democrats,Exclaimcomedy,"RT @larrywilmore: God bless you @jimmykimmel 
It's not about democrats or republicans. ""We"" are the team!
https://t.co/BPx47UqHNa",Wed May 03 00:03:38 +0000 2017
democrats,LukeAdams97,"@joseiswriting @DefineAmerican Since Democrats want to turn America into a weak, pathetic European country that cannot even defend itself",Wed May 03 00:03:37 +0000 2017
democrats,patriotic4ev,RT @realDonaldTrump: The reason for the plan negotiated between the Republicans and Democrats is that we need 60 votes in the Senate which…,Wed May 03 00:03:37 +0000 2017
