category,user,tweet,time
economy,PlatBrat,"RT @JoeNBC: House Republicans, be smart. 
Be conservative and demand a CBO score before voting on a bill that will impact 1/6th of the econ…",Thu May 04 14:02:26 +0000 2017
economy,JordanBegala_,RT @TheFunnyTeens: i hate when adults make fun of u and ask if u bought ur jeans with all the holes in them. why don’t u go fix the holes i…,Thu May 04 14:02:26 +0000 2017
economy,nuckgurl,"RT @hsojlightfoot: @daveweigel @edatpost No Congressional Budget Score
No reading of bill
No public comment
Healthcare affects 1/6 of econo…",Thu May 04 14:02:26 +0000 2017
economy,HogwildWarrior,"RT @ThePlumLineGS: In fairness, that is a pretty unreasonable thing to ask someone whose vote will impact millions of lives and 1/6 of US e…",Thu May 04 14:02:23 +0000 2017
economy,physicsstew,@RepJoeBarton @CNN And you better be voting NO w/ no CBO score &amp; less $ for USAs most vulnerable patients than our… https://t.co/jLQjjM9VEo,Thu May 04 14:02:22 +0000 2017
economy,javascriptd,"RT @HackingNewsbot: https://t.co/HRfoDTd7pM (HackerNewsbot (Version: 1.00) - Coded in NodeJS, powered by https://t.co/keulZikJT5)",Thu May 04 14:02:22 +0000 2017
economy,Txkidatheart,"RT @shannonrwatts: Trump: ""I have tremendous respect for women and the many roles they serve that are vital to our society and our economy.…",Thu May 04 14:02:22 +0000 2017
economy,Kjk11782,RT @chrislhayes: They're going to vote without knowing how many people it will cover or how much it will cost. It's a sixth of the American…,Thu May 04 14:02:20 +0000 2017
economy,shempisgod,"RT @ThePlumLineGS: In fairness, that is a pretty unreasonable thing to ask someone whose vote will impact millions of lives and 1/6 of US e…",Thu May 04 14:02:20 +0000 2017
economy,Miss_Sidney12,"RT @JoeNBC: House Republicans, be smart. 
Be conservative and demand a CBO score before voting on a bill that will impact 1/6th of the econ…",Thu May 04 14:02:19 +0000 2017
economy,dipaktulsiyan,"RT @moneycontrolcom: India's new steel policy will kill two birds with one stone

https://t.co/tqnzjlhXbv",Thu May 04 14:02:19 +0000 2017
economy,carolb77,Interview with Chief Economist @Alex_Carrick: Canadian Economy and Construction https://t.co/IjxrhXbrHN,Thu May 04 14:02:19 +0000 2017
economy,PlacidBag,"RT @KhayaJames: #WEFAfrica2017 #Zuma says there has been an acceptance that SA and Nigeria must work together, identify critical elements o…",Thu May 04 14:02:19 +0000 2017
economy,SundarSelvaraj4,"#Digital disruption in financial industry drives Africa’s economy
#fintech #insurtech #digitaltransformation… https://t.co/1blhdbs7GS",Thu May 04 14:02:18 +0000 2017
economy,maiconfirmiano,a nazi robot farm? in this economy?,Thu May 04 14:02:17 +0000 2017
economy,orelaxshelby,"RT @JoeNBC: House Republicans, be smart. 
Be conservative and demand a CBO score before voting on a bill that will impact 1/6th of the econ…",Thu May 04 14:02:17 +0000 2017
economy,SusaneWong,RT @JuddLegum: This bill covers 1/6 of the economy and he's voting in 3 hours 🇺🇸 🇺🇸 🇺🇸 https://t.co/jWn6YypkFv,Thu May 04 14:02:13 +0000 2017
economy,BTGresearch,.@WalletHub's 2017 rankings for the most obese cities in America &amp; impacts on the economy. https://t.co/830vmIrY0d #obesity,Thu May 04 14:02:12 +0000 2017
economy,jokerusso,RT @JuddLegum: This bill covers 1/6 of the economy and he's voting in 3 hours 🇺🇸 🇺🇸 🇺🇸 https://t.co/jWn6YypkFv,Thu May 04 14:02:12 +0000 2017
