category,user,tweet,time
economy,CircularEClub,Workshop #Huddersfield 15 June. The #FashionTextiles perspective on #CircularEconomy https://t.co/uesTp8aPSi… https://t.co/tfvBXjBQFX,Fri May 19 13:12:03 +0000 2017
economy,patiencepattan4,RT @ZKhanOfficial: #Pakistan is now a $300 Billion dollar Economy after Gross Domestic Product (GDP) Growth of 5.3%.  #CPEC #OBOR https://t…,Fri May 19 13:12:03 +0000 2017
economy,leisa_nupatai,RT @ZKhanOfficial: #Pakistan is now a $300 Billion dollar Economy after Gross Domestic Product (GDP) Growth of 5.3%.  #CPEC #OBOR https://t…,Fri May 19 13:12:02 +0000 2017
economy,dondepewjr,"But the economy is getting better.
People are spending, they just can't make payments.
#upsidedown#broke#nomoneyfor… https://t.co/YlSF93qip6",Fri May 19 13:12:02 +0000 2017
economy,gayemiozza162,RT @ZKhanOfficial: #Pakistan is now a $300 Billion dollar Economy after Gross Domestic Product (GDP) Growth of 5.3%.  #CPEC #OBOR https://t…,Fri May 19 13:12:02 +0000 2017
economy,chowdh1997,@realDonaldTrump It would definitely help the US economy.,Fri May 19 13:12:01 +0000 2017
economy,berrywhite2803,RT @ZKhanOfficial: #Pakistan is now a $300 Billion dollar Economy after Gross Domestic Product (GDP) Growth of 5.3%.  #CPEC #OBOR https://t…,Fri May 19 13:12:01 +0000 2017
economy,eldoramoore681,RT @ZKhanOfficial: #Pakistan is now a $300 Billion dollar Economy after Gross Domestic Product (GDP) Growth of 5.3%.  #CPEC #OBOR https://t…,Fri May 19 13:12:00 +0000 2017
economy,phung_carreno,RT @ZKhanOfficial: #Pakistan is now a $300 Billion dollar Economy after Gross Domestic Product (GDP) Growth of 5.3%.  #CPEC #OBOR https://t…,Fri May 19 13:12:00 +0000 2017
economy,clarencegoin251,RT @ZKhanOfficial: #Pakistan is now a $300 Billion dollar Economy after Gross Domestic Product (GDP) Growth of 5.3%.  #CPEC #OBOR https://t…,Fri May 19 13:11:59 +0000 2017
economy,normanpuchajda3,RT @ZKhanOfficial: #Pakistan is now a $300 Billion dollar Economy after Gross Domestic Product (GDP) Growth of 5.3%.  #CPEC #OBOR https://t…,Fri May 19 13:11:59 +0000 2017
economy,songdye647,RT @ZKhanOfficial: #Pakistan is now a $300 Billion dollar Economy after Gross Domestic Product (GDP) Growth of 5.3%.  #CPEC #OBOR https://t…,Fri May 19 13:11:58 +0000 2017
economy,marileegraf2066,RT @ZKhanOfficial: #Pakistan is now a $300 Billion dollar Economy after Gross Domestic Product (GDP) Growth of 5.3%.  #CPEC #OBOR https://t…,Fri May 19 13:11:58 +0000 2017
economy,poklew1730,RT @ZKhanOfficial: #Pakistan is now a $300 Billion dollar Economy after Gross Domestic Product (GDP) Growth of 5.3%.  #CPEC #OBOR https://t…,Fri May 19 13:11:57 +0000 2017
economy,MaasJonathan,Fuel of the future: Data is giving rise to a new economy https://t.co/aDn6jM4cNA via @TheEconomist,Fri May 19 13:11:56 +0000 2017
economy,RyanXMiranda,RT @Rachael_Swindon: Since 2010 there's been a 113% rise in rough sleeping &amp; a 112% rise in the wealth of Britain's 1000 richest families.…,Fri May 19 13:11:54 +0000 2017
economy,kyrareyes1526,RT @ZKhanOfficial: #Pakistan is now a $300 Billion dollar Economy after Gross Domestic Product (GDP) Growth of 5.3%.  #CPEC #OBOR https://t…,Fri May 19 13:11:54 +0000 2017
economy,motes_juanita,RT @ZKhanOfficial: #Pakistan is now a $300 Billion dollar Economy after Gross Domestic Product (GDP) Growth of 5.3%.  #CPEC #OBOR https://t…,Fri May 19 13:11:53 +0000 2017
economy,HeliosPhoenix,RT @novapbs: A cyberattack called WannaCry has already cost the global economy billions of dollars. Here's why that should scare you. https…,Fri May 19 13:11:50 +0000 2017
