category,user,tweet,time
energy,morelia__dlh,"RT @Iad3uxieme: Being educated on subjects that we don't learn in school like your energy, how the universe works, conspiracies, retrograde…",Sat May 13 06:18:51 +0000 2017
energy,kharmahealy,RT @jotaspuercas: I wanna channel the energy of this sloth who just woke up and is well rested and ready to start their long day of doing n…,Sat May 13 06:18:51 +0000 2017
energy,BrooksDslbrooks,"RT @johnstontony: @CarvilleDean @Jackthelad1947 @RichardDiNatale @pstanden2 US Solar Employs more people than coal, gas &amp; oil combined. htt…",Sat May 13 06:18:49 +0000 2017
energy,karismaslusher,RT @TrentShelton: Everybody doesn't deserve your energy. The most valuable thing you can give someone is your time. Make sure they're worth…,Sat May 13 06:18:49 +0000 2017
energy,LovelyJazmin11,RT @earlxsweat: niggas w no swag b out here lookin like a damn turkey sandwich lmao i wish i had the energy to photo document this alas,Sat May 13 06:18:45 +0000 2017
energy,FlyGirl_Nae,RT @KEVINGETEM: stop letting ppl fuck w/ your energy. Gotchu all bothered &amp; they’re walking the earth without a care in the world b,Sat May 13 06:18:45 +0000 2017
energy,bookish_yogi,"Saturday: yoga, haircut, write 2000 words, collapse on floor, wonder where energy for hopes &amp; dreams will come from 😪😪😪",Sat May 13 06:18:44 +0000 2017
energy,PalermoMhelkris,"RT @Mfatingana23: You always worry about tomorrow, but when tomorrow comes, you realize it is just a waste of time and energy.

MIHOatASEAN…",Sat May 13 06:18:42 +0000 2017
energy,Lifew0Milton,RT @Recklsss: Lose 200 and see if you got the same energy https://t.co/fkoTaqKfTY,Sat May 13 06:18:42 +0000 2017
energy,GlobeBC,B.C. resource projects face uncertainty after election https://t.co/Uqmpv6tLno https://t.co/WpqJzOpjbA,Sat May 13 06:18:41 +0000 2017
energy,Chaotic_Energy,@nickiola_t Thats a lot of idek pngs,Sat May 13 06:18:40 +0000 2017
energy,MyrianUC,"RT @BodhiEnglish: Silence gives children the ability to collect energy and speak out about ideas, feelings, and messages. #teach #love http…",Sat May 13 06:18:39 +0000 2017
