category,user,tweet,time
energy,sexycreole,RT @cthagod: So a young lady disrespects Lavar Ball on national TV and when Lavar gives her that same energy back he's the bad guy?,Thu May 18 20:23:13 +0000 2017
energy,JulioTejedorB,"RT @JeromePecresse: #Forestalia deal important to Europe - @LMWindPower blades from Spain, towers from Spain, nacelles from Germany https:/…",Thu May 18 20:23:13 +0000 2017
energy,producerlookout,Nav ft. The Weeknd Type Beat - Energy (Prod. by @LidoLavish x @MadeByZ) https://t.co/oEDm3FsA01,Thu May 18 20:23:12 +0000 2017
energy,RhiannonFluke,I have -5% energy and I have to get up for work,Thu May 18 20:23:11 +0000 2017
energy,EProd_Careers,"We're #hiring! Read about our latest #job opening here: Driver - Crude Oil (Hennessey, OK) - https://t.co/9TOJ1zo8WE #veterans #energy",Thu May 18 20:23:11 +0000 2017
energy,coffeegulper,New Battery Technology Draws Energy Directly From Human Body https://t.co/1s2yNGl8n1,Thu May 18 20:23:11 +0000 2017
energy,dollfacejesss,RT @40oz_VAN: Keep that wack energy on the other side.,Thu May 18 20:23:10 +0000 2017
energy,venomousval666,"RT @aubrihiconic: protect your energy and happiness, it's important",Thu May 18 20:23:10 +0000 2017
energy,LamariaWasHere,RT @NMLite: Y'all love to support things when they're free. Use that same energy when you have to throw some coins down. #NickiBBMAs https:…,Thu May 18 20:23:10 +0000 2017
energy,MetalRod1,extreme metal day Balance Interruption Streams of Black Energy https://t.co/uoUkcblQwQ,Thu May 18 20:23:09 +0000 2017
energy,BossMan_Guru,E-Motions = Energy in Motion,Thu May 18 20:23:06 +0000 2017
energy,WeAreExistence,And you'll feel amazing and your body will thank you. Just don't forget to stretch and push the limits of you're energy.,Thu May 18 20:23:06 +0000 2017
energy,ThePinkPornoMan,maybe I'll draw them tonight once Iv'e gotten my energy back ~,Thu May 18 20:23:05 +0000 2017
energy,ChefCDM,RT @EnergyFC: The winner of Energy FC vs @SwitchbacksFC will face @ColoradoRapids in the Fourth Round of @usopencup. Hosting scenarios comi…,Thu May 18 20:23:05 +0000 2017
energy,rissroze,RT @40oz_VAN: Keep that wack energy on the other side.,Thu May 18 20:23:05 +0000 2017
energy,OverUnderClover,"@FoxNews @POTUS oh for fuck sake...""crying this"" ""lying that"" ""low energy this"" everything is the BEST or the WORST… https://t.co/ve7rmMav7M",Thu May 18 20:23:04 +0000 2017
energy,Methodgg,"RT @JINX: Working on lots of new stuff! Not like we aren't usually, but drank a bunch of energy drinks, so more than usual. #18yearsofJINX…",Thu May 18 20:23:03 +0000 2017
energy,Cristo8444,"Is Your Energy Healer Bogus? Here's How To Find Out
https://t.co/IdjIaB8yyK https://t.co/qwEyKJcrUc",Thu May 18 20:23:03 +0000 2017
energy,burakcankaya07,RT @UtilityDive: California sets two renewable energy records in a week as peak penetration reaches above 70%: https://t.co/zWgR6VE2k7,Thu May 18 20:23:03 +0000 2017
energy,JonathanMellor,RT @WWFScotland: Tesco to switch to 100% renewable electricity this year in UK and by 2030 worldwide https://t.co/2GQqVvDXd1,Thu May 18 20:23:03 +0000 2017
energy,yummyleika,"RT @ohhcami_: You get what you give out into the world , so everyday I try to be a good person and give off positive energy",Thu May 18 20:23:03 +0000 2017
energy,jgdiniz,"RT @ClimateReality: Eggbeater turbines, a wind energy island, and energy from… volcanoes? Check out these cool innovations in clean tech ht…",Thu May 18 20:23:01 +0000 2017
energy,purpleview,RT @KaCaLiving: @weplaycomputers -The Energy level 😳🎸..Need I say more! Must win this!! VOTE 4 CG to open at @iHeartRadio #RisingStar 2017🕹…,Thu May 18 20:23:01 +0000 2017
energy,RandallCampbe11,"RT @ajplus: The LEGO Group is now using 100% renewable energy.

The company previously invested $6 billion in offshore wind technology. htt…",Thu May 18 20:23:01 +0000 2017
energy,fasoolito,"RT @ajplus: The LEGO Group is now using 100% renewable energy.

The company previously invested $6 billion in offshore wind technology. htt…",Thu May 18 20:23:01 +0000 2017
energy,Kime55,RT @NRDCTrumpWatch: Trump eyes drastic cuts to clean #energy funding. https://t.co/IziujroL2Q,Thu May 18 20:23:00 +0000 2017
energy,DiscloseTV,Zero Point Energy: The Power Source Behind The Secret Space Program #Illustrator https://t.co/ZQ7i5zQ2SB,Thu May 18 20:23:00 +0000 2017
energy,DudhaIsmail,"RT @thequote: Don't hold on to anger, hurt or pain. They steal your energy and keep you from love. – Leo Buscaglia",Thu May 18 20:23:00 +0000 2017
energy,SuperbadLarry,"RT @ajplus: The LEGO Group is now using 100% renewable energy.

The company previously invested $6 billion in offshore wind technology. htt…",Thu May 18 20:23:00 +0000 2017
energy,ec0organic,Preview: 2017 Sustainable Energy in Minnesota Factsheet &amp; National Factbook https://t.co/XXc5pLoykT https://t.co/VBTm9Mo79F,Thu May 18 20:22:59 +0000 2017
energy,lilcaaam,RT @sandeezy_: I give the same energy you give me. Ion kiss ass.,Thu May 18 20:22:59 +0000 2017
energy,TheGayestMom,I CANT HA NDLE ENERGY DRINKS SNED HELP PLEASEE,Thu May 18 20:22:58 +0000 2017
energy,InspectnManager,World’s largest wind turbines may double in size before 2024 #windturbine #windenergy #wind #industry #energy #green https://t.co/jGq8dOGYz9,Thu May 18 20:22:58 +0000 2017
energy,Lungza81gmailc1,"RT @DURGESHG7: Don't hold on to anger, hurt or pain. They steal your energy and keep you from love. – Leo Buscaglia",Thu May 18 20:22:58 +0000 2017
energy,cafedelocean,RT @uktostayeu: . @GuyVerhofstadt explains why #Europe won't be putting too much energy into #brexit https://t.co/AIfWjwr8xs,Thu May 18 20:22:58 +0000 2017
energy,sunsmiranda,"RT @ajplus: The LEGO Group is now using 100% renewable energy.

The company previously invested $6 billion in offshore wind technology. htt…",Thu May 18 20:22:57 +0000 2017
energy,dg0817,"RT @danbertolet: we need both/and: electrification and better urbanism:
https://t.co/tJuOmyzrJ9 https://t.co/NxrBh1b5Fq",Thu May 18 20:22:56 +0000 2017
energy,Daverecruiter1,"You Asked, They Answered: How CenterPoint Energy Does Social Customer Service https://t.co/VJklpUDiI6 https://t.co/yB8gJ4JaFw",Thu May 18 20:22:56 +0000 2017
energy,myungthug,"RT @godmyoui: Watching Momo dance is incredible, she puts so much energy into every move https://t.co/3qLFD4W9Ml",Thu May 18 20:22:55 +0000 2017
energy,GWDigital,"http//goodwilldigital.com/self-publishing Our #selfpublishing service saves you time, money and energy so you can be doing what you love.",Thu May 18 20:22:55 +0000 2017
energy,afrosidiac,"RT @DaddyShiva: Don't be ashamed of your sexual energy... Honor it. 
The things you suppress are the very things that end up rebelling agai…",Thu May 18 20:22:55 +0000 2017
energy,JanieceStaton,"RT @oeconline: .@e2org found that Oregon clean energy policy breeds cost-saving, job-creating innovation statewide #orleg https://t.co/eLdK…",Thu May 18 20:22:55 +0000 2017
energy,miriamvansanten,"RT @washingtonpost: Thanks to global warming, Antarctica is starting to turn green https://t.co/Php1dqYO9D https://t.co/blcU2CAigP",Thu May 18 20:22:54 +0000 2017
energy,__JAVY,RT @40oz_VAN: Keep that wack energy on the other side.,Thu May 18 20:22:54 +0000 2017
