category,user,tweet,time
football,bestway2bet,"FOOTBALL JACKPOT GBP/euro100K GUURANTEED 
Every week of the football se more info.. - https://t.co/ttR1brPhyZ https://t.co/My87E5PSCk",Thu May 18 09:21:19 +0000 2017
football,yourlifeimages,RT @TeleFootball: Divers could face retrospective punishment from next season https://t.co/J20kKxB7h5,Thu May 18 09:21:19 +0000 2017
football,The_TechCorner,RT @DenverBroncos1v: 2010 Rookies &amp; Stars JSY AUTO RC Demaryius Thomas #/25 BGS 9.5 10 AUTO https://t.co/Frh5qlk4ew #NFL #Football https://…,Thu May 18 09:21:18 +0000 2017
football,The_TechCorner,RT @Mandi_Ottoson: #RayRice 2011 Score Glossy #27 Ray Rice Baltimore Ravens Football #Card https://t.co/nuGgpP4qjr #NFL #Football https://t…,Thu May 18 09:21:18 +0000 2017
football,Douglas_Ehis,Everton ready to replace Lukaku with £20m Iheanacho https://t.co/9HHkj6e418 https://t.co/kv9QcHO9Xm,Thu May 18 09:21:18 +0000 2017
football,indexfootball,Arsenal Star Mesut Ozil Reveals Which Football Magician He Idolised as a Youngster &amp; Why https://t.co/UyMCNkiXe7,Thu May 18 09:21:17 +0000 2017
football,nahax4real,Everton ready to replace Lukaku with £20m Iheanacho https://t.co/QhVLjVMeIX https://t.co/5flpT8QfsT,Thu May 18 09:21:17 +0000 2017
football,NigeriaNewsHall,Everton ready to replace Lukaku with £20m Iheanacho https://t.co/ATIJ4mFPZW https://t.co/Hhtr5MCLir,Thu May 18 09:21:16 +0000 2017
football,SeanMcL91,RT @Liam81: Champions League Football next season https://t.co/jFpnPBzzo0,Thu May 18 09:21:16 +0000 2017
football,The_TechCorner,"RT @Sup_and_Chow: We are showing Leicester City v Tottenham Hotspur this evening.. 7.45pm #spurs #football 
 https://t.co/N2elJMPlQh",Thu May 18 09:21:16 +0000 2017
football,4r983Uf80e5YrXX,"RT @nikesoccer: Steal the spotlight.

The new Pitch Dark Pack is available now in the Nike Soccer App: https://t.co/XCKXoQxtmL https://t.co…",Thu May 18 09:21:16 +0000 2017
football,BettingZone,Stuart McCall's Bradford can keep things tight in the League One play-off final against Millwall says Nick Hext &gt;… https://t.co/n5w08Ajryw,Thu May 18 09:21:16 +0000 2017
football,MUFCNewsApp,"Transfer rumours and paper review – Thursday, May 18: Chelsea make stunning £55m move for PSG star, Tottenham w... - https://t.co/s7v7DhAso8",Thu May 18 09:21:16 +0000 2017
football,PeretzOmasi,Everton ready to replace Lukaku with £20m Iheanacho https://t.co/S3rVPRUxaS https://t.co/FlRtqGONmB,Thu May 18 09:21:15 +0000 2017
football,MUFCNewsApp,Jose Mourinho hails Sergio Romero as David De Gea misses Manchester United trip - https://t.co/TBX50koVj7,Thu May 18 09:21:15 +0000 2017
football,The_TechCorner,RT @SF49ersFans1: #NFL #49ers Jerry Rice San Francisco 49ers Wilson Jersey SZ XL New W/ Tag https://t.co/ePN0e8vmUU #FootBall #Bargains htt…,Thu May 18 09:21:15 +0000 2017
football,craigbradley5,"RT @TwopTwips: THWART football teams with a counter-attacking style by not attacking them.
(via @willrolls)",Thu May 18 09:21:14 +0000 2017
football,bruce_morlu,"RT @English_AS: Man United target Antoine Griezmann: 'I'd only leave Atletico to play for NY Knicks'
https://t.co/5d9wlg3QUx https://t.co/u…",Thu May 18 09:21:14 +0000 2017
football,yo_blogmedia,Everton ready to replace Lukaku with £20m Iheanacho https://t.co/HKQmlhCuD2 #yemioloyedeblog https://t.co/PoRE6IQ79m,Thu May 18 09:21:14 +0000 2017
football,EnuguNewsUpdate,Everton ready to replace Lukaku with £20m Iheanacho https://t.co/qcO7snzgeC https://t.co/OS66a58U8D,Thu May 18 09:21:14 +0000 2017
football,afcfct,"FREE FOOTBALL SESSIONS THIS MAY HALF TERM! ⚽️
 
Join us this May Half term at Mill Lane Preston for FREE community… https://t.co/jvM77TpPjn",Thu May 18 09:21:14 +0000 2017
football,McqueenFraser,RT @NOT_MOTD: The best save in football history... https://t.co/ZVWF8ug9Jk,Thu May 18 09:21:14 +0000 2017
football,The_TechCorner,RT @GBPackers1v: #NFL #Cards GREEN BAY PACKERS -1/5 CASE - 3BOX LIVE BREAK - 2017 LEAF METAL *w/ *BONUS* https://t.co/tmv6lCiYVn #Football…,Thu May 18 09:21:14 +0000 2017
football,khamsarbekppkh,"RT @talkSPORT: 'John Terry can be #BCFC boss in a couple of years if he plays for me!'

Redknapp discusses #CFC legend on talkSPORT https:/…",Thu May 18 09:21:13 +0000 2017
football,The_TechCorner,RT @PhilaEaglesMall: #NFL PHILADELPHIA #Eagles BRENT CELEK. #87 BLACK GAME DAY JERESY https://t.co/oAfqytXVEZ #Football https://t.co/Vaz6Hk…,Thu May 18 09:21:13 +0000 2017
football,Mike_Tuckerman,"@9_Moley @GCBulletin Hey @9_Moley, the #aleague should swoop in on the @NRL's comical ineptitude. It's the worst-ru… https://t.co/p2SeMZSvfr",Thu May 18 09:21:13 +0000 2017
football,AidilRyezard,RT @NOT_MOTD: The best save in football history... https://t.co/ZVWF8ug9Jk,Thu May 18 09:21:13 +0000 2017
football,IAMKINGSCORPION,"RT @ACMilanSydney: That night a Milan massacre, one of the biggest feats on a football field. We had suspended players and really underdogs…",Thu May 18 09:21:13 +0000 2017
