category,user,tweet,time
fun,JBarthauer,@_JoshiferFan Have Fun ❤,Wed May 03 08:39:20 +0000 2017
fun,Kittystarship,RT @youngvulgarian: What an edgy framing of fascism! How fun and original! https://t.co/YVYdfIpALL,Wed May 03 08:39:20 +0000 2017
fun,atshandy190,RT @redragdolly: #ReadNLead workshops #MentoringStudents #Fun  #WorldWide #Thanks https://t.co/5iXorpCAXk,Wed May 03 08:39:20 +0000 2017
fun,SirPhilXtian,"RT @seejaybautista: Gina Lopez was rejected as DENR Secretary and Sen. Sotto is making fun all the single parents!

Kamusta ka Pilipinas?!",Wed May 03 08:39:20 +0000 2017
fun,n8rgrlforever,"RT @Lovely_Saffa: Haha this is gonna be so much fun😂❤ Chandu 😍
SegLink: https://t.co/7ABDLd3ILm

#Shivika #Ishqbaaaz #ShivikaSPA2017",Wed May 03 08:39:20 +0000 2017
fun,LiskeardSG,"RT @WestDevonSocial: West Devon SOCIAL EVENTS
https://t.co/m6Ol3EdlqV …
Have fun. Meet people. Make friends.
Enjoy YOUR social life with WE…",Wed May 03 08:39:18 +0000 2017
fun,LifeStyleWrld,Colorful fun had at YMCA Healthy Kid event - Palestine Herald Press https://t.co/I6yUOlIDKa https://t.co/6ONqc57Dhj,Wed May 03 08:39:18 +0000 2017
fun,TrangL23161621,"RT @tryngi0903: I vote for @BTS_twt for the #BTSBBMAs Top Social Artist Award.

I wanna do smth fun but I can't see notifications..... It c…",Wed May 03 08:39:17 +0000 2017
fun,shyunsay,"RT @carlyhenderson_: You know I vote @BTS_twt for the #BBMAs Top Social Artist Award! #BTSBBMAs 

Had so much fun interviewing them! ❤️ htt…",Wed May 03 08:39:17 +0000 2017
fun,wakawakatoshi,"I learned about kaomojis. They are fun to use. For example, this is volleyball: (／o^)/ °⊥ ＼(^o＼)",Wed May 03 08:39:17 +0000 2017
fun,eg_imagomundi,"RT @NBA: This point guard battle is fun.

#NBAPlayoffs https://t.co/UfqX05Tcoe",Wed May 03 08:39:16 +0000 2017
fun,WijayaOmmy,"Modern song, fun, style #MereDilMein #HalfGirlfriend @ShraddhaKapoor @arjunk26 @mohit11481 @MusicByRR  https://t.co/PWK9YR5qeK 😘😘🎶🎶👌👌👍👍🏀🏀😍😍😆",Wed May 03 08:39:16 +0000 2017
fun,asho7568,RT @Gurmeetramrahim: Jam-packed campus! Superb celebrations 👏! Explosion of Fun 🎇! Incredible #JEmania 😇 among Lakhs of Fans during JazbaES…,Wed May 03 08:39:14 +0000 2017
