category,user,tweet,time
fun,EvoluzioniMondo,"RT @LandLoveMag: Have u picked up your copy of the new issue yet? We've got #recipes, #wildlife, #family fun, #seaside traditions, #photo #…",Fri May 19 09:05:05 +0000 2017
fun,2onya,"I catch myself smiling for no reason. 
Fun is life.",Fri May 19 09:05:05 +0000 2017
fun,Beauxoxo,The puurrrfffeeect headband for weekend fun! https://t.co/A5miSr0MAH #beauxoxo #hairaccessory #headband… https://t.co/VIp5sgsD5j,Fri May 19 09:05:05 +0000 2017
fun,r_weale,"RT @DemobJob: **FRIDAY FUN DAY**

Who can guess what this is? #fridayfunday #fridayimage #fun #exmilitary #memories @BritishArmy @RoyalAirF…",Fri May 19 09:05:05 +0000 2017
fun,wafayazzzzzzzzz,RT @JasonBravura: Hope everyone enjoyed today's eps! I especially had fun recreating scenes from our past series: https://t.co/4LIqffLJ5e,Fri May 19 09:05:05 +0000 2017
fun,ar_mysty,RT @extramochi: 80.) Do you sometimes get confused between The Rise of Bangtan and Fun Boys? #BTSBBMAs,Fri May 19 09:05:05 +0000 2017
fun,ReserveBankKek,RT @SirShadilay: Stop making fun of Canadians. They already gave us Justin Bieber and Nickelback. Who knows what other Weapons of Mass Dest…,Fri May 19 09:05:05 +0000 2017
fun,manke_melita,3rd time to join Fun Run tom..hope di lng mag ulan..,Fri May 19 09:05:05 +0000 2017
fun,KkimberlySturge,"RT @bandraescorts: Gorgeous upcoming Punjabi model escort females for outcall fun in Mumbai. Incalls for these ladies available in...
https…",Fri May 19 09:05:05 +0000 2017
fun,endofthedaayx3,RT @Harry_Styles: @Louis_Tomlinson have fun sweet cheeks...see you at home later .x,Fri May 19 09:05:04 +0000 2017
fun,mariong1,RT @davecdnb: @kengarex NL looks so much more fun than B,Fri May 19 09:05:04 +0000 2017
fun,NaveenBamniya17,RT @Gurmeetramrahim: Fun &amp; Celebration begin with #JEinCinemasToday 🎞🎇🎉🎉Fans! Go &amp; meet 💞SSS! He will win ur hearts💖with his unimaginable &amp;…,Fri May 19 09:05:04 +0000 2017
fun,RobLuvKaosXx,Ayyyoo who fukn pop 😱😂😂😂y he star beatin her tf up tho buhl hit er w da 619 n jus bodied her shit  like dis was nve… https://t.co/IiYI8P53P8,Fri May 19 09:05:02 +0000 2017
fun,PoojaKrarwal,"RT @MSGTheFilm: Hey Guys!! 
So, here's the day!!!❤ #JEinCinemasToday. Watch and don't forget to tweet your experience of fun ride 😂🎡 with J…",Fri May 19 09:05:02 +0000 2017
fun,AmishCountry,Meet the horses from the @BlueGateIN during their barn tour. https://t.co/lnG6EenqEh #AmishCountry #fun #Shipshewana https://t.co/5wgINMUpLJ,Fri May 19 09:05:02 +0000 2017
fun,daniyana_my,RT @TheDIYideas: Fun fact: French fries are from Belgium not France. https://t.co/vCRP7okEbB,Fri May 19 09:05:02 +0000 2017
fun,PinkiArora6,"RT @MSGTheFilm: Hey Guys!! 
So, here's the day!!!❤ #JEinCinemasToday. Watch and don't forget to tweet your experience of fun ride 😂🎡 with J…",Fri May 19 09:05:01 +0000 2017
fun,sejongie,@insehunity HAVE FUN IN KOREA!!!1! take lots of pic and stay safe! 💗 https://t.co/m4CfI6hEPc,Fri May 19 09:05:00 +0000 2017
fun,theyariana_,RT @sunlitae: this part during boyz with fun will always be one of my favorites 😩 sjsnsjdnsj https://t.co/nNX8NzfCD0,Fri May 19 09:04:59 +0000 2017
fun,Darshan_Mohali,"RT @MSGTheFilm: Hey Guys!! 
So, here's the day!!!❤ #JEinCinemasToday. Watch and don't forget to tweet your experience of fun ride 😂🎡 with J…",Fri May 19 09:04:59 +0000 2017
fun,UsmanOnBoard,watch this how USA kills people and make fun .... #Iraq https://t.co/3xD2J2cepF,Fri May 19 09:04:59 +0000 2017
fun,ArfurSmith,"RT @CariadSher: We had great fun travelling up Cadair Idris with comedian, writer and One Show presenter @ArfurSmith https://t.co/cpycawJ7ZE",Fri May 19 09:04:58 +0000 2017
fun,ashleylachelle_,"RT @bphills_: Fun fact, they banned this move cuz she was the only one who could do it. https://t.co/bpSHOolMu6",Fri May 19 09:04:58 +0000 2017
fun,bubybubz,RT @bubybubz: super fun morning sesh with the boys ! https://t.co/aJgDuwaCt9,Fri May 19 09:04:58 +0000 2017
fun,sajid_aiman,"RT @NextToYouFool: Same Harry! "" that was fun "" https://t.co/NeLOY7Z85K",Fri May 19 09:04:57 +0000 2017
fun,rajeshposwal9,RT @Gurmeetramrahim: Fun &amp; Celebration begin with #JEinCinemasToday 🎞🎇🎉🎉Fans! Go &amp; meet 💞SSS! He will win ur hearts💖with his unimaginable &amp;…,Fri May 19 09:04:56 +0000 2017
fun,lavkeshjain,"RT @bookmyshow: Get ready for a fun contest to win movie vouchers #ChiVaChiSauKaToday
Spread the word. 
#ContestAlert #MovieVouchers https:…",Fri May 19 09:04:56 +0000 2017
fun,MarcTennant,What an inspiring adventure in 2017. Haveing fun and sharing science with hundreds of next gen. Thanks @EstieNikla1 https://t.co/wCKqOQURVB,Fri May 19 09:04:56 +0000 2017
fun,F1d4lg0,RT @HKane: Well that was a fun evening 😁 Thanks to the team for helping me score 4 tonight! ❤️ #COYS #PL https://t.co/nkwk3xk5Us,Fri May 19 09:04:56 +0000 2017
fun,ColinEldridge7,Tonight was fun im gonna miss highschool but im ready to be done,Fri May 19 09:04:55 +0000 2017
fun,Inf3rnoPanda,@JamesFlamestar @TwitchAdelaide @TwitchSydney Come fly to Adelaide. We're fun.,Fri May 19 09:04:55 +0000 2017
fun,parttrap11,"RT @Snapchatvidz: Was a while since i updated!! 😄
Had some fun with My neighbour last night!! RT if you wanna pound me good daddy 🙈🙈🙈💋 #hap…",Fri May 19 09:04:54 +0000 2017
fun,jhonnynaman,RT @iFustin: When @udacity and @Google give you an opportunity to learn to program in Android and have fun during the process. THANKS! #mad…,Fri May 19 09:04:54 +0000 2017
fun,GursewakInsa,RT @ITwingDSS: Add some great fun to your day!!!🎉 #JEinCinemasToday!! The flick will make you delighted to the core!!❤ Enjoy it with family…,Fri May 19 09:04:54 +0000 2017
fun,KatieFluxcom,"RT @greatworldsa: Did you know? *#IncredibleIllusions #3DArtexhibition is fun, interactive &amp; touching and photography is not just allowed b…",Fri May 19 09:04:53 +0000 2017
fun,dawsie_6,RT @CommonWhiteGrls: does anybody else go through their old pictures and videos and just smile because u remember how fun those times were…,Fri May 19 09:04:53 +0000 2017
fun,m0sscrue,RT @Forever_Tarun: Having fun at your desk #CoolPlaceToWork #LifeAtShell @Shell_India. Lovely team of T&amp;S https://t.co/Trej9B0E8C,Fri May 19 09:04:53 +0000 2017
fun,withabrokenhalo,"RT @DirkGentlyBBCA: The experiment was a success, thank you for your continued support and cooperation!! The results are that you are fun a…",Fri May 19 09:04:53 +0000 2017
fun,karinaapmt,@ariirham2 wets have fun😊,Fri May 19 09:04:53 +0000 2017
fun,PUREBar_Kent,RT @EmmaCB_: Big up next Thursday I'll be spinning some tunes at @wow_nights @PUREBar_Kent come down it'll be fun 😉🙌🏻🙏🏻 https://t.co/sjCKkQ…,Fri May 19 09:04:52 +0000 2017
fun,johnnypanicisme,#Learning #code has never been as fun #GameState #LegionbyLenovo https://t.co/mAYEqpZsSY #LenovoChampions https://t.co/8LikVGz8tA,Fri May 19 09:04:52 +0000 2017
fun,patlazysundays,RT @DangerosaJones: How fun is this? #books #amreading #movies https://t.co/xpsYj0Dy59,Fri May 19 09:04:51 +0000 2017
fun,HireAnAdmin,"RT @welovewalks: What? It's Friday already? Thanks to @stillsbranding @keith_davies &amp; @salesforce for a varied, fun, inspiring week! #lovem…",Fri May 19 09:04:51 +0000 2017
fun,mannu33683033,RT @Gurmeetramrahim: Fun &amp; Celebration begin with #JEinCinemasToday 🎞🎇🎉🎉Fans! Go &amp; meet 💞SSS! He will win ur hearts💖with his unimaginable &amp;…,Fri May 19 09:04:51 +0000 2017
fun,DrsecurewebRaj,"depress

relax &amp; meditate
https://t.co/Vs04aXGRMl

FUN with Rubik cube
https://t.co/z0L1L3aPSP

change, learn REBT 
https://t.co/GRRsn596wo",Fri May 19 09:04:50 +0000 2017
fun,badqueue,RT @Nude: Just a little modeling for fun. https://t.co/BqU185Ar72,Fri May 19 09:04:50 +0000 2017
fun,freakingjulia,"RT @bphills_: Fun fact, they banned this move cuz she was the only one who could do it. https://t.co/bpSHOolMu6",Fri May 19 09:04:49 +0000 2017
