category,user,tweet,time
game,M7Aaron,@vettepassby35 What a game man,Sat May 13 03:57:42 +0000 2017
game,hmcdtweets,"RT @BrodyLogan: Wizards won their first home elimination game since 1997, breaking a streak of 7 straight, which was the longest such strea…",Sat May 13 03:57:42 +0000 2017
game,grace_happens,Lets Get Game 1 @imafan4you @LadyTennisBall @QueenDuck07 @ICDucksFan @DuaneAAA @HelenH0830 @imjudyb @JenelynRusso @WendySmith22 @LikeMyDucks,Sat May 13 03:57:42 +0000 2017
game,vintagefresh13,"RT @Donny_Moore: https://t.co/aHKFcsRM3r!

Final Score 🚨 

@ProblemWright  31
@SeRiouSMoE1    28

#MaddenChampionship https://t.co/MYSJ19Ej…",Sat May 13 03:57:42 +0000 2017
game,NBAhighlghts,Isaiah Thomas Miss Winning Shot - May 12 2017 Celtics vs Wizards Game 6 #NBAPlayoffs #ItsNotLuck #DCFamily https://t.co/gaf7tgapKh,Sat May 13 03:57:42 +0000 2017
game,WaltBink2585,@Phila4_4 @MarkPerner Just going by what I read and what he's measured . I never met guy.  Averaged over 3 turnovers a game in acc.,Sat May 13 03:57:41 +0000 2017
game,xoAleeyaah,"RT @NBATV: FOR THE WIN! 🚨

@JohnWall drains the game-winning three with 3.5 seconds left to force a Game 7. #NBAPlayoffs https://t.co/QZlCo…",Sat May 13 03:57:41 +0000 2017
game,TjShorts5,RT @CountOnVic: Almost Mother's Day... Never forget when she braided his hair mid game https://t.co/2oNz3uwbWI,Sat May 13 03:57:41 +0000 2017
game,Devils8830,"RT @DevilsInsiders: #FormerDevilsOTChallenge

1) Follow
2) RT this

If Fiddler scores, we'll randomly select a winner to go w/ us to NJD ga…",Sat May 13 03:57:41 +0000 2017
game,zj_smiles,RT @IUMightyMacs: .@MightyMacsBase is headed back to the @CSACsports Championship game for the 2nd straight year with a 10-4 win! https://t…,Sat May 13 03:57:41 +0000 2017
game,605louie,RT @CaelabSmith29: Celtics fans everytime john wall touches the ball next game https://t.co/HE2AP7KNP5,Sat May 13 03:57:41 +0000 2017
game,MrPersistent336,RT @NBA: Watch all the clutch moments from a thrilling Game 6! https://t.co/zeaGV3JtIJ,Sat May 13 03:57:41 +0000 2017
game,Wi11ster,"RT @arubin820: When you force a Game 7, you slap @stephenasmith on the ass. https://t.co/kbDYlUhF3k",Sat May 13 03:57:41 +0000 2017
game,PoloZ_IRoc,@celtics &amp; @WashWizards had a good game 6.. @JohnWall @RealDealBeal23 y'all did ya thangs!,Sat May 13 03:57:41 +0000 2017
game,jaydinero___,RT @_Diinero_: Game 7 we go! Cuz the best PG in the league 🙈,Sat May 13 03:57:41 +0000 2017
game,billcheney,RT @histcoach: Just hanging out on the FIELD! @ the Angel game w/my good friend @ScottBunch2. Thank you @SchoolsFirstFCU @LaHabraHS @prayer…,Sat May 13 03:57:40 +0000 2017
game,jbeanpoll,Looks like weather delayed the game vs. @hoover_baseball in 7A baseball #alpreps https://t.co/sMlgOlNKhi,Sat May 13 03:57:40 +0000 2017
game,kyle_thies,@berleezy Did you watch the wizards and celtics game?,Sat May 13 03:57:40 +0000 2017
game,chrisb14,"RT @arubin820: When you force a Game 7, you slap @stephenasmith on the ass. https://t.co/kbDYlUhF3k",Sat May 13 03:57:40 +0000 2017
game,RopevilleRaider,RT @NBA: John Wall cashes the three as Game 6 is heating up on @espn! https://t.co/wzlHO1kQAz,Sat May 13 03:57:40 +0000 2017
game,hnb6458,RT @SN_Ohio: Last time wearing black to an elimination game actually worked: https://t.co/bavaOUD9Rt,Sat May 13 03:57:40 +0000 2017
game,lil_blackbadazz,"RT @Austinrh12: Wizards fans acting like they wouldn't have tweeted ""Fuck you Isaiah Thomas"" if he hit the game winning shot.. y'all soft.",Sat May 13 03:57:40 +0000 2017
game,JeanetteBreanne,RT @hunn_eerr: taft boys are coming for the All-Star game💙💛 https://t.co/kDwJAspKGl,Sat May 13 03:57:40 +0000 2017
game,hanna_BITCH,"RT @AttitudeRih_: This chapter of my life is called ""STEP YOUR MOTHERFUCKING GAME UP""",Sat May 13 03:57:40 +0000 2017
game,jcosing101,RT @NBA: All the emotion from John Wall after Wizards win Game 6! #DCFamily #ThisIsWhyWePlay https://t.co/3q1ACAVLbj,Sat May 13 03:57:40 +0000 2017
game,asvpjojo,RT @ImranC23_: HELL NAH WHO LET EINSTEIN AND SUGE KNIGHT INTO THE WIZARDS GAME DOG?!???!!??! https://t.co/k9C9sqKOuf,Sat May 13 03:57:39 +0000 2017
game,giobarreto10,"RT @NBA_Skits: John Wall with the game-winning 3-pointer against the Celtics! ❄️

 https://t.co/28nvM4qhB1",Sat May 13 03:57:39 +0000 2017
game,santana7700,"RT @arubin820: When you force a Game 7, you slap @stephenasmith on the ass. https://t.co/kbDYlUhF3k",Sat May 13 03:57:39 +0000 2017
game,michellarae,RT @UGAWomensLax: NOW THATS FAM! 10:30am game to fight for 3rd tomorrow. #letsgodawgs #family #buddies4ever https://t.co/cKJrDvb03R,Sat May 13 03:57:39 +0000 2017
game,Kdent91,@chad_goodall Very rarely go out now mate. Shocked that you bottled the Sunday league game along with @George_Ford17,Sat May 13 03:57:39 +0000 2017
game,FootballBne,"RT @northstar_fc: Unfortunately, due to the wet weather the fields will be closed after the City Women's game this afternoon. All... https:…",Sat May 13 03:57:39 +0000 2017
game,btshope_heerin,RT @ItsJRE: BTS VISUAL NOVEL GAME!!! [DEMO] https://t.co/VBshyPeSG5,Sat May 13 03:57:39 +0000 2017
game,xtamiaterry,"RT @arubin820: When you force a Game 7, you slap @stephenasmith on the ass. https://t.co/kbDYlUhF3k",Sat May 13 03:57:39 +0000 2017
game,TerranAlleen,@maxalackin There are no viable m/m ships in this game it is the straightest game ever made,Sat May 13 03:57:39 +0000 2017
game,dillon_james,Watching the @PredsNHL game at an @ogafroman concert.. That's just the way I roll.. #WelcomeToMississippi,Sat May 13 03:57:39 +0000 2017
game,jntdgreen,RT @IowaParkHS: And that’s the ballgame!! Hawks win 2-0. Game 2 tomorrow!!,Sat May 13 03:57:38 +0000 2017
game,JacobConda_,"RT @arubin820: When you force a Game 7, you slap @stephenasmith on the ass. https://t.co/kbDYlUhF3k",Sat May 13 03:57:38 +0000 2017
game,MatFlusk,Actual game theory is kind of inferior to decades of actual observable history. https://t.co/Hrf0oy8ljc,Sat May 13 03:57:38 +0000 2017
game,unlvbaseball,"We've gone final at Peccole Park in Reno ... UNR takes game 1 of the #MWBSB series, 4-3, over #UNLVbaseball.",Sat May 13 03:57:38 +0000 2017
game,NamiRocket,"-Hot Take 6-

EVERY POKÉMON GAME IS EXACTLY THE SAME! WHAT ARE YOU PEOPLE EVEN DOING!?",Sat May 13 03:57:38 +0000 2017
game,Emilitaa23,@maxeydtom I bet!! Closed-roof Etihad was interesting but unfortunately it was pretty empty &amp; the game was awful :(… https://t.co/EI0865mK1g,Sat May 13 03:57:38 +0000 2017
game,tms_ladywavebb,RT @misshsaa: Tupelo wins MHSAA Class 6A Fast Pitch Championship. Photos now online https://t.co/9EgvCBB1Uq https://t.co/iWj0FETKEZ,Sat May 13 03:57:38 +0000 2017
game,KayleeUnderwoo2,"""My head is in the game, but my heart is in the Reuben."" -Jacob Kunz 2017",Sat May 13 03:57:37 +0000 2017
