category,user,tweet,time
golf,studiocafebleu,RT @chrislhayes: Nothing says family values like spending Mother's Day at the golf course by yourself.,Mon May 15 02:08:45 +0000 2017
golf,imajmitchelI,Boutta golf 🏌,Mon May 15 02:08:45 +0000 2017
golf,NoahWPierce,RT @chrislhayes: Nothing says family values like spending Mother's Day at the golf course by yourself.,Mon May 15 02:08:44 +0000 2017
golf,dbible88,"RT @MyGolfSpy: The Rise &amp; Fall of Taylormade Golf.

STORY: https://t.co/jfLxhSVQ4W… https://t.co/SXDraicyfj",Mon May 15 02:08:44 +0000 2017
golf,FannPoliCda,"RT @Al_Drago: President @realDonaldTrump arrives at Trump National Golf Club in Sterling, Va. this morning. Trump's 21st visit to a golf co…",Mon May 15 02:08:44 +0000 2017
golf,DutchVanDizzle,"RT @amandablount2: Today is Mother's day and POTUS is in VA playing GOLF? I'm not saying Melania is perfect, but that is just cold hearted.…",Mon May 15 02:08:43 +0000 2017
golf,hereforthemusik,"RT @Al_Drago: President @realDonaldTrump arrives at Trump National Golf Club in Sterling, Va. this morning. Trump's 21st visit to a golf co…",Mon May 15 02:08:43 +0000 2017
golf,Freddy_Vanessa,RT @chrislhayes: Nothing says family values like spending Mother's Day at the golf course by yourself.,Mon May 15 02:08:43 +0000 2017
golf,AnoonEMouse,"RT @ABC: Flash mob of 200 demonstrators spells out ""RESIST!"" in 30-foot-tall letters at Trump National Golf Club near L.A. https://t.co/woc…",Mon May 15 02:08:43 +0000 2017
golf,justininglv,RT @thehill: Trump travels to Virginia golf club for 15th straight weekend at Trump-branded property https://t.co/Vq5wGYCfC9 https://t.co/o…,Mon May 15 02:08:43 +0000 2017
golf,chesse47,"RT @MattStout07: Let this sink in... @realDonaldTrump has an 11 year old son at home, yet spends every weekend away playing golf... And peo…",Mon May 15 02:08:43 +0000 2017
golf,nutm3ggers,"RT @MattStout07: Let this sink in... @realDonaldTrump has an 11 year old son at home, yet spends every weekend away playing golf... And peo…",Mon May 15 02:08:43 +0000 2017
golf,Jpulley65,RT @GuyCodes: 78-year-old golf legend Chi-Chi Rodriguez takes one to the pills 😩😭 https://t.co/aqfmsIkCLb,Mon May 15 02:08:42 +0000 2017
golf,jackwilshere22,RT @chrislhayes: Nothing says family values like spending Mother's Day at the golf course by yourself.,Mon May 15 02:08:42 +0000 2017
golf,awesomemom5150,"RT @MattStout07: Let this sink in... @realDonaldTrump has an 11 year old son at home, yet spends every weekend away playing golf... And peo…",Mon May 15 02:08:41 +0000 2017
golf,cuirrier,"RT @MattStout07: Let this sink in... @realDonaldTrump has an 11 year old son at home, yet spends every weekend away playing golf... And peo…",Mon May 15 02:08:40 +0000 2017
golf,BAappliquer,"RT @MattStout07: Let this sink in... @realDonaldTrump has an 11 year old son at home, yet spends every weekend away playing golf... And peo…",Mon May 15 02:08:40 +0000 2017
golf,pacanukeha,RT @chrislhayes: Nothing says family values like spending Mother's Day at the golf course by yourself.,Mon May 15 02:08:40 +0000 2017
golf,tlrfry,RT @GuyCodes: 78-year-old golf legend Chi-Chi Rodriguez takes one to the pills 😩😭 https://t.co/aqfmsIkCLb,Mon May 15 02:08:39 +0000 2017
golf,esd2000,RT @chrislhayes: Nothing says family values like spending Mother's Day at the golf course by yourself.,Mon May 15 02:08:39 +0000 2017
golf,RogSydney,RT @Manstagram_: 78-year-old golf legend Chi-Chi Rodriguez takes one to the pills 😩😭 https://t.co/O0Fyfq9YLT,Mon May 15 02:08:38 +0000 2017
golf,MoogleKittyGirl,RT @chrislhayes: Nothing says family values like spending Mother's Day at the golf course by yourself.,Mon May 15 02:08:37 +0000 2017
golf,taylor_karvala,RT @phoebelhulls: tbt to last mother's day when my mom got run over by a golf cart and i had to take her to the er,Mon May 15 02:08:37 +0000 2017
golf,MistralLindy17,"RT @MattStout07: Let this sink in... @realDonaldTrump has an 11 year old son at home, yet spends every weekend away playing golf... And peo…",Mon May 15 02:08:37 +0000 2017
golf,GolfCourier,#GolfNews #Golf Si Woo Kim beats a top class field to be the youngest ever PLAYERS winner https://t.co/5fiagPuLP3,Mon May 15 02:08:37 +0000 2017
golf,jus_trynahelp,"RT @MattStout07: Let this sink in... @realDonaldTrump has an 11 year old son at home, yet spends every weekend away playing golf... And peo…",Mon May 15 02:08:36 +0000 2017
golf,zarafa,"RT @Impeach_D_Trump: What Does Trump do this beautiful #MothersDay  ?  

Spend Time With Melania?  

Nope!

He Golfs at Trump National Golf…",Mon May 15 02:08:35 +0000 2017
golf,sohailThinks,#Golf NEWS :Kim's back holds up under Players pressure https://t.co/VR1WRt8dRu https://t.co/0a9NrtozEt https://t.co/6JSWgS6T8i,Mon May 15 02:08:35 +0000 2017
golf,AllonsyCrazy,RT @chrislhayes: Nothing says family values like spending Mother's Day at the golf course by yourself.,Mon May 15 02:08:34 +0000 2017
golf,DaenerysRocio,"RT @kylegriffin1: Per pool: ""We've arrived at Trump National Golf Club at 10:31am.""

This is Trump's 21st visit to a golf course as preside…",Mon May 15 02:08:34 +0000 2017
golf,cindybatusic,"RT @MattStout07: Let this sink in... @realDonaldTrump has an 11 year old son at home, yet spends every weekend away playing golf... And peo…",Mon May 15 02:08:32 +0000 2017
golf,alsdsotm,RT @chrislhayes: Nothing says family values like spending Mother's Day at the golf course by yourself.,Mon May 15 02:08:31 +0000 2017
golf,BabajiWeareone,@VPoljanec @Cali_Deplorable @reSISTERhood9 @AynRandPaulRyan @realDonaldTrump @FLOTUS I think they are referring to… https://t.co/3lNJjOZKaX,Mon May 15 02:08:31 +0000 2017
golf,drahero39,"RT @PGATOUR: From way right to extremely tight.

The ups and downs of golf for @IanJamesPoulter.

Whew. #QuickHits https://t.co/Jw6q8WP4Dr",Mon May 15 02:08:31 +0000 2017
golf,sohailThinks,#Golf NEWS :Players champ Kim still has to fulfill military service https://t.co/8bj1KA8cZ0 https://t.co/tiigOgNfxN https://t.co/wcRWanOu7i,Mon May 15 02:08:30 +0000 2017
golf,claireib4,RT @chrislhayes: Nothing says family values like spending Mother's Day at the golf course by yourself.,Mon May 15 02:08:30 +0000 2017
golf,JayIsAViking,RT @chrislhayes: Nothing says family values like spending Mother's Day at the golf course by yourself.,Mon May 15 02:08:30 +0000 2017
golf,Hector_Srsly,RT @chrislhayes: Nothing says family values like spending Mother's Day at the golf course by yourself.,Mon May 15 02:08:29 +0000 2017
golf,andreaacapozzi,"RT @RogueSNRadvisor: Pres said this AM he wants to ""golf as much as he can before it's all over."" Take from that what you will.",Mon May 15 02:08:29 +0000 2017
golf,carydier,RT @armandodkos: Can you see her from the golf course? https://t.co/zfFSU8MIwq,Mon May 15 02:08:28 +0000 2017
golf,golftweeps,"""With ruthless precision, Kim sets Players record"" https://t.co/a3n01cmaRC",Mon May 15 02:08:28 +0000 2017
golf,McGarveyGen,"RT @MattStout07: Let this sink in... @realDonaldTrump has an 11 year old son at home, yet spends every weekend away playing golf... And peo…",Mon May 15 02:08:28 +0000 2017
golf,kevinpicardi,"RT @BryanHoch: Derek Jeter being driven to the field on a golf cart to Frank Sinatra's ""My Way.""",Mon May 15 02:08:28 +0000 2017
golf,gsmacfadyen,Day one for golf at this spot. Had a delightful time. Two birdies carried the day for GMac! https://t.co/UyL9e4Dz68,Mon May 15 02:08:27 +0000 2017
golf,ElReyDuque,RT @BraddJaffy: Trump is at his VA golf club; his 21st golf course visit &amp; 34th visit to a Trump private business property since taking off…,Mon May 15 02:08:27 +0000 2017
golf,MBarakso,"RT @RogueSNRadvisor: Pres said this AM he wants to ""golf as much as he can before it's all over."" Take from that what you will.",Mon May 15 02:08:27 +0000 2017
golf,DeansherryS,"RT @MattStout07: Let this sink in... @realDonaldTrump has an 11 year old son at home, yet spends every weekend away playing golf... And peo…",Mon May 15 02:08:27 +0000 2017
golf,nynancyo,"RT @MattStout07: Let this sink in... @realDonaldTrump has an 11 year old son at home, yet spends every weekend away playing golf... And peo…",Mon May 15 02:08:26 +0000 2017
golf,sohailThinks,#Golf NEWS :Kim's back holds up under Players pressure https://t.co/VR1WRt8dRu https://t.co/0a9NrtozEt,Mon May 15 02:08:26 +0000 2017
golf,AndromedaNGC,"Melania &amp; Barron spent Mother's Day w/o Trump, while he played golf &amp; president. Her photo of just the two of them… https://t.co/IF1ck9e8gf",Mon May 15 02:08:25 +0000 2017
golf,asfarley,RT @chrislhayes: Nothing says family values like spending Mother's Day at the golf course by yourself.,Mon May 15 02:08:25 +0000 2017
golf,Jessalett,"RT @MattStout07: Let this sink in... @realDonaldTrump has an 11 year old son at home, yet spends every weekend away playing golf... And peo…",Mon May 15 02:08:25 +0000 2017
golf,topherhoefer,"RT @MattStout07: Let this sink in... @realDonaldTrump has an 11 year old son at home, yet spends every weekend away playing golf... And peo…",Mon May 15 02:08:24 +0000 2017
golf,StephanieFedora,RT @chrislhayes: Nothing says family values like spending Mother's Day at the golf course by yourself.,Mon May 15 02:08:24 +0000 2017
golf,Tess3761,RT @chrislhayes: Nothing says family values like spending Mother's Day at the golf course by yourself.,Mon May 15 02:08:23 +0000 2017
golf,rachie1975,Check out Women's Ralph Lauren Waterproof Golf Suit Khaki Brown XL Jacket 10 Pants #GolfSuit https://t.co/hwcV8GGuut via @eBay,Mon May 15 02:08:23 +0000 2017
