category,user,tweet,time
html,Kardasholizer,Cosmopolitan - Posts | The most talked about Photoshop fails from Beyonc?... https://t.co/KWv2oqQk6E https://t.co/h8qPrVyccV,Fri May 05 20:13:56 +0000 2017
html,Adrian_Benepe,"RT @olgaNYC1211: Hey America!!! Remember when Trump wanted Flynn as Vice President.. We would have had a 🇷🇺 Agent as VP
#Trumprussia 
https…",Fri May 05 20:13:56 +0000 2017
html,marielavender1,RT @cherrymischivus: ORPHAN DANI by @AuthorSDriscoll #BookTour THE DRAGON’S BANE CHRONICLES bk1 hostedby @VBTCafe https://t.co/lfyyraWiYO h…,Fri May 05 20:13:56 +0000 2017
html,RONMACIEL,"George Soros battles $10B lawsuit, familiar charges of wielding political influence... https://t.co/AsBTRyJxLM by #FoxNews via @c0nvey",Fri May 05 20:13:56 +0000 2017
html,VianZoo,Nonstop: Bollywood Wedding Songs Jukebox - Non Stop Hindi Shaadi Songs - Romantic Love Songs -… https://t.co/DrC8VS52wm,Fri May 05 20:13:56 +0000 2017
html,ChristianLoveTS,"Tattiana Torres because big is better!!
https://t.co/UGKIb1qQkJ
@SheCockLover @Tgirlconfusion @tgirllover18… https://t.co/SNXSGX19DJ",Fri May 05 20:13:56 +0000 2017
html,jalladin,"The best new Android feature might finally launch soon https://t.co/wOuc8gbWmj via @YahooTech
Finally 🙈🙉",Fri May 05 20:13:56 +0000 2017
html,ljmanning,RT @borealisadvisor: Superb report &amp; rec'd's from panel on political activities of #charities   = sea change from status-quo https://t.co/p…,Fri May 05 20:13:55 +0000 2017
html,jojojojude,"Love erotica? Check out my 12 explicit, wicked erotic tales! There's bdsm, exhibitionism, humiliation!… https://t.co/BY64U8V9ei",Fri May 05 20:13:55 +0000 2017
html,Gas8128,Love Costco? Don't buy these 5 items here https://t.co/YYxPNZ2G8u via the @FoxNews Android app,Fri May 05 20:13:55 +0000 2017
html,ez_rag,If u have a 332 area code ur a loser and a narc https://t.co/CpurIgndZe,Fri May 05 20:13:55 +0000 2017
html,gezzers32,"RT @CNN: Blitzer: Did you read the entire health care bill before voting yes?

Collins: ""I will fully admit, Wolf, I did not"" https://t.co/…",Fri May 05 20:13:55 +0000 2017
html,TheRedFisher1,RT @nevada2008: Check out this painting on https://t.co/lImD6VjNAO! https://t.co/pOnmL6QycE @Koehlerart,Fri May 05 20:13:55 +0000 2017
