category,user,tweet,time
html,CoryPaul,RT @GMPaiella: I will never write a better joke than the real news that Toby Keith is playing an all-male concert in Saudia Arabia https://…,Fri May 19 01:31:51 +0000 2017
html,orionsthera,"New artwork for sale! - ""Road To Rainier"" - https://t.co/EXFzlDzAsG @fineartamerica https://t.co/4t4rBACvXh",Fri May 19 01:31:50 +0000 2017
html,21sunshine64,"RT @AdamsFlaFan: As Russia Scandal Mushrooms, Trump Gives One Of The Worst Press Conferences In Recent History via @politicususa https://t.…",Fri May 19 01:31:50 +0000 2017
html,CheapHotelsHere,"http//:https://t.co/eGwczLzQgZ Twin Island Escapade https://t.co/miyFcpUoZ7 | #tweet #Sightseeing, #tour #worldtours #citytours, City #si…",Fri May 19 01:31:50 +0000 2017
html,christianfunnyp,Well that escalated quickly meme – Christian / Bible versions https://t.co/fkRhgH97RN,Fri May 19 01:31:50 +0000 2017
html,Lillylongfxks,RT @doitforthecams: Road service. https://t.co/sMrMGgFQQH https://t.co/SFBQ3ZBJME,Fri May 19 01:31:50 +0000 2017
html,TheRealKcChilds,Basquiat Painting Is Sold for $110.5 Million at Auction https://t.co/zV65DPHNJz,Fri May 19 01:31:50 +0000 2017
html,Jen_Trethewey,As Chair @MaddiesVision &amp; Tassie expat so proud last night at event Passion legacy heritage prevails @caro_whine  https://t.co/vIunajjszB,Fri May 19 01:31:50 +0000 2017
html,henryle74,"RT @KCStar: Trump-Russia is now a criminal matter, senators say after ‘sobering’ briefing https://t.co/qGf7IIZBDa",Fri May 19 01:31:50 +0000 2017
html,RosenbergKaren,RT @nytimesarts: A vast retrospective of Robert Rauschenberg opening at MoMA shows why he's one of the greats https://t.co/PRRelANNF6,Fri May 19 01:31:50 +0000 2017
html,bstorange_david,13-Year-Old Boy Reported Missing in Southwest Miami-Dade https://t.co/xnEphapYKG,Fri May 19 01:31:50 +0000 2017
html,RothsteinPub,RT @kaynemcgladrey: Women in #cybersecurity need to take more risks https://t.co/i2BrxbdVOJ #womenintech #wit #careers,Fri May 19 01:31:50 +0000 2017
html,sckearney1,"RT @SocialPowerOne1: Here Are The Differences Between A Special Counsel, Special Prosecutor and Independent Counsel https://t.co/4FokJaVqlA",Fri May 19 01:31:50 +0000 2017
html,RochesterWY,What a tool!  https://t.co/gouukYF8Gm,Fri May 19 01:31:50 +0000 2017
html,BeagleRL,Support @BeagleRL with our wine from Benefit Wines!  https://t.co/JTmJ1rfdHg https://t.co/hPEIItLJgm,Fri May 19 01:31:50 +0000 2017
html,rslewu,"RT @CNN: Stormchasing used to be a niche hobby, but so many people are into it now that it's causing dangerous traffic jams https://t.co/a6…",Fri May 19 01:31:50 +0000 2017
