category,user,tweet,time
iraq,Eullatina,RT @tedlieu: Congress authorized President to use force in 2 cases: terrorists &amp; Iraq. @realDonaldTrump has NO AUTHORIZATION to attack Syri…,Thu May 18 22:06:24 +0000 2017
iraq,yorksjfd,RT @UNICEF: #Iraq: Poverty is linked to children’s access to education. Only 20% of gov spending on social protection reaches poorest @UNIC…,Thu May 18 22:06:24 +0000 2017
iraq,jenner1072,RT @tedlieu: Congress authorized President to use force in 2 cases: terrorists &amp; Iraq. @realDonaldTrump has NO AUTHORIZATION to attack Syri…,Thu May 18 22:06:15 +0000 2017
iraq,TheWallStBull,RT @UNICEF: #Iraq: Poverty is linked to children’s access to education. Only 20% of gov spending on social protection reaches poorest @UNIC…,Thu May 18 22:06:07 +0000 2017
iraq,jknox_ca,RT @tedlieu: Congress authorized President to use force in 2 cases: terrorists &amp; Iraq. @realDonaldTrump has NO AUTHORIZATION to attack Syri…,Thu May 18 22:06:03 +0000 2017
iraq,shelterisland1,RT @tedlieu: Congress authorized President to use force in 2 cases: terrorists &amp; Iraq. @realDonaldTrump has NO AUTHORIZATION to attack Syri…,Thu May 18 22:06:01 +0000 2017
iraq,SmithsonianFolk,"RT @Folkways: Read @PopMatters review of Folkways’ new release, 'Letters from Iraq.'
https://t.co/pmgJV59o5v https://t.co/yxKldQt3NZ",Thu May 18 22:05:55 +0000 2017
iraq,margweston,Condi Admits Another Iraq War Lie | Zero Hedge https://t.co/vfcnOuAVYC,Thu May 18 22:05:52 +0000 2017
iraq,Malikejder47,"@SenJohnMcCain PKK-YPG = ANTIFA. Leftist scumbags whose psychopaths roam freely in Syria and Iraq murdering for PKK.
https://t.co/LFY8rmkQXE",Thu May 18 22:05:51 +0000 2017
iraq,IfritaSarah,RT @tedlieu: Congress authorized President to use force in 2 cases: terrorists &amp; Iraq. @realDonaldTrump has NO AUTHORIZATION to attack Syri…,Thu May 18 22:05:49 +0000 2017
iraq,LesIzMore,The real possibility of dying didn't hit me til I went to Iraq. They had us making funeral requests before we shipped off.,Thu May 18 22:05:46 +0000 2017
iraq,di_plora,"RT @TerranceCreamer: R.I.P USMC LCpl. Bob W. Roberts, 30 of Newport, Oregon, KIA (May17, 2004) near Fallujah, Iraq! https://t.co/wWvdh3xwmv",Thu May 18 22:05:45 +0000 2017
iraq,HeHoffmann,"RT @Partisangirl: The US just attacked its own Iraqi allies. They ""helped"" them fight #ISIS in Iraq BUT help ISIS fight them in #Syria http…",Thu May 18 22:05:43 +0000 2017
iraq,CBCalamity,RT @UNICEF: #Iraq: Poverty is linked to children’s access to education. Only 20% of gov spending on social protection reaches poorest @UNIC…,Thu May 18 22:05:39 +0000 2017
iraq,godeep42,RT @bmarcello: Tommy Tuberville: Lubbock 'looked like Iraq' during time at Texas Tech https://t.co/6c3Tk6Sv5a,Thu May 18 22:05:37 +0000 2017
iraq,vmontielarquero,"RT @TerranceCreamer: R.I.P USMC LCpl. Bob W. Roberts, 30 of Newport, Oregon, KIA (May17, 2004) near Fallujah, Iraq! https://t.co/wWvdh3xwmv",Thu May 18 22:05:32 +0000 2017
