category,user,tweet,time
jobs,Brendag38323989,"RT @robertbtracy: @Lindapearl2 Indeed Linda! If the jobs and freebies are not shut off(welfare, ACA, tax credits)to illegals,there is no re…",Fri May 05 03:36:28 +0000 2017
jobs,Appleolizer,Tech giant investing $1 Billion towards U.S. #manufacturingjobs #CEO #JimCramer #UnitedStates #Apple #TimCook https://t.co/vYDzo23xL5,Fri May 05 03:36:27 +0000 2017
jobs,jobs4U_,CDL-A Established Team Driver Jobs https://t.co/qUrL87WtPO #jobs4u #jobs,Fri May 05 03:36:26 +0000 2017
jobs,2l4us,"OCCUPATIONAL HEALTH NURSE job - Federal Aviation Administration - Island, KY Summary
The Navy and Marine ... #Jobs https://t.co/jEGtg34wUu",Fri May 05 03:36:26 +0000 2017
jobs,weareteamtrump,"If you're looking for work in #Washington, DC, check out this #job: https://t.co/UZlUNVPTyn #security #Hiring",Fri May 05 03:36:26 +0000 2017
jobs,ElClasificado,We're #hiring! Click to apply: Advertising Consultant - https://t.co/i4W5ZEN39l #ecmediajobs #wedoitinspanish #Media #Advertising CA #Job,Fri May 05 03:36:25 +0000 2017
jobs,lynn_gflo,"I'm going to be working two jobs, I won't have any time left for my puppers :(( 💔",Fri May 05 03:36:24 +0000 2017
jobs,JoindaHunt,"matllab skills  by Ted2019 https://t.co/mhc45THLQD mathlab data  (Budget: $120 USD, Jobs: Matlab and Mathematica)",Fri May 05 03:36:23 +0000 2017
jobs,luchygonz,"RT @kenlowery: More jobs, less pollution, not tied to specific geographic regions, and a renewable resource. A rare win-win-win-win for sol…",Fri May 05 03:36:22 +0000 2017
jobs,JoindaHunt,"I would like to hire a Product Designer by JoeJoeLim https://t.co/nqYzl2dZF6  (Budget: $750 - $1500 SGD, Jobs: Product Design)",Fri May 05 03:36:22 +0000 2017
jobs,pattietime,RT @JulietFranzen: By the way-the Obamas just donated $2million towards jobs for young people in Chicago-more comments Jason? https://t.co/…,Fri May 05 03:36:21 +0000 2017
jobs,Mso_Njeru,RT @OleItumbi: New Bike in town. With it a new Assembly Plant and many jobs. Welcome Kibo https://t.co/fGkpdCE6DQ,Fri May 05 03:36:21 +0000 2017
jobs,ChipMassie,RT @AccessKlamath: Center for Excellence in Engineering &amp; Technology would gain an immediate 300 construction-related jobs in #klamath http…,Fri May 05 03:36:21 +0000 2017
jobs,JoindaHunt,"Customer Service by wanmil669 https://t.co/F7mSSHsGzi Looking for some one to do some work for me (Budget: $25 - $50 USD, Jobs: Leads, Sal…",Fri May 05 03:36:20 +0000 2017
jobs,JoindaHunt,"Fill in a Spreadsheet with Data  by narmada93 https://t.co/wJUginwL5M  (Budget: $20 - $30 NZD, Jobs: Copy Typing, Data Entry, Excel, Word)",Fri May 05 03:36:19 +0000 2017
jobs,govtjobs360,SBI Recruitment Notification for 554 special management Executive https://t.co/gosQ5O0rJR #Jobs #Naukri #india,Fri May 05 03:36:19 +0000 2017
jobs,govtjobs360,TPSC Recruitment Notification for 6 Professor 2 LDC Posts https://t.co/cTLanXFURn #Jobs #Naukri #india #10thjobs,Fri May 05 03:36:19 +0000 2017
jobs,DriveMelton,We're #hiring! Read about our latest #job opening here: Paid Apprenticeship Program for Veterans &amp; Trainees -… https://t.co/vVHsKohtUi,Fri May 05 03:36:18 +0000 2017
jobs,tdin22,"RT @Mikel_Jollett: Obamas are donating $2 million to a Chicago jobs program.

That's FIVE TIMES his speaking fee.

Everyone got it yet? THE…",Fri May 05 03:36:18 +0000 2017
jobs,xtheangels,RT RT RT jcrew_jobs #PremiosMTVMIAW #MTVHITINTLADYGAGA,Fri May 05 03:36:18 +0000 2017
jobs,1_socalgirl1,"Pathetic. If these people can't/won't do their jobs, fire them. That includes the Judge, the police, anyone involve… https://t.co/zd4cutMuHV",Fri May 05 03:36:17 +0000 2017
jobs,CamVera17,Instant jobs!,Fri May 05 03:36:17 +0000 2017
jobs,nastyamghaz6,RT @lipkilla: Different from the lying wack jobs I am voting for BTS for TOP SOCIAL ARTIST at the #BBMAs. RT to vote! #BTSBBMAs,Fri May 05 03:36:16 +0000 2017
jobs,ESSCjobs,"See our latest #Ontario, CA #job and click to apply: Early Childhood Educator II, Home Visitor - https://t.co/FvRDZZRDQl #earlychildhood",Fri May 05 03:36:15 +0000 2017
jobs,JoindaHunt,"I would like to hire a T-Shirt Designer by russmurray https://t.co/Br5ZEqNbRf I need some graphic design. (Budget: $10 - $30 USD, Jobs: Ca…",Fri May 05 03:36:15 +0000 2017
jobs,votelg23,RT RT RT jcrew_jobs #PremiosMTVMIAW #MTVHITINTLADYGAGA,Fri May 05 03:36:13 +0000 2017
jobs,itstimenot,RT RT RT jcrew_jobs #PremiosMTVMIAW #MTVHITINTLADYGAGA,Fri May 05 03:36:13 +0000 2017
jobs,WulfKhan,"@24HOURBANKING Locum - A stand in doctor. Usually doing crappy doctorin' jobs like home visit.
Some medical jurisdi… https://t.co/bHfXXg9IzE",Fri May 05 03:36:13 +0000 2017
jobs,fewlines4biju,Require sharepoint Developer/Lead(2-6 years) in a leading MNC. https://t.co/a1aLdz4h5D,Fri May 05 03:36:12 +0000 2017
jobs,all_restaurants,London UK - Barista Bartender and Waiter/WaitressChefs CookKitchen Helpers Full TimePart ... https://t.co/dPs8Sdr7iu #COOK #RESTAURANT #JOB,Fri May 05 03:36:12 +0000 2017
jobs,walmartaejeon,RT @NicoFox_: @onyeyichii Dear White People.Don't Dress up as the Hispanics Who bust their ass off doing the Jobs that Y'all are 2 lazy to…,Fri May 05 03:36:12 +0000 2017
jobs,AnchorageJobs2,#Anchorage #AK #USA - Marketing Assistant - #Job purpose Plans organizes directs and develops marketing ... https://t.co/t0fG6bUOF7 #CAREER,Fri May 05 03:36:11 +0000 2017
jobs,jobs__austin,"Austin, #TX - 360 Electrical Contractors - Commercial Journeyman Electrician - Foreman / Lead Man - Forem... https://t.co/qBAd2PwiQW #Texas",Fri May 05 03:36:11 +0000 2017
jobs,CoSprings_Jobs,"#Colorado Springs, CO - Wild West Express - CDL-A Students WANTED in Colorado for Reefer Hauls - W... https://t.co/MwLfib9YaU #DRIVING #JOB",Fri May 05 03:36:11 +0000 2017
jobs,RockinFreelance,"RT @rivercityjon: Translate ENGLISH FB posts by ywa58f72c650cb77: translate ENGLISH to FRENCH ,ITALIAN,Japanese.. #freelance #jobs https://…",Fri May 05 03:36:11 +0000 2017
jobs,amywatling,Do you fancy a job in a library but don't have a library qualification yet? https://t.co/aeLEDB52sJ,Fri May 05 03:36:11 +0000 2017
jobs,Saya_relativity,"RT @swingleft: Thanks for your support, @johnlegend! They voted to take away our healthcare. Together, we'll take away their jobs: https://…",Fri May 05 03:36:11 +0000 2017
jobs,BackyLeaf,"#cannabis #industry get pinned posts and #retweets ..... #haze #kush #thc #cbd #jobs #ads ... DM 4 details https://t.co/ATSzjjjq6s

— Cann…",Fri May 05 03:36:10 +0000 2017
jobs,NewTampaPatch,Find a new job or post a job opening on the all new Patch Jobs! https://t.co/eQBiG3GAWW,Fri May 05 03:36:09 +0000 2017
jobs,takislocos,wait did dems really say they arent gonna do shit about republicans repealing healthcare as a way to ensure their j… https://t.co/Y06Z3ulCXX,Fri May 05 03:36:09 +0000 2017
jobs,Climber_CS,"Structural Designer - USA #jobs #USA pls RT: **Your Opportunity:** An opportunity exists in our **Yellowknife, NT**… https://t.co/VV48P78lLw",Fri May 05 03:36:08 +0000 2017
jobs,Climber_CS,"NRDA Senior Scientist - Salt Lake City, UT, 84165, USA #jobs #Salt Lake City pls RT: **Your Opportunity:**… https://t.co/XUprOpRWmF",Fri May 05 03:36:07 +0000 2017
jobs,jzimmermann11,@sassyatlaw I mean there are worse jobs...,Fri May 05 03:36:07 +0000 2017
jobs,TommyBoy1954,@nytimes Spoilers alert; it's not their jobs it's people's lives.,Fri May 05 03:36:07 +0000 2017
jobs,Climber_CS,"Construction Administrator - Plano, TX, 75026, USA #jobs #Plano pls RT: **Your Opportunity:** We could design… https://t.co/tAWMoZ6sdF",Fri May 05 03:36:07 +0000 2017
jobs,Collegekidswagg,Guess I'll apply for some jobs in Nat and Monroe,Fri May 05 03:36:07 +0000 2017
jobs,gpg3,"@LouDobbs Please cover Sen Ron Johnson's bill 2 bring 1 million +
immigrants specifically to fill American jobs. He was elected as Tea party",Fri May 05 03:36:07 +0000 2017
jobs,Climber_CS,"Senior Electrical Engineer - Plano, TX, 75026, USA #jobs #Plano pls RT: **Your Opportunity:** We could design… https://t.co/AreFnJVcLv",Fri May 05 03:36:07 +0000 2017
jobs,Climber_CS,"Bridge CAD Technician - Richardson, TX, 75081, USA #jobs #Richardson pls RT: **Your Opportunity:** Whatever the… https://t.co/9DW396NGNQ",Fri May 05 03:36:05 +0000 2017
jobs,Climber_CS,"Public Works Senior Project Manager - San Antonio, TX, 78284, USA #jobs #San Antonio pls RT: **Your Opportunity:**… https://t.co/7KhuizC0Hr",Fri May 05 03:36:05 +0000 2017
jobs,Climber_CS,"Senior CAD Designer - San Antonio, TX, 78284, USA #jobs #San Antonio pls RT: **Your Opportunity:** We bring… https://t.co/W4duUb67jx",Fri May 05 03:36:04 +0000 2017
jobs,Climber_CS,"Senior CAD Technician - Bridges - Houston, TX, 77007, USA #jobs #Houston pls RT: **Your Opportunity:** Whatever the… https://t.co/HmvzrrKC6B",Fri May 05 03:36:04 +0000 2017
jobs,Climber_CS,"Bridge CAD Technician - Houston, TX, 77007, USA #jobs #Houston pls RT: **Your Opportunity:** Whatever the distance,… https://t.co/Q582Jpcgbw",Fri May 05 03:36:04 +0000 2017
jobs,Climber_CS,"Project Manager - Stakeholder Engagement - Airports - Houston, TX, 77007, USA #jobs #Houston pls RT: **Your… https://t.co/zuulM4pPzb",Fri May 05 03:36:03 +0000 2017
jobs,MaiDebrah,"RT @Mikel_Jollett: Obamas are donating $2 million to a Chicago jobs program.

That's FIVE TIMES his speaking fee.

Everyone got it yet? THE…",Fri May 05 03:36:03 +0000 2017
jobs,jhdataentry,Shift Manager - FT #Carroll #Iowa #job #hiring #jobsearch https://t.co/RkWJjy2qLg,Fri May 05 03:36:02 +0000 2017
jobs,JanSanDiego,RT @PublicSectorCA: City of Poway 14445 Lake Poway Road PUBLIC WORKS OPERATIONS MANAGER https://t.co/UwQ3QbgeA0 @GovernmentJobs,Fri May 05 03:36:02 +0000 2017
jobs,jhdataentry,Uber Driver Partner - Supplement Your... #SanDiego #California #job #hiring #jobsearch https://t.co/RjprgEMnnW,Fri May 05 03:36:02 +0000 2017
jobs,jhdataentry,Cashier Spectrum Center Part-Time # #NotSpecified #job #hiring #jobsearch https://t.co/w8xB2Mc65z,Fri May 05 03:36:02 +0000 2017
jobs,jhdataentry,Forklift Drivers 2nd shift #Schertz #Texas #job #hiring #jobsearch https://t.co/Ga6aHOuOON,Fri May 05 03:36:01 +0000 2017
jobs,jhdataentry,"Assistant to Route Delivery-Green Bay, WI #GreenBay #Wisconsin #job #hiring #jobsearch https://t.co/pxxkdHIoRP",Fri May 05 03:36:01 +0000 2017
jobs,jhdataentry,Assistant Salon Manager - 04227 - HC NORTH... #MiamiBeach #Florida #job #hiring #jobsearch https://t.co/o4w9v6GyrU,Fri May 05 03:36:00 +0000 2017
jobs,jhdataentry,021 - 5800 - SELF CHECKOUT CASHIER # #NotSpecified #job #hiring #jobsearch https://t.co/UAygn3ZrlA,Fri May 05 03:36:00 +0000 2017
jobs,yashthakrar1996,Apple CEO Pledges $1 Billion Towards Creation of US Manufacturing Jobs,Fri May 05 03:36:00 +0000 2017
jobs,jhdataentry,"MATERIAL HANDLERS NEEDED IN MENTOR, OH! #Mentor #Ohio #job #hiring #jobsearch https://t.co/1rQrAvUIaw",Fri May 05 03:36:00 +0000 2017
jobs,resignedly,@ErikOnDemand @irasachs @realDonaldTrump Babies and the frail elderly can't get jobs that provide healthcare.,Fri May 05 03:35:59 +0000 2017
jobs,JoeDRSHR,Can you recommend anyone for this #job? Senior Quality Assurance Engineer - https://t.co/z1HKGzELat #GovCon #Maritime #DoD #Engineering,Fri May 05 03:35:57 +0000 2017
jobs,TinaChesher,RT @UPSJobsKY: Make summer cash you will. #MayThe4thBeWithYou  we're hiring for summer seasonal opportunities! apply online at https://t.co…,Fri May 05 03:35:56 +0000 2017
jobs,cititrendsjobs,"We're #hiring! Click to apply: Store Sales Associate - Orangeburg, SC - https://t.co/3CJM6YtLJh #Retail #Roanoke, VA #Job #Jobs",Fri May 05 03:35:56 +0000 2017
jobs,CarlNeustaedter,"RT @docmartens11: Come work with us @ppforumca, as Director of the @ActionCanada program. https://t.co/QwAcHJKbVU",Fri May 05 03:35:56 +0000 2017
jobs,IrmaLong14,Join the Follett Corporation team! See our latest #job opening here: https://t.co/Gv4pVZog6O #bookstore #ibooks #textbooks #CustomerService,Fri May 05 03:35:55 +0000 2017
jobs,Proviscalling,"See our latest #Portland, OR #job and click to apply: Real Estate Manager - https://t.co/svnb5v5MZS #ProvJobs #ProductMgmt #Hiring",Fri May 05 03:35:55 +0000 2017
jobs,AHS_Jobs,"We're #hiring! Read about our latest #job opening here: Social Worker III - https://t.co/ulNsbkVkvJ #mentalhealth #Calgary, AB",Fri May 05 03:35:55 +0000 2017
jobs,Work4_US_Jobs,ID #Warehouse Order Selector (#Part Time) (#job) wanted in #BurleyIDUS. #DotFoods https://t.co/7axBItELWG https://t.co/qvkCinBnqo,Fri May 05 03:35:54 +0000 2017
jobs,rivercityjon,"Translate ENGLISH FB posts by ywa58f72c650cb77: translate ENGLISH to FRENCH ,ITALIAN,Japanese.. #freelance #jobs https://t.co/RsVnFTuw0O",Fri May 05 03:35:52 +0000 2017
jobs,RelaxInLACity,Relax In Los Angeles City Daily News is out! https://t.co/Am7EkRGZBQ #los #jobs,Fri May 05 03:35:52 +0000 2017
jobs,BajJamFineApple,RT @AshGoCrazyIII: Steve Jobs is a Syrian Arab. But white anglos claim him as one of their own because he invented the iPhone and changed t…,Fri May 05 03:35:52 +0000 2017
jobs,Nursing___Jobs,"Administrative Coordinator, Flu Campaign: Medisys Health Group Inc. (Vancouver BC): ""The Admini.. #nursing #jobs https://t.co/FxGVizrt6N",Fri May 05 03:35:52 +0000 2017
jobs,memphis__jobs,#Memphis #TN #USA - Customer Financial Services Manager-New/Used - Nissan Memphis - This position int... https://t.co/kOHIELsTIF #WORK #JOB,Fri May 05 03:35:51 +0000 2017
jobs,jobs_indonesia_,"Marriott International, Inc: Cluster Director of Gov... https://t.co/Bffpq2KUWf",Fri May 05 03:35:50 +0000 2017
jobs,studio2grl,"RT @PrincessBravato: The NEW
JOBS REPORT comes out 
TOMORROW 
AND the GOP did this vote knowing its not as expected.
#VoteThemOut",Fri May 05 03:35:50 +0000 2017
jobs,votelg8,RT RT RT jcrew_jobs #PremiosMTVMIAW #MTVHITINTLADYGAGA,Fri May 05 03:35:49 +0000 2017
jobs,rivercityjon,Australian English Interview transcription: audio to word document by damienamills: I have so.. #freelance #jobs https://t.co/S1c5CYrq5p,Fri May 05 03:35:48 +0000 2017
jobs,SCHJobs,"Interested in a #job in #PaloAlto, CA? This could be a great fit: https://t.co/Hw0KDnOIh6 #Healthcare #Hiring https://t.co/FFdkk8c2Tx",Fri May 05 03:35:48 +0000 2017
jobs,DoyonJobs,"Join the Kantishna Roadhouse, Inc team! See our latest #job opening here: https://t.co/eRJrusvAeX #Transportation… https://t.co/y6diposv9n",Fri May 05 03:35:48 +0000 2017
jobs,BajJamFineApple,RT @AshGoCrazyIII: White anglos only accept the off whites when they do something great. For example Steve Jobs.,Fri May 05 03:35:48 +0000 2017
jobs,iEthiopia,Jobs in Africa: Designing better policies tailored to countries' circumstances -  https://t.co/iqFIOxXlG0,Fri May 05 03:35:48 +0000 2017
jobs,TheMurdochTimes,"Do you @mm_newscorpaus and @alanoakley3 stand by this @newscorpaus statement, ahead of your own cuts to dozens more… https://t.co/E0lbqGZorj",Fri May 05 03:35:48 +0000 2017
jobs,SFRobinJ,"Watch Marc Benioff on Mad Money discussing the future of jobs, Salesforce Trailhead, the Salesforce economy &amp; more.… https://t.co/ee9soAYv3H",Fri May 05 03:35:47 +0000 2017
jobs,ubervaper,RT @TrueFactsStated: There are career professionals at DOJ committed to doing their jobs. They are. The only thing Sessions is doing right…,Fri May 05 03:35:46 +0000 2017
jobs,ManulifeJobs,"We're #hiring! Read about our latest #job opening here: Environmental, Social, and Governance (ESG) Analyst... - https://t.co/jOdZrecjcr",Fri May 05 03:35:46 +0000 2017
jobs,cityofpoway,RT @PublicSectorCA: City of Poway 14445 Lake Poway Road PUBLIC WORKS OPERATIONS MANAGER https://t.co/UwQ3QbgeA0 @GovernmentJobs,Fri May 05 03:35:45 +0000 2017
jobs,suziezed,RT @YYJWorks: #YYJWorks #YYJjobs - again with this ridiculousness - jobs posted today that close tomorrow - and these jobs are... https://t…,Fri May 05 03:35:44 +0000 2017
jobs,onebigorangecom,"The peacocking outfits, terrible make up jobs, hurt feelings, etc. I was only there 5 mins.",Fri May 05 03:35:43 +0000 2017
jobs,BeTrue4Changes,"RT @Milkyway1955Z: Instead of giving Alms, y not give them jobs and make them self sufficient??? Suddenly the Interest of Muslim women is T…",Fri May 05 03:35:43 +0000 2017
jobs,letmebefrankbro,I work too much for too little. Shouldn't have to work 3 jobs to get by.,Fri May 05 03:35:41 +0000 2017
jobs,zapataitsmb,"RT @ABC: Former Pres. Obama, Michelle Obama to personally donate $2 million to summer jobs programs in Chicago so ""young people can get to…",Fri May 05 03:35:41 +0000 2017
