category,user,tweet,time
jobs,chrisroxx22,RT @AnnCoulter: Special Counsel Mueller needs to look at the four outside jobs Huma had while being paid by State Dept.,Thu May 18 03:30:04 +0000 2017
jobs,FinancejobsNow,"Part Time Purchase Ledger Clerk in Stoke on Trent, https://t.co/BBPhqXfmc7 #financejobs #accountingjobs #jobs",Thu May 18 03:30:03 +0000 2017
jobs,FinancejobsNow,"Part-Time Accounts Assistant in Solihull, https://t.co/wf0jLiDnub #financejobs #accountingjobs #jobs",Thu May 18 03:30:03 +0000 2017
jobs,Bergg69,"Ford to cut 1,400 salaried jobs in North America, Asia
https://t.co/O30NxxcVp2
#cdnpoli #onpoli #qcpoli #abpoli… https://t.co/UZNiBlF0EK",Thu May 18 03:30:03 +0000 2017
jobs,farfnme,"@TalkingTrish1 @KennedyforPOTUS Just think about this, if given those jobs, they'll get pension'd for life at OUR e… https://t.co/zeLgJiCm05",Thu May 18 03:30:02 +0000 2017
jobs,FinancejobsNow,"Management Accountant in Hereford, https://t.co/dmQe04xfsk #financejobs #accountingjobs #jobs",Thu May 18 03:30:02 +0000 2017
jobs,salesdotcareers,"NEW JOBS from @EPHealthcare, click for all their latest sales jobs #salesjobs #Australia h ttp://bit.ly/2nVudRb https://t.co/y5Us4MIOu4",Thu May 18 03:30:02 +0000 2017
jobs,BetaListJobs,.@lyft is seeking a Marketing Associate - Austin (Austin) https://t.co/LDchEpac34,Thu May 18 03:30:02 +0000 2017
jobs,FinancejobsNow,"Test Manager in Bristol (County), https://t.co/YDDkZjD4pt #financejobs #accountingjobs #jobs",Thu May 18 03:30:01 +0000 2017
jobs,_Jadalynnn,RT @__motIVAtionn: When you applied to 40 jobs and an unsaved number calls you https://t.co/B89DRP23wS,Thu May 18 03:30:01 +0000 2017
jobs,ramblinlizdrake,RT @AnnCoulter: Special Counsel Mueller needs to look at the four outside jobs Huma had while being paid by State Dept.,Thu May 18 03:30:01 +0000 2017
jobs,FinancejobsNow,"Counter Fraud Support in Tunbridge Wells, https://t.co/NAHSl2xycT #financejobs #accountingjobs #jobs",Thu May 18 03:30:01 +0000 2017
jobs,tiffiniimarie,RT @__motIVAtionn: When you applied to 40 jobs and an unsaved number calls you https://t.co/B89DRP23wS,Thu May 18 03:30:01 +0000 2017
jobs,Careers4a,Accounts Receivable Officer  #Sydney #Australia AU$25 - AU$35 per annum https://t.co/pEeTXdSGTv #careers4a #jobs,Thu May 18 03:30:01 +0000 2017
