category,user,tweet,time
life,ines_alves1,RT @marIboros: his life is short too he can text me first https://t.co/vTRlRJG0YF,Tue May 09 22:39:37 +0000 2017
life,MostHumorous,@sabrinasek Its the most important thing in my life right now,Tue May 09 22:39:37 +0000 2017
life,carlosAtMad,"RT @chefjoseandres: #barconejo en @Carreras_Caba SanLucar de Barrameda saved my life very late tonite! ""Caracoles"" season and a glass of Ma…",Tue May 09 22:39:37 +0000 2017
life,teenytynee_,"RT @BlessedZvy: Me: Why df would I ever listen to country music I hate country music don't play me like that 

Rascal Flatts: LIFE IS A HII…",Tue May 09 22:39:37 +0000 2017
life,SierraAlice,RT @LegendsofCH: Bow Wow on IG vs Bow Wow in real life 😂 https://t.co/5fZsv3zApg,Tue May 09 22:39:37 +0000 2017
life,bmelnikov,"RT @JohnDingell: I thought by the time I turned 90, few things in life would surprise me. But here I am.",Tue May 09 22:39:37 +0000 2017
life,__JACHECOLE,"RT @StrangeKeith: Before the summer is over, I'll be making enough to freelance full time for the rest of my life. This is absolute.",Tue May 09 22:39:37 +0000 2017
life,ogoingnews,What's going on? A Day In The Life: How This Entrepreneur Is Changing The Chocolate Industry - Forbes https://t.co/1vMwC5jeoy,Tue May 09 22:39:37 +0000 2017
life,Sam_Deneen,RT @unhew: @RealKentMurphy This is the cringiest thing I've ever seen in my life,Tue May 09 22:39:37 +0000 2017
life,ant_sno,That was by far the most difficult interview of my life..,Tue May 09 22:39:36 +0000 2017
life,paramoregirl92,"RT @WarrenIsDead: i enjoying mysekf in the sterile void of space, but then i remembered instances of regret in my life, and pain i have cau…",Tue May 09 22:39:36 +0000 2017
life,klich101,@jenmorrisonlive ... us oncers have been there though every battle in Emma's life. 2 only have 1 hr to say goodbye. Is such a fu to us fans,Tue May 09 22:39:36 +0000 2017
life,QurfewDL,"Today is a day of reflection for me. Who do I want to be in life. Whats my purpose? 💪

📸:… https://t.co/6KqxBhYVZw",Tue May 09 22:39:36 +0000 2017
life,ClaudeCookies,RT @JohnMayer: Here’s a real existential ball of fun for ya: you’re going to die in your next life too. #draft #jeeeez #realnicejohn,Tue May 09 22:39:36 +0000 2017
life,Gui19122001,RT @Moviepicts: Life of Pi https://t.co/0kTP9lUi1E,Tue May 09 22:39:36 +0000 2017
life,alexjax100,@FuturisticHub3D  I don't want to fix you neither would I give a fuck I feel bad for you. I hope you get a better life and a good job,Tue May 09 22:39:36 +0000 2017
life,soldieradcliffe,RT @PatronusMalec: Dom is living the life I wanted. https://t.co/cgG2jDUCRL,Tue May 09 22:39:36 +0000 2017
life,aliviaonye,"🤦🏽‍♀️ I hate life rn, its been 5 DAYS HOW TF WHY TF 😭",Tue May 09 22:39:36 +0000 2017
life,NorthAmericAgnt,Value of my life:  Eternity   Price:  Infinity https://t.co/DSQ7UOVXZt,Tue May 09 22:39:36 +0000 2017
life,mirandaejackson,"RT @GIRLposts: me: I WANT TO SOCIALISE AND MEET NEW PEOPLE LIFE IS TOO SHORT NOT TO TALK 2 PPL
also me after two seconds of talking to anyo…",Tue May 09 22:39:36 +0000 2017
life,vex1zgooner,@iam_KingCee @Shaan_Rathoo @MrStephenHowson @RedRashford19 This is nt Fifa bro u can't just put a player and 50 mil… https://t.co/nPhRXFBkdY,Tue May 09 22:39:36 +0000 2017
life,kdotcousinsx,Funny how life works out,Tue May 09 22:39:36 +0000 2017
life,Marc_Eaton,@MindyRickles @DonRickles U have no idea how he touched my life growing up. I watched the roasts just to see Mr War… https://t.co/zLJRTwzClX,Tue May 09 22:39:36 +0000 2017
life,__itzerik,"RT @Greenalien22: My life is ""en una tempestad"" right now! #APspanishLit",Tue May 09 22:39:36 +0000 2017
life,WillBatts12,"Can we build the wall around Washington? Seems like the main source of threats to our country, democracy, and way of life.",Tue May 09 22:39:36 +0000 2017
life,HarveyLivesLove,"RT @TheArtofJulian: Julian suffered from #depression his entire life💔#Art was his escape @ times it came from a very dark place, but it kep…",Tue May 09 22:39:35 +0000 2017
life,YummyFoodMmm,10 Must-Know Home Remedies That Will Change Your Life For The Better https://t.co/kWCjzqF8gU,Tue May 09 22:39:35 +0000 2017
life,jwardu,Love life even though I'm stressed,Tue May 09 22:39:35 +0000 2017
life,nimskikotech,RT @MattTurner4L: Paul Weller: “I’m not going to go on ‘Piers Morgan’s Life Stories’ and talk to that c**t” https://t.co/jsBCsHCtpF,Tue May 09 22:39:35 +0000 2017
life,GulfRegionworld,Gasping for life: Syria's merciless war on its own children - CNN https://t.co/4C9njPRgGz,Tue May 09 22:39:35 +0000 2017
life,DaBearsk,"RT @johnsemley3000: Neil deGrasse Tyson OBLITERATES Sesame Street!

""in real life a bird is not this big.""",Tue May 09 22:39:35 +0000 2017
life,AMERlCANTEENS,the love of my life https://t.co/4m002JfJJb,Tue May 09 22:39:35 +0000 2017
life,madisonananda,RT @niya2you: can't wait till I get to where I need to be in life 🙏🏽,Tue May 09 22:39:35 +0000 2017
life,CandeMorenoCab,RT @idolspriority: i want to protect him with my life https://t.co/a7DxvnSVUV,Tue May 09 22:39:35 +0000 2017
life,TheMessiahTaco,"RT @ashleyestradaxo: life's too short, enjoy every single moment with the people you love",Tue May 09 22:39:35 +0000 2017
life,Mhorackz,"See as the Tray balance for water.
Life https://t.co/eHfZco4e8h",Tue May 09 22:39:35 +0000 2017
life,ACottoo,RT @thebaemarcus: When you and your best friend are just done with school and life https://t.co/hzLgtG0Hzy,Tue May 09 22:39:35 +0000 2017
life,MikeJ0nesssssss,@Impeach_D_Trump Lmfao get a fucking life,Tue May 09 22:39:35 +0000 2017
life,LeeAnnWhitey,"How I have no social life , no man , not an athlete or instumentalist but still mediocre at school 😢 what I really doing with my life???",Tue May 09 22:39:35 +0000 2017
life,adrianaabayronn,RT @MindBlowing: I've always want to know what the end of a rain storm looks like. My life is officially complete. https://t.co/yOm5Ny3G0v,Tue May 09 22:39:35 +0000 2017
life,CountyExecBaker,Great teachers changed my life!  Thx @PGCPS Teachers for all you do for @PrinceGeorgesMD! #NationalTeachersDay  https://t.co/GBzSy8Ra3Y,Tue May 09 22:39:35 +0000 2017
life,SirenofBrixton,RT @belledejour_uk: This subtweet just made my life https://t.co/3jGraOKJPm,Tue May 09 22:39:35 +0000 2017
life,OliviaReeves0,RT @Heauxno1currr: One year of being vegan literally changed my life. https://t.co/h24glRHN3y,Tue May 09 22:39:35 +0000 2017
life,Kingly___,RT @amorous: me walking out of a niggas life who don't know how to appreciate a good woman. https://t.co/QEFOGm1xL7,Tue May 09 22:39:35 +0000 2017
life,lilac_hamish_JW,RT @WomenOfHistory: Live your life and forget your age.,Tue May 09 22:39:35 +0000 2017
life,ruthku,"RT @richardbranson: Setting challenges doesn't have to be earth-shattering – they can be life-changing in a simple, personal way https://t.…",Tue May 09 22:39:35 +0000 2017
life,jules_324,Sometimes I look back on my life and think: did I ever even put anything in my cargo pants' pockets?,Tue May 09 22:39:34 +0000 2017
