category,user,tweet,time
life,jheller02,RT @WorldStarFunny: Retweet if these have made a positive impact on your life https://t.co/TPcl5dgO7i,Fri May 19 11:28:51 +0000 2017
life,LilEastside210,"RT @darlenedorseyTV: Massive shopping center fire claims life of firefighter, Scott Deem. Hearts are heavy. Flag is lowered at fire station…",Fri May 19 11:28:50 +0000 2017
life,bts_amry7012,RT @Bethatspire: Every moment in my life is lightened by BTS! Let's vote for them! #BTSBBMAs @BTS_twt,Fri May 19 11:28:50 +0000 2017
life,BinweA,RT @daddy_chinks: Does your life insurance know that you like to be strangled during sex?,Fri May 19 11:28:50 +0000 2017
life,superiorfalse,RT @booboodaddi: the rest of my life basically.. #BuyCryingInTheClubOniTunes https://t.co/cJzL1ooTei,Fri May 19 11:28:50 +0000 2017
life,underfloorbeef,RT @rey_z: okay so correct me if i'm wrong here guys but this...this seems......i'm gonna say it......bad https://t.co/YUPeMzf380 https://t…,Fri May 19 11:28:50 +0000 2017
life,liv_abby1,RT @WorldStarFunny: Retweet if these have made a positive impact on your life https://t.co/TPcl5dgO7i,Fri May 19 11:28:50 +0000 2017
life,Azza_Aw,I need the Weasleys in my life,Fri May 19 11:28:50 +0000 2017
life,sarapiccassa,New phase of life,Fri May 19 11:28:50 +0000 2017
life,Obvious_Logic_,The very same issues that pile up in everyone else's life toda... More for Gemini https://t.co/aYYomOvwVO,Fri May 19 11:28:50 +0000 2017
life,SKV000002,"RT @taehyungpic: King of taking selca

#BTSBBMAs  
Taehyung's blurry selcas are life 🙌🏻 https://t.co/12X74rHfOb",Fri May 19 11:28:50 +0000 2017
life,nathhelene2k,"Hope is the confident expectation of God’s ultimate blessing in this life and the life to come, based upon the goodness and promises of God.",Fri May 19 11:28:50 +0000 2017
life,MIXIIXI,"But small is the gate and narrow the road that leads to life, and only a few find it",Fri May 19 11:28:50 +0000 2017
life,tarialmada,RT @crylohux: me ignoring all my problems while my life crashes and burns https://t.co/5hz6Ni0UDD,Fri May 19 11:28:50 +0000 2017
life,sherrydotdot,RT @aldub_louise18: “Life is what happens to us while we are making other plans.” ― Allen Saunders  #ALDUBxDTBYTayongDalawa,Fri May 19 11:28:50 +0000 2017
life,JiminyPan,"Web Development Reading List #183: Comedy In Design, Security Checklist And The Life As Nobody https://t.co/gIjTFPh9kk",Fri May 19 11:28:50 +0000 2017
life,TallAsHerEyes,I see that #RolfHarris has already set himself for life out of prison. https://t.co/YCWSXejYEY,Fri May 19 11:28:50 +0000 2017
life,Myeonioned,RT @HugotDre: Don't worry about what people are going to think about you. Just live your life.,Fri May 19 11:28:50 +0000 2017
life,cowboyty85,"RT @LatorreBethany: Standing by the youth of Chicago, steady in their life and always pointing them toward the right path. Vote #jrNBACOYCHI",Fri May 19 11:28:50 +0000 2017
life,reaischill,The very same issues that pile up in everyone else's life toda... More for Gemini https://t.co/9gkrePjccf,Fri May 19 11:28:50 +0000 2017
life,crstinajm,dont let the words of a small minded people affect how you live your life,Fri May 19 11:28:50 +0000 2017
life,DahliaNatasya,RT @Lucaspeebo: Nvm I've accepted the fact that I am ugly anyways 😅 and I will keep on doing things that makes happy and content with life.,Fri May 19 11:28:50 +0000 2017
life,MeghanMode,I liked a @YouTube video https://t.co/6UjoARNyBa I'M ADDICTED TO SUGAR!! Changing My Diet | Day In The Life | Family,Fri May 19 11:28:50 +0000 2017
life,6rLizzelly,I miss the days fans didn't care about knowing who a wrestlers wife/gf is or cared more about their relationships than their own life. 😧,Fri May 19 11:28:50 +0000 2017
life,sophie_revill,RT @Kimmy_MACCC: scary to think the last time u see sum1 could literally b the last time u ever do🤔 life's precious dnt hold grudges nd liv…,Fri May 19 11:28:50 +0000 2017
life,5LFZdkQ9NC8gWvR,"RT @survive: PLEASE DO NOT DRINK AND DRIVE TONIGHT

Take a free Uber instead. Use promo code: uberiamfree

Retweet to save a life.",Fri May 19 11:28:50 +0000 2017
life,flx0y,"RT @ygent_official: [iKON - 'NEW KIDS : BEGIN' COMEBACK LIVE]
originally posted by https://t.co/XZQ3IOI9MY
#iKON #아이콘 #NEWKIDS_BEGIN #COMEB…",Fri May 19 11:28:49 +0000 2017
life,fazieyaini,RT @AcneSkinSite: Don’t obsess over your looks or trying to be perfect. How exhausting! Love who you are and enjoy every moment of life!,Fri May 19 11:28:49 +0000 2017
life,Shotsbizzle1D,RT @buzztinsbitch: I want this looped everyday for the rest of my life https://t.co/vS8X8juzlY,Fri May 19 11:28:49 +0000 2017
life,MehekF,"RT @sanjukta: They are busy saving Muslim women, while in their own home they are ready to kill daughters for making a life choice https://…",Fri May 19 11:28:49 +0000 2017
life,MoCapone007,"💫Morning💫
🙏Life Popping Right Now🙏
🌐💪🌐Gym~Flow
#TGIF💗 https://t.co/wDyUxwYdsw",Fri May 19 11:28:49 +0000 2017
life,IMBBGRDGN,The only thing i have to do in life is die. everything else is a choice.,Fri May 19 11:28:49 +0000 2017
life,vvvderoo,The very same issues that pile up in everyone else's life toda... More for Gemini https://t.co/T8cbCtylQs,Fri May 19 11:28:49 +0000 2017
life,obsessivelyMe,"RT @DoraChetan: ""Who is the only person in your life who is available 24/7 to provide you with care and kindness? You"" https://t.co/FU0pjBI…",Fri May 19 11:28:49 +0000 2017
life,LLCOOLBUD,RT @BleacherReport: When 2k is life (via plenzo15/Instagram) https://t.co/oUz8JosP25,Fri May 19 11:28:49 +0000 2017
life,noorliameera,RT @Lucaspeebo: Nvm I've accepted the fact that I am ugly anyways 😅 and I will keep on doing things that makes happy and content with life.,Fri May 19 11:28:49 +0000 2017
life,LePetiteMxrt,"RT @StringerFooty: This would have been Tony Adams if Wenger never saved his life, show some respect fool https://t.co/RD3hq2yIwU",Fri May 19 11:28:49 +0000 2017
life,Danielle_58,"RT @ohteenquotes: There are those times when you are not looking for love, but then the most amazing person comes into your life.",Fri May 19 11:28:49 +0000 2017
life,millionairegold,"https://t.co/r3R98X85Xh
This is a witch hunt. Focus on Trump and his family take over of the country. Ivanka, your still unatractive",Fri May 19 11:28:49 +0000 2017
life,edwardanddamon,"RT @USATODAY: Johnny Depp pulled Paul McCartney onto ""Pirates of the Caribbean"" via text message https://t.co/uCXGEVZ8vX",Fri May 19 11:28:49 +0000 2017
life,Life_Of_Foreign,RT @SportsCenter: One step closer. 👀 https://t.co/dqBCFUfd86,Fri May 19 11:28:49 +0000 2017
life,dct_ihjc,"RT @RahilaAli2: 💦 The Best Thing In Life Are Not Things, They Are Moments💦 https://t.co/CeSvlKji2i",Fri May 19 11:28:49 +0000 2017
life,mariellakilla,"RT @qc: ""Whatever life takes away from you, let it go."" — Don Miguel Ruiz",Fri May 19 11:28:48 +0000 2017
life,StorageBuzzNet,"RT @Domains_Pro: TheRegister: #Domains Dell EMC man: Hyperconverged is love, hyperconverged is life, but won't kill SAN yet https://t.co/T5…",Fri May 19 11:28:48 +0000 2017
life,Nqz1004,"RT @TheFunnyTeens: Instagram - Hey everyone, look how great my life is Twitter - I wanna fuckin die, here's a meme",Fri May 19 11:28:48 +0000 2017
life,MalkNaz,"RT @shelleyshanna: It's OK to live a life others don't understand

#ThinkBIGSundayWithMarsha #makeyourownlane #defstar5 #mpgvip https://t.c…",Fri May 19 11:28:48 +0000 2017
life,meganr0bertss,"RT @jxdewoodx: Big boobs, tiny waist, peachy bum and being tanned as FURRRRK is all I ask for in life.... Am I asking for too much?? 🤷🏽‍♀️🤷…",Fri May 19 11:28:48 +0000 2017
life,RadioBahai,"Shaun Escoffery ""Live Your Life"" #HappyJoyfulSpirit #PositiveMusic #FamilySafe",Fri May 19 11:28:48 +0000 2017
life,xbiavismara,"@Kaiirel https://t.co/hwhSJCwAJZ i just can't, their live performances give me life",Fri May 19 11:28:48 +0000 2017
life,celenza67,"@jgent15 I mean, I'm not in any sort of political or PR position for my professional life, but even I am smart enou… https://t.co/zLTSfIFIK6",Fri May 19 11:28:48 +0000 2017
life,ShawnaWTF,RT @Dame_Lillard: What have you done... In life? Beside bathroom mirror pics? https://t.co/PLU2krJs9B,Fri May 19 11:28:48 +0000 2017
life,iljc_39,"The stupidest mistake in life is thinking the one who hurt you most, won't hurt you again.",Fri May 19 11:28:48 +0000 2017
life,TheZedz,@AlliLeigh_CB My life sometimes 😭😭😭💕,Fri May 19 11:28:48 +0000 2017
life,terrifict8m,@CrankGameplays @verytiredkat HaVe YoU EvEr SaId AnYThInG oRiGiNaL In YoUr LiFe?,Fri May 19 11:28:48 +0000 2017
