category,user,tweet,time
manager,Foreign_Exc,RT @firtsIove: this manager is nicknamed jimin's manager because he likes jimin and is smaller than jimin THIS IS SO ADORABLE https://t.co/…,Sat Apr 29 16:54:56 +0000 2017
manager,Iam_Rexshamx,"RT @SquawkaNews: Victor Moses on Antonio Conte: ""We've got a manager now who gives everyone the opportunity to express themselves, there's…",Sat Apr 29 16:54:55 +0000 2017
manager,lindahogg8,"@ryanffc88 Add a new manager to that list whatever happens. Yes, I said it!",Sat Apr 29 16:54:53 +0000 2017
manager,aisha_ismaiel,RT @KeNNyBoySlay: STALKING BTS IN HAWAII. I met their manager and he is going to call me tomorrow. https://t.co/xqUYPOIlig,Sat Apr 29 16:54:53 +0000 2017
manager,bigbucks2003,"RT @Greg_Wood_: Chris Hughton: ‘I have a thirst for knowledge. I won’t always be a manager’

https://t.co/l8sQxxG95E",Sat Apr 29 16:54:51 +0000 2017
manager,jobsads4u,"Laundry Manager Job Vacancy in Dubai 

Click to see the details of the Job and instructions to apply... https://t.co/8FVgvCPTrb",Sat Apr 29 16:54:50 +0000 2017
manager,heymillsss,RT @BITCHFollowFITZ: I will never eat from @TGIFridays JFK BLVD Phila. The service was horrible food was not cooked. They told me the manag…,Sat Apr 29 16:54:50 +0000 2017
manager,LisaDRSHR,"Want to work in #Washington, DC? View our latest opening: https://t.co/x4C8jQ8UGD #infosec #govsec #secops #ProjectMgmt #Job #Jobs #Hiring",Sat Apr 29 16:54:49 +0000 2017
manager,MaddiePfeiffer3,"I sent a mature respectful message to my manager saying I'm sick and can't make my shift tonight and he replied ""ouch 😖😖""",Sat Apr 29 16:54:48 +0000 2017
manager,leskayo58,"@safctinders yes it's wrong, I'm a manager of 17 people and motivate them daily has to be done 😊",Sat Apr 29 16:54:47 +0000 2017
manager,HiiSRK,"RT @ANI_news: Gautam Gambhir to bear full expenses of the children of 25 CRPF personnel killed in Sukma attack, Gambhir's media manager con…",Sat Apr 29 16:54:46 +0000 2017
