category,user,tweet,time
money,highIites,RT @theviralmeme: y'all paid all that money to go to school &amp; get a degree just to write about if a sponge has a dick https://t.co/jPdrILUe…,Mon May 15 05:27:43 +0000 2017
money,njethani,@SwiggyCares I've no idea how you end up resolving this because it's not about the money but neat ethics.,Mon May 15 05:27:43 +0000 2017
money,_IRegretNothing,RT @hausmuva: this is how I know dr. miami is making good money. he comes for wigs as if his pockets will NEVER be compromised. https://t.c…,Mon May 15 05:27:42 +0000 2017
money,mbuloUzmXaeNxFH,ciara love sex and money https://t.co/rAeQkQWFjP,Mon May 15 05:27:41 +0000 2017
money,G00d_vibez,RT @_GlitterGirll: I'm traveling and making money and LIVING in 2017 don't play with me,Mon May 15 05:27:41 +0000 2017
money,GMitakides,RT @Independent: Tories forced to admit they won’t spend any new money on social housing plan https://t.co/soqij2vhI3,Mon May 15 05:27:41 +0000 2017
money,urssohail,"RT @BrokenCricket: The Prize money for Champions trophy:

Winners: $ 2.2M
Runners up: $ 1.1M
Semi finalist: $ 450K",Mon May 15 05:27:41 +0000 2017
money,haja36510027,Never spend your money before you have it. - Thomas Jefferson,Mon May 15 05:27:40 +0000 2017
money,aolatk3,Reason Why You Spend so Money much On your Relationship - https://t.co/OSClgVxlIY,Mon May 15 05:27:40 +0000 2017
money,MARINAMOYA16,"@robertoperez40 @yoanisanchez @DeutscheWelle Int´l community ORG´s and ONG´s included TI, are part of these crimina… https://t.co/jLJy7C1Jwf",Mon May 15 05:27:40 +0000 2017
money,HusnulLaili,"RT @MarAzlan: Money cannot buy happiness and peace. 

Work hard because it is your PASSION. https://t.co/uPJdkRardj",Mon May 15 05:27:40 +0000 2017
money,LoeKey9,That money has NEVER been used like it was/is supposed to be used. Yet Repubs wanna cut from it like it's theirs and not OURS. Ok...,Mon May 15 05:27:39 +0000 2017
money,SPEAK_thousands,RT @theycallmekela: I wish money really grew on trees,Mon May 15 05:27:39 +0000 2017
money,StockViz,How to spend your money https://t.co/k4O15y3DTK (Feb.2015),Mon May 15 05:27:39 +0000 2017
money,aveshbansal24,@flipkartsupport U can just cancel the order and block that gift voucher u send to me and refund the money. It will… https://t.co/onbm95h0z5,Mon May 15 05:27:39 +0000 2017
money,liddokayla,I be missing talking to someone all day &amp; night but I'm tryna get to the money &amp; you niggas holding me back so I'm good.,Mon May 15 05:27:39 +0000 2017
money,beckron99,@DonaldJTrumpJr @AriMelber @realDonaldTrump what did he say when you and Eric at different times about Russian money? Take dad home.,Mon May 15 05:27:38 +0000 2017
money,ChangeTheLAUSD,@nickmelvoin complains about being connected to the Trump/DeVos Education Policy but doesn't mind the money being s… https://t.co/cFQfrjQjlW,Mon May 15 05:27:38 +0000 2017
money,itstchoe,"Money money money, can't stop the income",Mon May 15 05:27:37 +0000 2017
money,slmeszzzz,@B_larence_4th lmfaaao she better not be my mom paid real money for me to see that bitch,Mon May 15 05:27:37 +0000 2017
money,woitekj,"RT @CNNPolitics: The world's biggest cyberattack sends countries into ""disaster recovery mode"" https://t.co/nTmO9Dnh80 https://t.co/qAMfaYe…",Mon May 15 05:27:37 +0000 2017
money,_____zquad_____,"RT @zaynspetra: @MTVUK Zayn: tries to help a family friend rise money for health care - gets dragged
Harry: doesnt notice a close fiends su…",Mon May 15 05:27:37 +0000 2017
money,hirandas2610,@pawangadia great you dump shit. You guys cancelled my order now and initiated refund. I need interest for my money. You kept it for 1month,Mon May 15 05:27:36 +0000 2017
money,morekno,RT @cnni: A new technique from MIT makes teaching robots new skills easier by showing them a single demo video https://t.co/XtrR9oEu9S http…,Mon May 15 05:27:36 +0000 2017
money,Tumelo_Mokhine,"RT @NickkTitan: 1. No 
2. I don't have money 
3. No (remix) https://t.co/cwgtNNh598",Mon May 15 05:27:36 +0000 2017
money,jfole_de,"RT @TheFunnyTeens: Me: ""I need to start saving money"" 

Me when I get paid: https://t.co/STaqXogsVS",Mon May 15 05:27:35 +0000 2017
money,kaila_leanne,RT @domosexuaI: saving money is so hard how do people do this,Mon May 15 05:27:35 +0000 2017
money,iamkrichy,Cold money 😔 lmaooo https://t.co/AOrMhiO4n6,Mon May 15 05:27:35 +0000 2017
money,rokurou_txt,Velvet and Eizen stole my lunch money :C,Mon May 15 05:27:35 +0000 2017
money,Queen_JSamone,RT @iglvzx: WE. HAVE. NO. MONEY. BECAUSE. BABY. BOOMERS. DESTROYED. THE. ECONOMY. https://t.co/uWqV6NG7zQ,Mon May 15 05:27:35 +0000 2017
money,miketreen,https://t.co/01FQkwoPE3 What skyrocketing executive pay means for inequality - The Listener,Mon May 15 05:27:34 +0000 2017
money,lindseynolte,RT @domosexuaI: saving money is so hard how do people do this,Mon May 15 05:27:34 +0000 2017
money,NadineAlexus,RT @commuter: nothing else to do except get this money &amp; make memories,Mon May 15 05:27:33 +0000 2017
money,Itsme_Casssss,OH MY GOD IF THIS ISNT ON THE MONEY https://t.co/bB5xulLnXT,Mon May 15 05:27:33 +0000 2017
money,Tovius01,@GRYKING Seems that was a waste of money.,Mon May 15 05:27:33 +0000 2017
money,yurabiased,"@Kent_explorer issa joke, i know all too well that hyeri probably makes more money that all the girls combined 🙃",Mon May 15 05:27:33 +0000 2017
money,sunshinedodge,"RT @GlennMcmillan14: In 8 yrs,,the UN..collected,,10 trillion $$ towards climate Change,,,notice a difference,,? Where's the money??We got…",Mon May 15 05:27:33 +0000 2017
money,btslove0828,"RT @bts_bbmas_vote: Our @BTS_twt ARMYs from South Korea voted for #BTSBBMAs Top social artist.No BTS, No Money!",Mon May 15 05:27:32 +0000 2017
money,Sisipho_N,"RT @NickkTitan: 1. No 
2. I don't have money 
3. No (remix) https://t.co/cwgtNNh598",Mon May 15 05:27:32 +0000 2017
money,rishabh_arya95,"RT @Category5Moron: When you notice people like Rupa Subramanya and Dhume make a step change in their ideological leaning and advocacy , yo…",Mon May 15 05:27:32 +0000 2017
money,roncristina697,"""Don't stay in bed, unless you can make money in bed.""  meorge B,rns",Mon May 15 05:27:31 +0000 2017
