category,user,tweet,time
money,bbyghel___,sipping mimosas while listening to money man &amp; young thug is my aesthetic,Fri May 19 07:21:21 +0000 2017
money,SpokesBob,@Rachael_Swindon @BlakeAnselmo Rachael takes money from the government and adds no value to society,Fri May 19 07:21:21 +0000 2017
money,zazabozaza3f,RT @msidelicious: GTA 5 Online : Brilliant RP &amp; MONEY gathering method|FAST and EASY SOLO RANK UP|100% Approved|PC: https://t.co/x28DwZGz8G…,Fri May 19 07:21:21 +0000 2017
money,Leticia17922167,RT @MDBlanchfield: People are betting on Trump's impeachment online https://t.co/2y760zKnbz https://t.co/2VKxRfe4CC,Fri May 19 07:21:21 +0000 2017
money,Amber02150,"RT @NBharuka: "" WHO EVER SAID MONEY CANT BUY HAPPINESS ! HAVE YOU EVER OWNED A HORSE 🐴 OWN ONE AND FEEL THE HAPPINESS @Koksalakn https://t.…",Fri May 19 07:21:21 +0000 2017
money,YOUNGDESTINYA,"TRAGIC…

~ A man killed his son for money, and informed the police that his child is missing, the wife insisted... https://t.co/x1eC8FfQZ2",Fri May 19 07:21:21 +0000 2017
money,_Dredful_,@tacoboutpics @thisisslammed @IceyyyBoyz @TiltedMilitia @CamberWork @WorldWideStance @stanceit @AspireStance Yea it… https://t.co/4Sqlw4tfzQ,Fri May 19 07:21:21 +0000 2017
money,STREETMONEYDVD,Franko Dolo  Ft.Jokah Black &amp; Montana Mayham - 4 Days Listen now @ Street Money Radio https://t.co/YKP3YHgpDO,Fri May 19 07:21:21 +0000 2017
money,KatieHunt20,RT @McKenzieCNN: Is China's military and money unstoppable? With @KatieHunt20 https://t.co/w8hpAXHRD3,Fri May 19 07:21:20 +0000 2017
money,kris_retweets,"RT @RidaMasood5: Money comes and goes,but memories live over and over again.",Fri May 19 07:21:19 +0000 2017
money,Pamos19,"RT @CraigMurrayOrg: And today's Tory manifesto promises to abolish the Serious Fraud Office. You have to admit, Tory donors do get good val…",Fri May 19 07:21:19 +0000 2017
money,PresidentTony,Y'all can have the hoes ..I just want the money 💰,Fri May 19 07:21:19 +0000 2017
money,wholesomeradio,Athol-brose - Cocteau Twins - DJ Z - Put My Money Where My Mouth Is https://t.co/gplMv0EJN2 #music  #wholesome,Fri May 19 07:21:19 +0000 2017
money,JustWright__,"Bitch I'm from the streets, if they don't gimme any money then Ima take it #GimmeDat",Fri May 19 07:21:18 +0000 2017
money,RealRobCole,RT @TheGreenParty: Anyone else up for spending money on the NHS instead of Trident? #ITVDebate,Fri May 19 07:21:18 +0000 2017
money,The_Spud,RT @DavidJo52951945: Foreign aid is a total scandal &amp; total waste of money. It should be spent in the UK https://t.co/ukWlDr4GfZ,Fri May 19 07:21:18 +0000 2017
money,GETWIDEHT,"@soooo_keen Same ufa who when of our colleague's passed away, work decided to gift the family money. Call went out… https://t.co/88yc5Y2TBo",Fri May 19 07:21:18 +0000 2017
money,Jennytran1430,RT @angeIbae: i think venny and wale used namjoon and bts for clout and money,Fri May 19 07:21:18 +0000 2017
money,TodorceT,RT @IFEX: Macedonia: Government is controlling media with money and violence https://t.co/ztX1JDLwrX @SEENPM_org @fmeta @razvigor @OSCE_RFo…,Fri May 19 07:21:17 +0000 2017
money,AIRTEL_KE,"@trapwayne1 Hi,Airtel money activation's are done at our shops ^Jamo",Fri May 19 07:21:16 +0000 2017
money,penglvping,"RT @vmingvcci: If @/gucci dnt accept that mutual anytime soon they gon lose the potential money maker of they life 

#BTSBBMAs https://t.co…",Fri May 19 07:21:16 +0000 2017
