category,user,tweet,time
movie,SocJusticeOhio,"RT @acluohio: Next week is our #TransgenderSpotlight movie night! Join us on Wednesday, 5/24 at 5:30pm for screening &amp; discussion! https://…",Mon May 15 20:15:59 +0000 2017
movie,Beyonce_BK,"RT @NickiAbout: ""This was my song during my promo tour for my last movie."" — Christina Aguilera on Did It On 'Em being on her iPod, 2011. #…",Mon May 15 20:15:58 +0000 2017
movie,DN_Ayu,"RT @DN_Ayu: Too much manga adaptation, japanese movie and drama are getting artificial. I hate to say this!",Mon May 15 20:15:58 +0000 2017
movie,MediaJobMN,"Movie Theatre Manager: Emagine is hiring Theatre Managers in Lakeville, White Bear, and Plymouth! https://t.co/ItzZ2ij87S",Mon May 15 20:15:58 +0000 2017
movie,TommyMofo19,"@mattthemascot Loved that movie,deserved the oscar for it",Mon May 15 20:15:58 +0000 2017
movie,thecastlequotes,Now that is a bloody... - https://t.co/qIjpRPiruc #movie #Australia,Mon May 15 20:15:57 +0000 2017
movie,My_Movie_World,RT @gameofthronestv: 'Game Of Thrones' Spin-Offs Will Change The Way We View The Series - Forbes https://t.co/Pb71WxlCJb #GameofThrones,Mon May 15 20:15:57 +0000 2017
movie,DJRBI_,RT @Simonmadeyou: MOVIE MOVIE MOVIE! https://t.co/zwibOxqIjP,Mon May 15 20:15:57 +0000 2017
movie,SherlynArellano,"RT @ascaniospread: When the movie finished 15 minutes ago 
But its a marvel movie... https://t.co/oAssPYULqs",Mon May 15 20:15:57 +0000 2017
movie,Gazania_93,RT @KhanyaMkangisa: #Harvest flashback scenes are a movie on their own! 🙌🏾🙌🏾🙌🏾,Mon May 15 20:15:57 +0000 2017
movie,SeahawkGranny,"RT @BelleTraveler: #KingCharlesPBS seems less like a proper @masterpiecepbs &amp; more Lifetime movie of the week. Cheesy, laughable &amp; poorly w…",Mon May 15 20:15:57 +0000 2017
movie,PutMeOnBlast,"Imagine a woman inviting you over you really really like, and she says ""Let's watch my favorite movie."" She puts th… https://t.co/LQtYIbvLgI",Mon May 15 20:15:56 +0000 2017
movie,skininkpink,"Baywatch Official Trailer - Dwayne Johnson Movie https://t.co/ALXeusD0SI must see, even if i have to do it by myself",Mon May 15 20:15:55 +0000 2017
movie,MisterWheels,"RT @CauseWereGuys: ""The Notebook is the saddest movie ever"" me, an intellectual:  https://t.co/7KOYclJ6vT",Mon May 15 20:15:55 +0000 2017
movie,tcqlyl2,sex and the city movie ringtones https://t.co/Q6xCreq6PF,Mon May 15 20:15:55 +0000 2017
movie,TYRAnt__,"RT @Kayla_Cheyennee: Dudes go to the club and lean against the wall for 2 hours then get on social media like ""my life a movie.""",Mon May 15 20:15:54 +0000 2017
movie,KingMidas82,@valkilmer How are you ever gonna play Batman again without me writing it? I can open the multiverse &amp; give you your best movie by far.,Mon May 15 20:15:54 +0000 2017
movie,Liana_SDOTP,I liked a @YouTube video https://t.co/VFornHZPZ5 SML Movie: Bowser's Soup,Mon May 15 20:15:53 +0000 2017
movie,nanii11_,RT @allisone007: @ignatiusjulius But her twin died before the movie was released so they just said Lindsay played both roles.,Mon May 15 20:15:53 +0000 2017
movie,ILLADELL,"RT @memeprovider: ""The Notebook is the saddest movie ever"" me, an intellectual: https://t.co/ZiV6ZDeFRE",Mon May 15 20:15:53 +0000 2017
movie,imSunnyMalhotra,RT @IamAmrinderGill: I added a video to a @YouTube playlist https://t.co/gbga2IBM35 Chunni (Audio Song) | Lahoriye | Amrinder Gill | Movie…,Mon May 15 20:15:53 +0000 2017
movie,SandraHavana,"RT @infinite_mind: I just watched a movie…
That changed my life forever…
You can watch it right here... https://t.co/7ZR93ehWGs https://t.c…",Mon May 15 20:15:53 +0000 2017
movie,lexawasmyheda,Alien Covenant was fucking amazing!!! Totally couldn't predict the ending! Class movie 👌 #AlienCovenant,Mon May 15 20:15:53 +0000 2017
movie,SpacedadUNI,HowToGeek: How to Dim Your Hue Lights When Watching Movies in Plex https://t.co/PFfCrJB2IL,Mon May 15 20:15:52 +0000 2017
movie,CutieDelphine,"RT @MaryneeLahaye: Honest to god, I didn't know who was supposed to be ""The Gay One"" in Power Rangers and spent half of the movie thinking…",Mon May 15 20:15:51 +0000 2017
movie,DBMcWeeberton,@raubrey Really surprised Morrissey didn't like the movie BREAKIN'.🤔,Mon May 15 20:15:51 +0000 2017
movie,PKComets,RT @thelensthinkers: I just uploaded a new movie I made. Watch it here:https://t.co/q5QyPQSTfN https://t.co/q5QyPQSTfN https://t.co/g8E3FC3…,Mon May 15 20:15:51 +0000 2017
movie,iluvpuppieshoe,RT @iniguezmari_: I really wanna go to a drive-in movie theater,Mon May 15 20:15:51 +0000 2017
movie,PotatoWWE,RT @WhosChaos: @Sharp_tK here's the Movie Poster. https://t.co/uzCtLmesn6,Mon May 15 20:15:50 +0000 2017
movie,786Joel,"@Schw3ndi @Kenny3DD Replace ""man"" with ""movie""
https://t.co/FJbMqrI1Ew",Mon May 15 20:15:50 +0000 2017
movie,OldSkoolGeek420,Claire Foy Up to Play Lisbeth Salander in Girl in the Spider’s Web https://t.co/UWcQUb4HuQ https://t.co/nFcxU2dfPB,Mon May 15 20:15:50 +0000 2017
movie,iHrithik_Team,RT @almaalik_: .@iHrithik After saw #Kaabil i give respect  to blind people..That movie change my attitude also.. And waiting for ur innova…,Mon May 15 20:15:50 +0000 2017
movie,Turner__Ethan,RT @iniguezmari_: I really wanna go to a drive-in movie theater,Mon May 15 20:15:50 +0000 2017
movie,Kimmy_Mason,How did I not know there was a second Magic Mike movie?!?!?!?! #dreamsdocometrue,Mon May 15 20:15:50 +0000 2017
movie,campwamp,Wampler's Ascent - FULL MOVIE 🎥 https://t.co/kNNTM2ejFE @stephenjwampler @akwyz @ErikWeihenmayer @GSNorCal @49ers @LEVIS @ESET #movietime,Mon May 15 20:15:50 +0000 2017
movie,Eddie_Gahan,@thehistoryguy As played by William the Hurt in the woeful Robin Hood. Needs his own movie I think. That and a dece… https://t.co/igpemM3Bjo,Mon May 15 20:15:50 +0000 2017
movie,pNHuDBbmGoDIRWO,#nude #pussy #ass #blonde #bigass #sexdating #supergirl ukranian lover girl erotic movie https://t.co/YNmURBlu7d,Mon May 15 20:15:48 +0000 2017
movie,ImRaylene,"Watch lesbian movie: https://t.co/1B9c3n1lBw
Babe doing porn https://t.co/WqCxlyhMLH",Mon May 15 20:15:48 +0000 2017
movie,Bmore_horny,RT @FisterTwister: .@eveline_dellai @iStan69 @I_luv_reds @LezHoYes @sandssims @Bmore_horny @ilhanalannya @sexx_freak @Hot_Girls_247 @Honey_…,Mon May 15 20:15:48 +0000 2017
movie,PotatoWWE,RT @WhosChaos: Just applied to appear in a movie! You might see me on the BIG SCREEN in the future 👀,Mon May 15 20:15:48 +0000 2017
movie,TheyKnowKai,RT @sammyy_bee: It was a movie 🎥 #Prom2K17 https://t.co/zsf4pJbOHp,Mon May 15 20:15:47 +0000 2017
movie,bestmovieonlin1,https://t.co/106n42RJFe Independence Day: Resurgence #Business  full movie #fullmovie #xvideos,Mon May 15 20:15:47 +0000 2017
movie,yzNYzMlv2zFTddO,not getting sex #download sexy movie picture https://t.co/5g4ObfFyJn,Mon May 15 20:15:47 +0000 2017
movie,JesabelRaay,RT @HenryCavillOrg: Whaaat?? RT @BatmanNewsCom: It's on! The Rock confirms he'll fight Henry Cavill's Superman in an upcoming movie https:/…,Mon May 15 20:15:47 +0000 2017
movie,ImMiaMalkova,"Click here to watch the movie:  https://t.co/eFb1nxakF4
Invited to the fuck https://t.co/pog2FBNdez",Mon May 15 20:15:46 +0000 2017
movie,Loews_Hotels,"Reserve our house arrest package and receive $150.00 dollar food credit, a welcome amenity and one in-room movie!… https://t.co/jm1JKBWY0d",Mon May 15 20:15:46 +0000 2017
movie,abbieeeee_x,RT @rosemciversrc: .@imrosemciver The movie will be released on NETFLIX around the festive period.,Mon May 15 20:15:46 +0000 2017
movie,olicityanal,"RT @ghostfoxgoddes: Charlie: played a Latino in a movie 
Katie: brown faced for Halloween
wOw y'all really want these two to be GA/BC in mo…",Mon May 15 20:15:46 +0000 2017
movie,JanelleWahba,This needs to happen. It would be the best comedy movie ever https://t.co/e69YJssJQL,Mon May 15 20:15:46 +0000 2017
movie,cyaanvex,RT @PurpleKloudz: She promoting Spider-Man new movie and shit 😂 https://t.co/ADbfDtxXCS,Mon May 15 20:15:45 +0000 2017
movie,briantedfriedma,RT @kylemooney: our movie is coming out sooon https://t.co/roanHIlphl,Mon May 15 20:15:45 +0000 2017
movie,IMDb_movie_bot,"Red Tails (2012) [USA] ⭐️5.9 // 2h 5min // Action, Adventure, Drama, History, War https://t.co/nlJTc9NrK4",Mon May 15 20:15:45 +0000 2017
movie,EddyTheVigilant,RT @LikChan: The Wonder Woman movie poster in China is pretty dang cute. https://t.co/fgGjLqyfRx,Mon May 15 20:15:45 +0000 2017
movie,MyTSx_0144,@trailertrack The movie is gonna be better than we expect and still be shit lol,Mon May 15 20:15:43 +0000 2017
movie,TcZJoKLmVYStcmb,#kitty pryde sex free movie of porn https://t.co/HFG2r77AUG,Mon May 15 20:15:43 +0000 2017
movie,abbieeeee_x,RT @rosemciversrc: EXCLUSIVE; @imrosemciver's secret NETFLIX movie project is called #AChristmasPrince. Follow this thread for all new excl…,Mon May 15 20:15:43 +0000 2017
movie,Kilcomfirm,I liked a @YouTube video https://t.co/IkubPV2pZG God Broly vs Super Saiyan Blue Goku in DBZ 4D Japanese Movie,Mon May 15 20:15:43 +0000 2017
movie,ush144,"RT @MoviesWS: • Des For: #AndrewGarfield
• #Movie : #HacksawRidge https://t.co/hzPAGTZYTJ",Mon May 15 20:15:42 +0000 2017
movie,DEATHBYCOWS,I liked a @YouTube video https://t.co/L2TgH0mpJa FGTEEV BOYS play Snoopy's Grand Adventure: JELLY BEANS! (The Peanuts Movie PS4,Mon May 15 20:15:42 +0000 2017
movie,hfigo1991,RT @EvilAngelWeb: Provocative director @AidenStarr's 'https://t.co/DcjJn7tsE0' presents luscious &amp; experienced ladies in forbidden family a…,Mon May 15 20:15:42 +0000 2017
movie,natalia16031,RT @rHarryStyIes: Retweet and we will email you the Harry Styles: Behind the album movie for free https://t.co/KvhKTPnsTe,Mon May 15 20:15:42 +0000 2017
movie,PlayfullyMade,"Slept in, breakfast out, beautiful drive, massage, gate fixed, lawn mowed, kids entertained, movie rental. Mother's Day. #dating #gentleman",Mon May 15 20:15:41 +0000 2017
movie,Gekkouga_Z,"RT @WorldStarFunny: ""The Notebook is the saddest movie ever"" 

me, an intellectual: https://t.co/uR5aXUcIf2",Mon May 15 20:15:41 +0000 2017
