category,user,tweet,time
music,music_inspire,Good news I found a taco place and a Vietnamese restaurant in Carlow,Sat May 13 03:12:10 +0000 2017
music,jennatividad4,RT @BTSARMY_INTL: [UPDATE] Today the BBMAs &amp; VSCO  released a special Billboard Music Awards filter on the VSCO app. Use those filters now!…,Sat May 13 03:12:10 +0000 2017
music,Twistedsoulblog,"RT @hypem: We started 12 yrs ago. Today, we're introducing a way to support us in creating new paths for music discovery: https://t.co/v0B8…",Sat May 13 03:12:10 +0000 2017
music,PromoAliexpress,Onemix men's sport running shoes music rhythm men's sneakers breathable mesh outdoor athletic shoe… https://t.co/pXX5xUInFp,Sat May 13 03:12:10 +0000 2017
music,LindseyLeSchack,i need new music,Sat May 13 03:12:10 +0000 2017
music,anaaarmoa,RT @FemaleTexts: rip to all the songs in my music library that aren't the same four songs i keep playing every day,Sat May 13 03:12:10 +0000 2017
music,tsuenami,stage during the dress rehearsal but we had to exit from that stage so we were all skirting around the chairs and music stands and ugh,Sat May 13 03:12:10 +0000 2017
music,dbsk_bts,"RT @bts_bbmas_vote: With @BTS_twt smashing razor sharp choreography, cinematic music visual that could rival today's top artists #BTSBBMAs…",Sat May 13 03:12:10 +0000 2017
music,justjjesss,@thespacies music is so good 😭💙,Sat May 13 03:12:10 +0000 2017
music,TheMichaelRicks,"Bed bugs, Brexit and goodbyes: 20 years of #indie, as told by Fortuna Pop! https://t.co/whfmbWAe8H https://t.co/CDcMZKf713",Sat May 13 03:12:10 +0000 2017
music,bear_rogge,RT @BROTlPS: Georgia got Trap music and now Trap Hillbilly music... https://t.co/vCmLP8ucGq,Sat May 13 03:12:10 +0000 2017
music,KellyEekockopp,RT @ScoutingMusic: The Beginners Guide To Independent Music https://t.co/mOlZbzjVMX https://t.co/XscxZ5g9sf,Sat May 13 03:12:09 +0000 2017
music,btsonstage0508,RT @bts_bbmas_vote: we vote for BTS @BTS_twt for #BTSBBMAs Top social artist. It's a great news!!! THNX UNIVERSAL MUSIC JAPAN!!,Sat May 13 03:12:09 +0000 2017
music,l0vewithstyIes,RT @TheHarryNews: #NEW | Harry for Apple Music. https://t.co/sDIzoJURzB,Sat May 13 03:12:09 +0000 2017
music,ms_makatha,"At first, I want to have a room like Mr. Ah's but now I want a room like Mr. Kang's. I think I'll be better with music than games.",Sat May 13 03:12:09 +0000 2017
music,IGOTBANGERS,"Music doesn't lie, dope rap beat store Online buy dope instrumentals now https://t.co/DpOgaMcvvm",Sat May 13 03:12:09 +0000 2017
music,DEF2ZERO,"RT @stephencowan94: @Logic301 got my first tattoo today, thought I'd give you credit for the message that it promotes!✌🏻️❤️➕ Love your musi…",Sat May 13 03:12:09 +0000 2017
music,SBailey_22,Wanna have a bbq this summer listening to 90's music. 🤷🏽‍♀️,Sat May 13 03:12:08 +0000 2017
music,FxckNigel,RT @katyperry: BON APPETIT MUSIC VIDEO... https://t.co/9eVUJojSDP https://t.co/MCcNTrQzqm,Sat May 13 03:12:08 +0000 2017
music,Jazzzyyjay,"RT @triinnityy: Jaylen
-funny
-ms track meets 
-we fell off
-music choice &gt;
-hair&gt;&gt;&gt;",Sat May 13 03:12:08 +0000 2017
music,KbadazzDiamond,RT @ItsJaySpacely: All the pretty girls love trap music ..,Sat May 13 03:12:08 +0000 2017
music,bts___jm777,RT @bts_bbmas_vote: Suga is AGUSTD. Do u know him? @BTS_twt always make their music themselves. #BTSBBMAs Gi Give it To Me.,Sat May 13 03:12:08 +0000 2017
music,ChrissyWilhoit,RT @bIessly: i could drive around all night with someone listening to music and talking about life and be perfectly happy with my night.,Sat May 13 03:12:08 +0000 2017
music,btsonstage0508,RT @bts_bbmas_vote: Dont stop voting for @BTS_twt for #BTSBBMAs Top social artist. Army!! Did u hear that BTS will be on MUSIC STATION?,Sat May 13 03:12:08 +0000 2017
music,YomassiveRecs,#NowPlaying - The Hills (Original Mix) - James Talk - Listen at https://t.co/hkba72IG6D #house #music #housemusic 07:12,Sat May 13 03:12:07 +0000 2017
music,jaimeacuna13,RT @aandro: Start up the music rally pigeon. https://t.co/GtT9lzI1Ds,Sat May 13 03:12:07 +0000 2017
