category,user,tweet,time
music,ohshuckitsnewt,"we can slow dance to rock music,",Fri May 19 09:25:55 +0000 2017
music,ccabellOA,"RT @Camila_Cabello: check it out on @itunes &amp; @applemusic https://t.co/dNgoV76zFU
https://t.co/GQ8Bmr26oM 💕💕💕#BuyCryingInTheClubOniTunes ht…",Fri May 19 09:25:55 +0000 2017
music,SANTE_981121,"Listen to Callum Higby x Macks Wolf - Right Here (Radio Edit) 

なう https://t.co/9yCGi5mbwL",Fri May 19 09:25:55 +0000 2017
music,BeatStreetRdio,#NowPlaying Funky Four Plus One - That's The Joint on https://t.co/SJcFBZOwNf #soulful #dance #music &amp; #club #classics #DL our #free #app,Fri May 19 09:25:55 +0000 2017
music,Blonds_R_US,"@GUS_MUSIC --------&gt; Definitely the Hottest Bitch Ever

................ Ali Tmak @Ali_Tmak
.
https://t.co/FA1ByE79MX",Fri May 19 09:25:55 +0000 2017
music,kimwnseok,"RT @LCABBH0506: 170519 Music Bank in JEONJU
#baekhyun https://t.co/kkR9YvaQyg",Fri May 19 09:25:55 +0000 2017
music,faithpartooooo,RT @AJGibson: I've never seen fans as loyal or as excited as @BTS_ARMY!!! I hope @BTS_TWT is ready 4 @BBMAs this Sunday! 😝 #BTS https://t.c…,Fri May 19 09:25:55 +0000 2017
music,elvis3116,Club Tropicana: George Michael Was A Dance Music Pioneer https://t.co/vhBCxNxfMT via @HuffPostUKEnt,Fri May 19 09:25:54 +0000 2017
music,kesava__,@IamAkademiks Please tell me there's music coming 🤞🏽🤞🏽,Fri May 19 09:25:54 +0000 2017
music,PRindieband,We're looking for song critics!! Apply If you have love and knowledge of multiple music genres! #PaidGig #JobOpp… https://t.co/6sOeqCbvQz,Fri May 19 09:25:54 +0000 2017
music,tamutekku55,Happiness / Kiss Me (short ver.) Music Video https://t.co/Nn2GjQZqCZ,Fri May 19 09:25:54 +0000 2017
music,TessLibanze,"New Music!!
N/P No Other Name by @sinach on #TruthFmPathfinder #FamilyFriday with @ShiksThiongo",Fri May 19 09:25:54 +0000 2017
music,Aum_imag,"RT @LCABBH0506: 170519 Music Bank in JEONJU
#baekhyun https://t.co/kkR9YvaQyg",Fri May 19 09:25:54 +0000 2017
music,gasolinekatic,RT @halsey: As long as I get to make music I'm happy. 🌹,Fri May 19 09:25:54 +0000 2017
music,diegozicob,All this new music &amp; none of it is really that amazing 😭 https://t.co/pl06X4v3Wh,Fri May 19 09:25:53 +0000 2017
music,tenfemusic,RT @simonemarie4: Catch the show frm yday here on @mixcloud music frm @LittleBarrie @tenfemusic @daywavemusic @WeAreGROVES +lots more  http…,Fri May 19 09:25:53 +0000 2017
music,iam_xpensive1,"RT @SSMGHype: Check Out This🎧#MUSIC: ""GENTLEMAN"" by XPENSIVE @iam_XPENSIVE1 #GentlemanByXPENSIVE https://t.co/ugvRSCKWTc https://t.co/zAtlZ…",Fri May 19 09:25:53 +0000 2017
music,brainstormclout,I added a video to a @YouTube playlist https://t.co/6lTr74vA9Q The Cranberries: NPR Music Tiny Desk Concert,Fri May 19 09:25:53 +0000 2017
music,IloveABHDJHNKLJ,RT @AsiaCamilizers: PH FAM WHO STILL NEEDS IT? REPLY NOW BEFORE WE SEE THE MUSIC VIDEO 😉 #BuyCryingInTheClubOniTunes,Fri May 19 09:25:53 +0000 2017
music,NiaMinaj__,"RT @NickiReigns: .@katyperry @NICKIMINAJ ""Swish, Swish"" needs a music video. #SWISHSWISH",Fri May 19 09:25:53 +0000 2017
music,cabeyyo_laris,"RT @ProjetoFH5H: Congratulations @Camila_Cabello , your music is incredible. Your voice is beautiful. I love u ❤ Follow me Please 🙏

https:…",Fri May 19 09:25:53 +0000 2017
music,tamutekku54,Happiness / Kiss Me (short ver.) Music Video https://t.co/3yfvyJrGvr,Fri May 19 09:25:53 +0000 2017
music,seventeen_tiket,"RT @BBMAs: Get to know K-pop musical and social sensation @BTS_twt ahead of their #BBMAs debut: https://t.co/wKnzyrHPaG 💥

Written by @Jeff…",Fri May 19 09:25:53 +0000 2017
music,psorensen,RT @nytimes: Listen to the 10 essential Chris Cornell songs https://t.co/WO7BlODLGl,Fri May 19 09:25:52 +0000 2017
