category,user,tweet,time
nba,RTSCast,RT @NBA: Join us in wishing @Goran_Dragic of the @MiamiHEAT a HAPPY 31st BIRTHDAY! #NBABDAY #HEATisOn https://t.co/EtueNDZeo8,Sat May 06 12:04:33 +0000 2017
nba,pfarisoHefner,RT @NBA: Join us in wishing @CP3 of the @LAClippers a HAPPY 32nd BIRTHDAY! #NBABDAY #ItTakesEverything https://t.co/PmcYxoUtFh,Sat May 06 12:04:32 +0000 2017
nba,mr_espn_12,RT @NBA: Join us in wishing @CP3 of the @LAClippers a HAPPY 32nd BIRTHDAY! #NBABDAY #ItTakesEverything https://t.co/PmcYxoUtFh,Sat May 06 12:04:32 +0000 2017
nba,outsiderz__,RT @NBA: Join us in wishing @CP3 of the @LAClippers a HAPPY 32nd BIRTHDAY! #NBABDAY #ItTakesEverything https://t.co/PmcYxoUtFh,Sat May 06 12:04:32 +0000 2017
nba,Yveltal2017,RT @NBA: Join us in wishing @Goran_Dragic of the @MiamiHEAT a HAPPY 31st BIRTHDAY! #NBABDAY #HEATisOn https://t.co/EtueNDZeo8,Sat May 06 12:04:30 +0000 2017
nba,RTSCast,RT @NBA: Join us in wishing @AjincaAlexis42 of the @PelicansNBA a HAPPY 29th BIRTHDAY! #NBABDAY #Pelicans https://t.co/ifLFsJMGG7,Sat May 06 12:04:29 +0000 2017
nba,bobxie1029,"RT @NBA: Kawhi (19 PTS) and Harden (27 PTS) are putting on a show.

@spurs lead @HoustonRockets 72-66 after Q3 on @ESPNNBA. https://t.co/Oj…",Sat May 06 12:04:29 +0000 2017
nba,You_Kid_Me_Not,RT @NBA: Join us in wishing @CP3 of the @LAClippers a HAPPY 32nd BIRTHDAY! #NBABDAY #ItTakesEverything https://t.co/PmcYxoUtFh,Sat May 06 12:04:29 +0000 2017
nba,drake_blakk,RT @NBA: Join us in wishing @CP3 of the @LAClippers a HAPPY 32nd BIRTHDAY! #NBABDAY #ItTakesEverything https://t.co/PmcYxoUtFh,Sat May 06 12:04:28 +0000 2017
nba,syougi111,RT @NBA: Join us in wishing @CP3 of the @LAClippers a HAPPY 32nd BIRTHDAY! #NBABDAY #ItTakesEverything https://t.co/PmcYxoUtFh,Sat May 06 12:04:28 +0000 2017
