category,user,tweet,time
nba,cullaro_iii,RT @NBA: Steph Curry and Ian Clark mixing it up pregame w/ some football &amp; volleyball! Game 2 NEXT on ESPN! #NBAPlayoffs https://t.co/y0Vxm…,Thu May 18 12:05:13 +0000 2017
nba,TANDEMSWITHSLAP,@Keven216 @nikfunkazor @NBA @cavs @celtics @NBAonTNT Oh boo hooo,Thu May 18 12:05:13 +0000 2017
nba,MadDogRadio,"RT @sportingnews: Watch LaVar Ball tell ""The Herd"" co-host Kristine Leahy that she's going to get what's coming to her. 😮https://t.co/VEJPD…",Thu May 18 12:05:13 +0000 2017
nba,originsdb,RT @celticsblog: Jaylen Brown was the Celtics’ silver lining. A film breakdown by @JaredWeissNBA https://t.co/Srbk8xoQ7A https://t.co/wPsBr…,Thu May 18 12:05:09 +0000 2017
nba,phernandez_001,RT @phernandez_001: #JrNBACOYLAL                   Coach Kenny Cook for JR NBA coach of the year 🏀retweet https://t.co/uR0l3Aop3K,Thu May 18 12:05:08 +0000 2017
nba,SoccerNEWS,The Sidelines: Steve Wojciechowski discusses life at Marquette and coaching LeBron as a Team USA assistant https://t.co/y8mw5z2Fob,Thu May 18 12:05:08 +0000 2017
nba,frontpagebuzz,Katya Elise Henry Hanging Out By The Pool In A Red Thong Bikini https://t.co/k9spvkJwph https://t.co/O43eSro1f0,Thu May 18 12:05:08 +0000 2017
nba,SportRapid_,Utah Jazz vs Golden State Warriors Highlights – WC SF G2 | May-04-17 | 2017 NBA Playoffs… https://t.co/CHspbLNMux https://t.co/P328qWodeF,Thu May 18 12:05:08 +0000 2017
nba,NFLWrld,NBA playoff scores 2017: The Cavaliers and the Warriors really might both go 12-0 https://t.co/ODPo3Zdo5R,Thu May 18 12:05:05 +0000 2017
nba,_swellegant,I just added this to my closet on Poshmark: NBA LOVE Miami Heat Fan T Shirt. https://t.co/Dq5sKuKLEc via @poshmarkapp #shopmycloset,Thu May 18 12:05:05 +0000 2017
nba,phernandez_001,RT @VeryCarefulGirl: @tvland @iamraydiaz @georgelopez @lopezontvland #JrNBACOYLAL Love your work Mr. Lopez.  Please RT for one of our peopl…,Thu May 18 12:05:05 +0000 2017
nba,ForTheWin,2 incredible photos of Isaiah Thomas throwing himself at LeBron sum up Cavs’ Game 1 win https://t.co/5RD6dBegrI https://t.co/I5GUl9rUPe,Thu May 18 12:05:04 +0000 2017
nba,ThatGuyWilde,RT @NBA: Kyrie's #NBAKicks 👟 https://t.co/j5pEN8vIEu,Thu May 18 12:05:02 +0000 2017
nba,NAOKI253511,"RT @NBA: LeBron puts up 38 points, 9 rebounds &amp; 7 assists to open up the Eastern Conference Finals! #NBAPlayoffs https://t.co/f5iWhk8tRN",Thu May 18 12:05:02 +0000 2017
nba,GamingGod_KYM6,"New on my channel: The Best Shooter In 2K History | NBA 2K17 | @FameRTs @RogueRTs 
https://t.co/AkcSFqTH34",Thu May 18 12:05:02 +0000 2017
nba,JeffZillgitt,Cavs don't always need a high-scoring game from Kevin Love. They got one from him - inside-out - vs. Celtics: https://t.co/chx4q4EYaW,Thu May 18 12:05:01 +0000 2017
nba,HollywoodKane,"RT @NIGEL_HAYES: I guess a black male's naturally dreaded hair in a ponytail isn't fit for NBA teams/communities. As well as, it seems, pro…",Thu May 18 12:05:01 +0000 2017
nba,Scribbler_IT,"RT @NBA: The @cavs stay perfect in the #NBAPlayoffs. 

LeBron &amp; Love combine for 70 points to guide CLE to 117-104 Game 1 win over @celtics…",Thu May 18 12:05:01 +0000 2017
nba,TheCrossover,"The Celtics won the lottery, but the Cavaliers hold the real winning ticket (by @RohanNadkarni)… https://t.co/0iFvPdGJAv",Thu May 18 12:04:56 +0000 2017
nba,MusikJunkieeee,"RT @NBA: 7 straight 30 point #NBAPlayoffs games for No.23.

#NBAGIF https://t.co/yMfoLC8FKa",Thu May 18 12:04:48 +0000 2017
nba,milaro22,"RT @jakeandamir: You never see an NBA player sneeze mid game. Just Kyrie Irving at the line blowing out a wet one. 
Why is that, @BillNye ?",Thu May 18 12:04:48 +0000 2017
nba,DanteIannetta,"RT @NBA: LeBron is up to 37 points. 

@cavs are closing in on a Game 1 win on @NBAonTNT. https://t.co/kkCRhiQBQF",Thu May 18 12:04:48 +0000 2017
nba,NBAFansPlus,"2017 NBA Playoffs: Schedule, scores, game times, results for Celtics-Cavaliers, Warriors-Spurs - https://t.co/PquVF7xBtj …",Thu May 18 12:04:47 +0000 2017
nba,__kirbyyy,RT @NBA: Join us in wishing @CapelaClint of the @HoustonRockets a HAPPY 23rd BIRTHDAY! #NBABDAY #Rockets https://t.co/Q62OrgcH2t,Thu May 18 12:04:47 +0000 2017
nba,nbadoctors,#NBA Lebron James come Fausto Coppi - https://t.co/VoeD6B5xSA https://t.co/SMteCwYMmv,Thu May 18 12:04:46 +0000 2017
nba,Alexc1022,RT @NiggaNarration: The Greatest Block in NBA History - Told by Richard Jefferson 👑 https://t.co/vkYolnmJ6K,Thu May 18 12:04:44 +0000 2017
nba,JHScramble,@casvolsmu @cbhsportsblog NBA has the worst playoff scheduling. Takes way too long.,Thu May 18 12:04:44 +0000 2017
nba,HamzaSh61744511,RT @NBA: IT4 arrives and gets shots up over three hours prior to tip (8:30pm/et @NBAonTNT)! #NBAPlayoffs https://t.co/RkbQxAF7Qf,Thu May 18 12:04:43 +0000 2017
nba,Alex8awa,RT @NBA: Join us in wishing @CapelaClint of the @HoustonRockets a HAPPY 23rd BIRTHDAY! #NBABDAY #Rockets https://t.co/Q62OrgcH2t,Thu May 18 12:04:42 +0000 2017
nba,humanlennon,RT @NBA: Join us in wishing @CapelaClint of the @HoustonRockets a HAPPY 23rd BIRTHDAY! #NBABDAY #Rockets https://t.co/Q62OrgcH2t,Thu May 18 12:04:41 +0000 2017
nba,veronic95488008,"RT @BGCSFVISMITH: #LAKERS
#JRNBACOYLAL
HEY LAKERS FANS @CoachKennyCook IS UP FOR JR NBA COACH OF THE YEAR VOTE W/TWEETS W/#JRNBACOYLAL BLEE…",Thu May 18 12:04:40 +0000 2017
nba,EA_Sports01,"RT @SportsCenter: ""I'm not saying the fight will happen, but I've got one side done, now it's time to work on the other."" https://t.co/ulmO…",Thu May 18 12:04:40 +0000 2017
nba,NBA_1World,An NBA Lottery Mega-Party with the Weirdest Fans in the League - Bleacher Report https://t.co/htjgFK5ZKI,Thu May 18 12:04:38 +0000 2017
nba,USASport24,"RT @BleachersNJ: From the Bleachers- Ep. 8

https://t.co/B9SsZqnO8U

#NBAlottery #NBAPlayoffs #NBADraft #NBA #celtics #cavs #spurs #warrior…",Thu May 18 12:04:37 +0000 2017
nba,sydpriebe19,"RT @WorldStarFunny: NBA Playoffs Who Wins?
RT: Cleveland Cavaliers
Like: Boston Celtics https://t.co/GiQfEp6pFo",Thu May 18 12:04:36 +0000 2017
nba,WillMAlvarez,@MatthewKovacik @NBA The Celtics are similar to the D. Rose Bulls who would always have the best record but really… https://t.co/aMZ15V32dK,Thu May 18 12:04:36 +0000 2017
nba,KhriseAsare7,RT @NBA: Join us in wishing @CapelaClint of the @HoustonRockets a HAPPY 23rd BIRTHDAY! #NBABDAY #Rockets https://t.co/Q62OrgcH2t,Thu May 18 12:04:36 +0000 2017
nba,Sha10Michael,RT @ASAP_SportsNews: NBA - Ben Wallace was one SCARY human being #NBA  https://t.co/MLjc22Qwny,Thu May 18 12:04:35 +0000 2017
nba,Briccyardlilyo,@KallMeKelzz He gets credit for getting them to the NBA......BUT no criticism for not winning more wit that same NB… https://t.co/oQ2ETtj9ak,Thu May 18 12:04:34 +0000 2017
nba,KelvinOfficial_,RT @NBA: The TOP 5 PLAYS from tonight's Eastern Conference Finals opener! https://t.co/2DLWKXKyK0,Thu May 18 12:04:34 +0000 2017
nba,YABOY_JONES,Weakest playoffs in years #nba,Thu May 18 12:04:34 +0000 2017
nba,ColeColep1256,RT @NOTSportsCenter: Did You Know: The travel call on LeBron in the 4th quarter was the first time in his NBA career that he's been called…,Thu May 18 12:04:34 +0000 2017
