category,user,tweet,time
nike,Baker86F,"RT @KicksDeals: LIMITED TIME! Enjoy extra 20% OFF Nike Clearance items when you use promo code BONUS20 at checkout.

SHOP -&gt; https://t.co/g…",Fri May 12 10:48:26 +0000 2017
nike,Sophieinmyhouse,#NIKE #HYPERVENOM PHANTOM👉https://t.co/UjXtyZyFQ3⚽️⚽️⚽️Always on top!💪💪💪 https://t.co/AgPKx3dfWd,Fri May 12 10:48:25 +0000 2017
nike,youpomiannnn,#NIKE #HYPERVENOM PHANTOM👉https://t.co/WX1EMl9IDI⚽️⚽️⚽️Always on top!💪💪💪 https://t.co/3riOGX5tQH,Fri May 12 10:48:24 +0000 2017
nike,superfifastore,#NIKE #HYPERVENOM PHANTOM👉https://t.co/lNAGY3ISCw⚽️⚽️⚽️Always on top!💪💪💪 https://t.co/8uBs8Q7iQP,Fri May 12 10:48:20 +0000 2017
nike,ModernOwners,https://t.co/Tx9OIXu8aZ Jordan Royal 1 Size 9.5 Mens OG Nike Air DS 2017 Royals 1's 1s,Fri May 12 10:48:19 +0000 2017
nike,ModernOwners,"https://t.co/fDneBNeqL4 Nike Air Max 90 Leather 302519001 black halfshoes 10.0,14.0,15.0",Fri May 12 10:48:12 +0000 2017
nike,maillotsdefb,#NIKE #HYPERVENOM PHANTOM👉https://t.co/NLzoZLa0CV⚽️⚽️⚽️Always on top!💪💪💪 https://t.co/OB2Bq4RkRd,Fri May 12 10:48:10 +0000 2017
nike,future_techz_uk,"RT @kicksaholicey: The Nike WMNS Air Max 95 Liquid Lime for $140.
InstaCop here ➡ https://t.co/WW9VdTnkY9 https://t.co/OqdT5tTr6j",Fri May 12 10:48:00 +0000 2017
nike,ldcreely,.@Nike @Nike safe. https://t.co/JuQClGVHu5,Fri May 12 10:48:00 +0000 2017
nike,jerseys15euro,#NIKE #HYPERVENOM PHANTOM👉https://t.co/8vjmZwoVuB⚽️⚽️⚽️Always on top!💪💪💪 https://t.co/C2pGI2jEVt,Fri May 12 10:47:58 +0000 2017
nike,future_techz_uk,"RT @kicksgoddess: The Nike WMNS Air Max 95 Liquid Lime for $140.
InstaCop here ➡ https://t.co/7dJHDFaNOx https://t.co/jmbMfv79ou",Fri May 12 10:47:57 +0000 2017
nike,KicksAddictNY,Celebrity Kicks Sightings: @Isaiah_Thomas Rockin The Nike Air Max 97 “Gold” https://t.co/2pc03EPF6S https://t.co/M1zYWAnkQ6,Fri May 12 10:47:49 +0000 2017
nike,mexobymor,"NIKE AIR VAPORMAX FLYKNIT RUNNING DARK GREY / BLACK
£169.99
https://t.co/os9fjcbE0E",Fri May 12 10:47:48 +0000 2017
nike,Sev1729,UK online retailers need to take note of how smooth and easy it is to do any transaction on @Nike US's site! #customerservice,Fri May 12 10:47:43 +0000 2017
nike,Josiah_Ponso,But girls your eyebrows are starting to look like you endorsed by nike,Fri May 12 10:47:34 +0000 2017
nike,Boogiemania,"Nike was the God of Action. He just did shit, then He signed Jordan. That's not how the story… https://t.co/dnsLaanj2G",Fri May 12 10:47:32 +0000 2017
nike,ruggedoldsoul,RT @SneakerNews: Mountain Dew created a crazy Kyrie 3 package inspired by breaking ankles https://t.co/PwdlWNLAyd https://t.co/aCkiKo2g12,Fri May 12 10:47:31 +0000 2017
nike,sandbidecu1970,"RT @AthleteCleats: Jeron Johnson's custom Seahawks Nike's 👊
Retweet if you're a Seahawks fan! https://t.co/X878nVRuam",Fri May 12 10:47:27 +0000 2017
nike,RealMadridFNH,Adidas Beats Nike in European Soccer's Shirt-Sponsorship League #RealMadrid #HalaMadrid #RMCF #FNH https://t.co/5ghJgWTLrY,Fri May 12 10:47:24 +0000 2017
nike,DesireeeDesign,Just Tell Us Where to Send FREE Nike Samples. Expect NIKE stuff within 2 days - https://t.co/msR6KTZfiY https://t.co/AFu2KeGVUq,Fri May 12 10:47:22 +0000 2017
nike,MgbekeFF,"@M0re_nike @ebuoe @peterbunor11 I'm spending the weekend indoors, broke people don't make plans 😔",Fri May 12 10:47:20 +0000 2017
nike,WSangnako,"RT @sooyeon_fashion: [JESSTAGRAM] 170511 #JessicaJung
NIKE: Cortez Basic Leather (Black/Metallic), $62.99 https://t.co/M8HXgk5eW8 https://t…",Fri May 12 10:47:19 +0000 2017
nike,SuranneAngelo23,"Nike Air Max Zero Metallic Gold release on May 18, 2017 for $150 via @kicksonfire #KoFapp https://t.co/Dnp1U7ozgY",Fri May 12 10:47:17 +0000 2017
nike,_stylemuseum,Adidas Beats Nike in European Soccer&amp;#039;s Shirt-Sponsorship Race https://t.co/q7zH7rytHa #fashion #style https://t.co/GulIRXcXJ9,Fri May 12 10:47:12 +0000 2017
nike,BallinSneaks,Nike Womens Air Max 97 Silver https://t.co/HRpH3UAbAg,Fri May 12 10:47:12 +0000 2017
nike,xathanhnike,"This standout Nike Flyknit Racer from the ""Macaroon Pack"" drops May 19th &gt;&gt; &gt;https://t.co/pbETIKXoeC https://t.co/8l8ZB28DvX",Fri May 12 10:47:11 +0000 2017
nike,SuranneAngelo23,"Nike KD 9 Elite Racer Pink release on May 15, 2017 for $150 via @kicksonfire #KoFapp https://t.co/aXLxd0LBeG",Fri May 12 10:47:03 +0000 2017
nike,iamtwinkling,"@JasonGo73068589 @thirdyupdates Yo, he was at Nike HQ to pick up some shoes tho. He's definitely not bragging 😊 And… https://t.co/mRP2h6k52P",Fri May 12 10:47:03 +0000 2017
nike,NailsPornBase,2 FREE Nike samples for everyone who enters!! 😍🎁 https://t.co/FFYSEUh6xn https://t.co/aE4tAnoJaQ,Fri May 12 10:46:59 +0000 2017
nike,OnMySpaceship,"Men's Nike Air Jordan 11 Retro Low ""University Blue"" UNC Columbia Blue Size 13 https://t.co/MDbyDH9r3D",Fri May 12 10:46:58 +0000 2017
nike,OnMySpaceship,Nike Kobe A.D Ruthless Precision Cool Grey New Size 9.5 [852425-010] https://t.co/Rpdl61EFad,Fri May 12 10:46:58 +0000 2017
