category,user,tweet,time
nike,ModernShoppingZ,https://t.co/ZFMwZ7ecdc #shoes Supreme x Nike Air More Uptempo Size 11 Red Brand New w/ Box Shoes Sneakers,Thu May 18 11:45:12 +0000 2017
nike,OnMySpaceship,Nike Air Max 2017 Womens Running Shoes Black White Size 8 https://t.co/lXpQ3A54MD,Thu May 18 11:45:12 +0000 2017
nike,BlogForTheCause,NEW Nike Lebron XI 11 South Beach Size 11 616175 330 jordan air max trainer  https://t.co/MiYlVYE9lD,Thu May 18 11:45:12 +0000 2017
nike,OnMySpaceship,Nike Air Max Premiere Run https://t.co/BNgs6kfvDH,Thu May 18 11:45:12 +0000 2017
nike,BlogForTheCause,Nike Kobe 8 System Low Pit Viper Purple Dynasty Green Glow Size 12  555035-502 https://t.co/Jp9GTFlJ43,Thu May 18 11:45:11 +0000 2017
nike,OnMySpaceship,nike presto qs brutal honey size l rare deadstock https://t.co/G4kQxMcWtp,Thu May 18 11:45:11 +0000 2017
nike,BlogForTheCause,nike hyperadapt 1.0 https://t.co/jNOMRHfiqS,Thu May 18 11:45:10 +0000 2017
nike,21Anshy,"RT @zsonlineshopph: Nike Huarache Ultra Triple Black

OEM ✔
Size: 8-11 Men
          5.5-9 Women
FREE SHIPPING!!
DM US :) https://t.co/8nRB…",Thu May 18 11:45:10 +0000 2017
nike,CanoJeremy,"🚨Cop Here🚨
-&gt;https://t.co/e35hmI9M7d
Cost $130 https://t.co/eENFekTuQa",Thu May 18 11:45:09 +0000 2017
nike,BlogForTheCause,Supreme x Nike Air More Uptempo Size 11 Red Brand New w/ Box Shoes Sneakers https://t.co/Q0iA6rfAJ4,Thu May 18 11:45:09 +0000 2017
nike,baldheadjason,"RT @SneakerShouts: LIVE via @voostore 
NikeLab ACG 07 KMT 

Black: https://t.co/KHxMhYFS7O
Obsidian: https://t.co/xzDttdLtGF https://t.co/C…",Thu May 18 11:45:09 +0000 2017
nike,sneakers_4_Sale,"🚨Cop Here🚨
-&gt;https://t.co/x3OV5JMRzU
Cost $130 https://t.co/N0KrIWidCN",Thu May 18 11:45:09 +0000 2017
nike,OneShow,.@WiedenKennedy Portland + @PRETTYBIRDPIC Los Angeles wins a Bronze Pencil for @Nike. https://t.co/M58oCkVrNZ #OSawards,Thu May 18 11:45:09 +0000 2017
nike,BlogForTheCause,NIKE AIR MAX 95 ESSENTIAL BLACK-WOLF GREY SZ 12 [749766-005] https://t.co/oOsyAhl9w2,Thu May 18 11:45:09 +0000 2017
nike,ModernShoppingZ,https://t.co/4VeajHZKrx #shoes Nike Air Jordan 1 High - Air Max 1 x Atmos Wings Inspired Custom - Sz 11,Thu May 18 11:45:08 +0000 2017
nike,BlogForTheCause,NIKE FLYKNIT RACER 'Vivid Purple' US12.5 (526628-008) Trainer BRAND NEW  https://t.co/greCYGx8JL,Thu May 18 11:45:08 +0000 2017
nike,BlogForTheCause,Nike Air Huarache Run Womens 634835-006 Black White Running Shoes Wmns Size 9.5 https://t.co/8uFhWiqlV6,Thu May 18 11:45:08 +0000 2017
nike,KolbRonald,"Quality and Trade – The Nike Case #Quality 
https://t.co/MvgsfPDNUZ https://t.co/4C1Rsr6wgL",Thu May 18 11:45:07 +0000 2017
nike,BlogForTheCause,Nike Air Huarache Run Womens 634835-006 Black White Running Shoes Wmns Size 8.5 https://t.co/0ivds8T95o,Thu May 18 11:45:07 +0000 2017
nike,Victoria261287,"The #Nike Air Foamposite One ""Metallic Red"" drops on Friday, May 19th
=&gt;&gt; https://t.co/qQI7wHAEY8 https://t.co/5Z58aAc6cP",Thu May 18 11:45:07 +0000 2017
nike,binbinbon2014,"The #Nike Air Foamposite One ""Metallic Red"" drops on Friday, May 19th
=&gt;&gt; https://t.co/zUhrtFyVWD https://t.co/YZUsOszlWJ",Thu May 18 11:45:07 +0000 2017
nike,JulianaSneakers,"The #Nike Air Foamposite One ""Metallic Red"" drops on Friday, May 19th
=&gt;&gt; https://t.co/BhFXhj5JpZ https://t.co/kJ0vPR648H",Thu May 18 11:45:07 +0000 2017
nike,BlogForTheCause,Nike Air Huarache Run Womens 634835-006 Black White Running Shoes Wmns Size 8 https://t.co/I0pKL1Q31a,Thu May 18 11:45:06 +0000 2017
nike,BlogForTheCause,Nike Air Huarache Run Womens 634835-006 Black White Running Shoes Wmns Size 7.5 https://t.co/DlnYVdGBO5,Thu May 18 11:45:06 +0000 2017
nike,SneakerGlobal,"Grab the Nike Air Huarache Utility ""Grey/Black"" for $75 OFF

Select sizes available here -&gt; https://t.co/q3ocgdUl4v https://t.co/gr8shKsWbD",Thu May 18 11:45:05 +0000 2017
nike,BlogForTheCause,Nike Air Huarache Run Womens 634835-006 Black White Running Shoes Wmns Size 7 https://t.co/gso1zkDa7l,Thu May 18 11:45:05 +0000 2017
nike,ModernShoppingZ,https://t.co/E6wJiHMLGc #shoes NIKE AIR JORDAN 13 RETRO CP PE CHRIS PAUL BLACK-ORION BLUE SZ 8.5 [823902-015],Thu May 18 11:45:05 +0000 2017
nike,ModernShoppingZ,"https://t.co/gCCSXxAalP #shoes NIKE KOBE X 10 ELITE LOW FLYKNIT QS ID ""MULTI COLOR"" SZ 14 [802817-903]",Thu May 18 11:45:04 +0000 2017
nike,BlogForTheCause,Nike Air Huarache Run Womens 634835-006 Black White Running Shoes Wmns Size 10 https://t.co/Diml6bff2s,Thu May 18 11:45:04 +0000 2017
nike,BlogForTheCause,Nike Air Huarache Run Womens 634835-006 Black White Running Shoes Wmns Size 6.5 https://t.co/sQW36yNsph,Thu May 18 11:45:04 +0000 2017
nike,ModernShoppingZ,"https://t.co/kRyG8uQlCy #shoes NIKE AIR FOOTSCAPE NM PREMIUM QS ""SAKURA"" GREY-PINK SZ 8 [846786-002]",Thu May 18 11:45:04 +0000 2017
nike,ModernShoppingZ,https://t.co/S1QvqNsepm #shoes NIKE AIR JORDAN 1 RETRO HIGH OG BLACK-BLACK-GUM LIGHT BROWN SZ 7 [555088-020],Thu May 18 11:45:03 +0000 2017
nike,BlogForTheCause,Nike Air Huarache Run Womens 634835-006 Black White Running Shoes Wmns Size 6 https://t.co/y7mAYJ4JcB,Thu May 18 11:45:03 +0000 2017
nike,ModernShoppingZ,https://t.co/uzkCIZqnad #shoes NIKE AIR MAX 1 ROYAL LINEN-SUMMIT WHITE SZ 11 [847671-221],Thu May 18 11:45:03 +0000 2017
nike,BlogForTheCause,Nike KD Trey 5 IV Mens 844571-616 Crimson Red Durant Basketball Shoes Size 8 https://t.co/2yRxYacomd,Thu May 18 11:45:03 +0000 2017
nike,FatKidDeals,"Cool Grey 11 Canvas Art for $15, only 2 left!

#FKDart

https://t.co/6dCnthQRFv https://t.co/qdvQG21jfw",Thu May 18 11:45:02 +0000 2017
nike,ModernShoppingZ,"https://t.co/64oDY09jrE #shoes NIKE AIR JORDAN 1 RETRO HIGH OG AS ""ALL STAR CHAMELEON"" SZ 10.5 [907958-015]",Thu May 18 11:45:02 +0000 2017
nike,SneakerMash,"Grab the Nike Air Huarache Utility ""Grey/Black"" for $75 OFF

Select sizes available here -&gt; https://t.co/HDlATSbohC https://t.co/pYcdbbkWtE",Thu May 18 11:45:02 +0000 2017
nike,FrncsJstn_,"RT @zsonlineshopph: Nike Huarache Ultra Triple Black

OEM ✔
Size: 8-11 Men
          5.5-9 Women
FREE SHIPPING!!
DM US :) https://t.co/8nRB…",Thu May 18 11:45:01 +0000 2017
nike,ModernShoppingZ,"https://t.co/actAaceEJ8 #shoes NIKE AIR JORDAN 1 RETRO HIGH OG ""BARONS"" WHITE-BLACK-GREY SZ 13 [555088-104]",Thu May 18 11:45:01 +0000 2017
nike,ModernShoppingZ,"https://t.co/70OytJEPqw #shoes NIKE KOBE X 10 ELITE LOW FLYKNIT QS ID CLEAR ""MULTI COLOR"" SZ 12 [802817-903]",Thu May 18 11:45:01 +0000 2017
nike,walktall_uk,"#new @Nike landing soon...
#fresh #SneakPeek #sneakerhead #SneakerShopping #newshoes #walktallshoes #menswear… https://t.co/fReXeuUjBw",Thu May 18 11:45:00 +0000 2017
nike,yoongcIub,cause these white bitches be wearing nike shorts alllll the time so if they say something to me i'm going off,Thu May 18 11:45:00 +0000 2017
nike,ModernShoppingZ,https://t.co/7gNcfgjj6i #shoes NIKE AIR JORDAN 13 RETRO CP PE CHRIS PAUL BLACK-ORION BLUE SZ 13 [823902-015],Thu May 18 11:45:00 +0000 2017
