category,user,tweet,time
product,Jax_Rosales,@harto We're looking for influencers looking to promote our new tech product. Can we schedule a time to meet during @VidCon?,Tue May 02 19:22:39 +0000 2017
product,Ashley1Richards,Hey @MullerUKandI you need to sell the yogurt that you get in your corners as a solo product. It's hands down better than the fruit bit 😊,Tue May 02 19:22:39 +0000 2017
product,ThiHiru,#hashtag1 Black Hippychick Non Slip Hipseat https://t.co/1PniJ2u64E https://t.co/4W9m4Uf514,Tue May 02 19:22:39 +0000 2017
product,GetMeMyCoffee,@BestBuySupport When I go out of my way to pick up a product I expect it to be I  the advertised condition,Tue May 02 19:22:38 +0000 2017
product,LanaTargett,RT @EnviroWeezy: Isn't it time you thought about consolidating your cleaning and disinfecting needs into one product? Saber - cleaner…https…,Tue May 02 19:22:38 +0000 2017
product,BertLatamore,#Google Cloud Platform VP Product Mgt Sam Ramji live now on #theCUBE https://t.co/JPTOFZsFHq #redhatsummit https://t.co/FGPX1Ge7I5,Tue May 02 19:22:37 +0000 2017
product,Retweetertweetz,"This is the most fun drone on the market today! 

https://t.co/PxBzV2hK5J https://t.co/gbr2qWsnKA",Tue May 02 19:22:36 +0000 2017
product,AudreyMilian,RT @Oloni: UPDATE: #AskOloni 'She still hasn't apologised over the @anthonyfjoshua tweets' THOUGHTS? | https://t.co/en89xmWBNA RT https://t…,Tue May 02 19:22:36 +0000 2017
product,tuckerschreiber,RT @sama: Jan Koum with an incredible lecture about product and WhatsApp: https://t.co/R36RhT6z4z,Tue May 02 19:22:35 +0000 2017
product,deliverthunder,#murfreesboro #delivery Fulin's Pork Added with Lo Mein or Fried Rice Side https://t.co/0f2QXknp1V,Tue May 02 19:22:35 +0000 2017
product,karl929,"@CASAAmedia @tiptopvapor @FDATobacco Oh is this a product you personally prefer, what you dislike the gorilla batte… https://t.co/Uj5X0D9waF",Tue May 02 19:22:35 +0000 2017
product,deliverythunder,#murfreesboro #delivery Fulin's Pork Added with Lo Mein or Fried Rice Side https://t.co/W3ctCsBuqW,Tue May 02 19:22:34 +0000 2017
product,Tesco,@RandyDandyVlogs Hey Randy. I've sent you a DM with a list of product without tomato tortillas. Thanks - Nathan,Tue May 02 19:22:34 +0000 2017
product,BuyBestdumbbell,"PowerBlock Elite Dumbbell 70lb Set
See more at http://adjustabledumbbell.inf ... https://t.co/UjgwtkjovV https://t.co/3GtU3D96oJ",Tue May 02 19:22:34 +0000 2017
product,eehlii,Still wondering when the DEA is going to bust Mc Donalds and arrest them for serving product that kills ppl #WarOnDrugs,Tue May 02 19:22:33 +0000 2017
