category,user,tweet,time
profit,JenSzaro,GM is focused on making its next electric vehicle profitable... https://t.co/CmBobflUmJ via @FredericLambert,Fri May 05 23:52:03 +0000 2017
profit,jackbakerIV,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:52:03 +0000 2017
profit,AnthonyBeacham,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:52:03 +0000 2017
profit,Jain13Sarah,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:52:02 +0000 2017
profit,britishaura,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:51:57 +0000 2017
profit,YashayM_,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:51:56 +0000 2017
profit,big_oeuryo,#Leadership #Equities #Business Triple Profit Winner) https://t.co/bTehc6hjnz https://t.co/SkoKujcW7q,Fri May 05 23:51:55 +0000 2017
profit,deandraa__b,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:51:54 +0000 2017
profit,virtuallydior,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:51:52 +0000 2017
profit,arianaperezxo,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:51:52 +0000 2017
profit,ayyitsgloriaa,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:51:50 +0000 2017
profit,roffi1013,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:51:49 +0000 2017
profit,altscifi_,"RT @Viss: I wonder how many shells happen in this case
i mean .. ""make a leak"" backdoor everything ... 
shell .. researchers?
.. profit? ht…",Fri May 05 23:51:43 +0000 2017
profit,Sandpower,"@Wally389 @marcelluswiley @Lavarbigballer 2/2 Apple &amp; Samsung, GM &amp; BMW, First company has higher profit margin tha… https://t.co/XDDSHwVqCB",Fri May 05 23:51:42 +0000 2017
profit,BD_CDA,"RT @brentonwalters: TD Bank made $7.9 BILLION profit in 2014. Still qualified for tax break from BC Liberals.

Also donated $180k to BC Lib…",Fri May 05 23:51:40 +0000 2017
profit,aadjepong,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:51:39 +0000 2017
profit,brittneytaylork,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:51:39 +0000 2017
profit,Mlissaxo_,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:51:39 +0000 2017
profit,LegendsRTs,RT @ITSBLUENOSE4: Just Made A 60% Profit Case on @csgolive Make Sure You Check It Out https://t.co/2Ihh6iJzY0 @HyperRTs @ResetRetweets @Rel…,Fri May 05 23:51:38 +0000 2017
profit,wekndhacker,"RT @hawkdad56: This boils down to corporate greed, overbooking to maximize potential profit. @Delta great customer service! #YouSuck https:…",Fri May 05 23:51:37 +0000 2017
profit,anTAYyus,"RT @ThisAintBarry: Lavar Ball cut out the middle man and created a no-risk supply, meaning he only makes what he sells. 100% of the profit…",Fri May 05 23:51:36 +0000 2017
profit,olearytm,"...then be licensed out for profit (regardless of the sky-high cost of receiving said criterium), then that knowledge is a ""choke point""!",Fri May 05 23:51:33 +0000 2017
profit,AddisRahel,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:51:27 +0000 2017
profit,CalahJenae,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:51:26 +0000 2017
profit,Mariababyyxo,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:51:23 +0000 2017
profit,maeLuv_DUB33,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:51:21 +0000 2017
profit,thekyd__,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:51:19 +0000 2017
profit,tiffany_bolanos,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:51:19 +0000 2017
profit,leyatingle,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:51:18 +0000 2017
profit,jasminexjai,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:51:13 +0000 2017
profit,EuEthnic,RT @DrOwenRoberts: If a Tory MP had Twins they'd sell one @ a profit https://t.co/QbBwfc1Slk,Fri May 05 23:51:13 +0000 2017
profit,BakedWifeLife,"RT @PenguinCrystal: Insurance companies are not necessarily evil. They're designed not to pay. That's their profit model. 
Health care shou…",Fri May 05 23:51:12 +0000 2017
profit,jennnnarenae,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:51:12 +0000 2017
profit,LandingPageSite,"Create Highly Engaging &amp; Profit-Pulling Videos In Minutes... With 60 Done-For-You Video Templates!

Huge Bonus Url: https://t.co/x7pDoTrE5f",Fri May 05 23:51:09 +0000 2017
profit,SzamMalik,RT @CabellosEffect: remember that theres no profit here. No money being asked. These wil be gifted to the people who promote Camila's singl…,Fri May 05 23:51:05 +0000 2017
profit,Niaa_Amarri,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:51:03 +0000 2017
profit,PWritesman,"RT @davidsirota: The 2 parties narrowed the healthcare debate to be about how insurers can profit off u, rather than abt whether such middl…",Fri May 05 23:51:03 +0000 2017
profit,chrisschwindt49,@realDonaldTrump I know why because all your rich buddies profit by trapped sick people,Fri May 05 23:51:03 +0000 2017
profit,asshtinn,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:51:01 +0000 2017
profit,NatureBoyHerbs,By the the time this clown@janinebrito will be inlove with president Trump because he saved America&amp;she is going to… https://t.co/QSmGDs3nyE,Fri May 05 23:50:58 +0000 2017
profit,omgeeitsLeLe,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:50:54 +0000 2017
profit,InvestorMike,"TransCanada Keystone XL shipper talks complicated, CEO says as profit up $TRP
*long shares  https://t.co/9yMqvSmm3a",Fri May 05 23:50:50 +0000 2017
profit,ResetRetweets,RT @ITSBLUENOSE4: Just Made A 60% Profit Case on @csgolive Make Sure You Check It Out https://t.co/2Ihh6iJzY0 @HyperRTs @ResetRetweets @Rel…,Fri May 05 23:50:49 +0000 2017
profit,Snowflake35,RT @ecosmartbydsign: @mmpadellan The U.S. pays a lot more per capita for our current health care with similar outcomes. For profit care isn…,Fri May 05 23:50:45 +0000 2017
profit,Richie_Rach,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:50:44 +0000 2017
profit,DICKNIAZ21,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:50:38 +0000 2017
profit,Angieg17A,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:50:36 +0000 2017
profit,yaritzabieberxo,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:50:34 +0000 2017
profit,KylieChalae,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:50:32 +0000 2017
profit,_JusRob,RT @SydneeCarroll_: Work hard. Save. Invest. Profit. Invest some more!,Fri May 05 23:50:32 +0000 2017
profit,NickMcAlister_,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:50:29 +0000 2017
profit,Ebbyy_Eb,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:50:28 +0000 2017
profit,JoshThePilgrim,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:50:28 +0000 2017
profit,KdogRoars,"@blueys10 @AndyMaherDFA @rohan_connolly Like I said, standing up for your mates used to be a thing.  Apparently it'… https://t.co/8xHOGDU23u",Fri May 05 23:50:27 +0000 2017
profit,nobrokenhiarts,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:50:25 +0000 2017
profit,AVOXOX_,RT @briaunnamonet: Same reason why fruits &amp; vegs cost more than whole fastfood meals. Govt tryna create health-related issues to profit off…,Fri May 05 23:50:25 +0000 2017
