category,user,tweet,time
reform,glittery_trxsh,RT @Poshboy97: If you vote labour Oasis will reform,Fri May 12 18:49:47 +0000 2017
reform,NanetteHB,RT @EricHolder: DOJ has taken an unwise step backward to discredited criminal justice policies. The need for reform still exists. https://t…,Fri May 12 18:49:45 +0000 2017
reform,psvcc,"RT @RonNehring: I'd rather be arguing over tax reform, replacing Obamacare and securing the Southern border. 

When those are the issues, w…",Fri May 12 18:49:43 +0000 2017
reform,sdwolfpup,"RT @WesleyLowery: Today in ""black people, what do you have to lose?"" - federal sentencing reform https://t.co/B5oN1YiqpU",Fri May 12 18:49:43 +0000 2017
reform,nikkelsworth,"RT @justinamash: Let's pass criminal justice reform to put an end to this unjust, ineffective, and costly policy. https://t.co/BTT5aKY0Aj",Fri May 12 18:49:36 +0000 2017
reform,Dov2017,@senmikelee is absolutly right that we must have criminal justice reform and the senator has already introdused criminal justice Reform bill,Fri May 12 18:49:34 +0000 2017
reform,Wildomar9991,@BrentCannaCo @washingtonpost Lol.  Dude...he's already advanced tax reform legislation more than anyone since 1986.,Fri May 12 18:49:33 +0000 2017
reform,rillawafers,RT @EricHolder: DOJ has taken an unwise step backward to discredited criminal justice policies. The need for reform still exists. https://t…,Fri May 12 18:49:31 +0000 2017
reform,DavidSchmidIFRS,RT @CFOdirect: Analysts &amp; #investors: Register today &amp; hear PwC’s panel discuss the US #tax policy outlook for 2017 https://t.co/W4k6lOwyUd,Fri May 12 18:49:27 +0000 2017
reform,adviseagainstit,@CheefCamacho @Adriennebertuc1 @JVSylvester @kmindeye @achasemahr @DracosBooted @SamuelJParker @GustavVader1… https://t.co/lbKmm55sVY,Fri May 12 18:49:25 +0000 2017
reform,SimoneJWei,RT @EricHolder: DOJ has taken an unwise step backward to discredited criminal justice policies. The need for reform still exists. https://t…,Fri May 12 18:49:23 +0000 2017
reform,sarahjcrewe,"@ananavarro They want their health reform, er, I mean tax breaks. They will do anything to save a few million even… https://t.co/QXNyhqNI5L",Fri May 12 18:49:21 +0000 2017
reform,PalsJustice,"RT @hrw: After 4 years, it’s not clear why @FIFAcom needs yet another year to decide whether or not to follow its own rules. https://t.co/d…",Fri May 12 18:49:16 +0000 2017
reform,chrisparishband,"RT @justinamash: Let's pass criminal justice reform to put an end to this unjust, ineffective, and costly policy. https://t.co/BTT5aKY0Aj",Fri May 12 18:49:11 +0000 2017
reform,JohJen,RT @GOPLeader: #ThanksObama for endorsing our regulatory reform agenda. cc: @POTUS #MAGA 🇺🇸 https://t.co/qJhv2lSeHV,Fri May 12 18:49:07 +0000 2017
