category,user,tweet,time
reform,samjohnthompson,@SamTaggart97 None of the major parties wants to reform it tho boooooooooo,Fri May 19 15:37:05 +0000 2017
reform,TheGovGeeks,A Blueprint for SES Reform https://t.co/7J0M6Pu08r https://t.co/O7floRtGIa,Fri May 19 15:37:03 +0000 2017
reform,Milad_Jokar,"RT @thekarami: It's incredible, that despite having all the cards stacked against them, Iranians who want reform persevere, and continue to…",Fri May 19 15:37:01 +0000 2017
reform,bbbgramps,RT @WeedFeed: These Devout Christians Are Using The Bible To Argue That Pot Is God’s “Perfect Medicine” https://t.co/iOSzCIOcP0 (from @Buzz…,Fri May 19 15:36:59 +0000 2017
reform,doctorkimbrown,"RT @GeorgeRCovino: It’s time to reform the financial arm of the Education Department, report says https://t.co/AFul6m3Mym https://t.co/Gu4a…",Fri May 19 15:36:57 +0000 2017
reform,William49718043,"RT @EconomicPolicy: Instead of pushing tax reform, policymakers should focus on requiring corporations to pay their fair share of taxes. ht…",Fri May 19 15:36:53 +0000 2017
reform,OccuWorld,"On Election Day, Iran Chooses Between Gradual Reform And Conservative Return – NPR https://t.co/akpkMMyI50",Fri May 19 15:36:51 +0000 2017
reform,herewardawaken1,"RT @nikkihaley: Great meeting Australia's FM @JulieBishopMP. We talked about human rights, fighting anti-Israel bias at the UN, Syria, ISIS…",Fri May 19 15:36:50 +0000 2017
reform,klmayua,CNNMoney Tax reform: It's business vs. the middle class https://t.co/ILapCfNdfP #Entrepreneur #ASISAbuja2016 #Turkey,Fri May 19 15:36:49 +0000 2017
reform,YNHallak,"RT @nikkihaley: Great meeting Australia's FM @JulieBishopMP. We talked about human rights, fighting anti-Israel bias at the UN, Syria, ISIS…",Fri May 19 15:36:48 +0000 2017
reform,wesbjohnson2,"@realDonaldTrump like tax breaks for your crony republican friends,like tax reform to help 1%ers,like a illegal tra… https://t.co/E4YXuWR1El",Fri May 19 15:36:47 +0000 2017
reform,jesse_hotovcin,"RT @nikkihaley: Great meeting Australia's FM @JulieBishopMP. We talked about human rights, fighting anti-Israel bias at the UN, Syria, ISIS…",Fri May 19 15:36:44 +0000 2017
reform,TomfooleryH,@alison_mcentee @DPJHodges Maybe somehow between DWP &amp; the Information Commissioners Office we'll get some answers… https://t.co/rWWMXECGMs,Fri May 19 15:36:44 +0000 2017
reform,jackieaxeNH,RT @VonniMediaMogul: Someone today drove their car into a crowd in Times Square. We need car reform! https://t.co/rQGReFZYSn,Fri May 19 15:36:43 +0000 2017
reform,london_rocklad,"The Conservatives just pledged to take our democracy back decades | ERS -
Why so they want to do this? #GE2017  https://t.co/yHPvRmQLOu",Fri May 19 15:36:40 +0000 2017
