category,user,tweet,time
rugby,PMeren66,"RT @7Sport: The Western Force have become the first Australian Super Rugby team to beat the Jaguares in Argentina.
HIGHLIGHTS: https://t.co…",Sun May 14 00:44:24 +0000 2017
rugby,RUGBY_STR_COACH,"Unless that test you're using informs the decision making process, it is superfluous or punitive IMHO https://t.co/tqS7d6v1OC",Sun May 14 00:44:17 +0000 2017
rugby,HershySquit,"Sry just woke up, son and next son are diverse. Love diversity. This tweet is not aimed at anybody in particular. Ireland rule in rugby too.",Sun May 14 00:44:12 +0000 2017
rugby,ruckmeslowly,NZ: Chris Rattue: The problem with NZ rugby commentators https://t.co/s5gWq7D9vU https://t.co/4UJJLYr1Ol,Sun May 14 00:44:05 +0000 2017
rugby,ikramofficial,RT @Mr_Mark_Brown: Gallery: Pics from today's rugby challenge match between @holyroodrugby &amp; @DailandSeanadXV in #Edinburgh.  https://t.co/…,Sun May 14 00:44:03 +0000 2017
rugby,KTVBhss,RT @WillHallKTVB: Fascinating! Boys state rugby championship...#RockyMountain leads #Eagle 10-0 in the 1st #KTVBhss https://t.co/4RsAcIpxqg,Sun May 14 00:44:00 +0000 2017
rugby,dimpower,@vizcomic @brandtpreston didn't work well for them with the cricket rugby etc,Sun May 14 00:43:54 +0000 2017
rugby,Tier2RugbyForum,RT @SuperRugbyFans: Blitzboks to face Samoa in quarters https://t.co/RAzoBypCOl,Sun May 14 00:43:43 +0000 2017
rugby,JohnDelany95,RT @jimhamilton4: The time is right. This will be my last season as a rugby player. I am honoured to have played this beautiful game for so…,Sun May 14 00:43:29 +0000 2017
rugby,derickhougaard,"RT @Xstreme_Mark: @BreytonPaulse U beauty Kings that's a rugby match,thats what makes us love the game of rugby more&amp; more,u can feel it,it…",Sun May 14 00:43:20 +0000 2017
rugby,Official_BRFU,"Our u13 &amp; U15 teams have kicked off at the international junior rugby festival in Freeport, Bahamas - check out... https://t.co/1E5cJE35gf",Sun May 14 00:43:13 +0000 2017
rugby,UsmanAnwar78,Canada falls from Cup contention at Paris 7s https://t.co/wsXiUJuDkt,Sun May 14 00:43:05 +0000 2017
rugby,abby032397,Damn tomorrow we start summer training for rugby . This is gonna suck 🤢,Sun May 14 00:42:45 +0000 2017
rugby,GwenWirth,"""My shoulder is good mum... can I play this weekend?"" #DidYouGetAttackedByADog #CleatMarks #rugby #InjuryProne https://t.co/EADNXZwBGo",Sun May 14 00:42:39 +0000 2017
rugby,CalgarySaints,@jondalby @CCIAC_rugby Thanks for being a part of it! #yycrugby #ohwhenthesaints #whoinvitedthewind,Sun May 14 00:42:20 +0000 2017
rugby,Mikey_Bistro,"RT @NYOldBlueRFC: Old Blue R.F.C. 45 Chicago Lions Rugby Football Club 14

Thanks to Chicago Hope Academy for hosting 

Good luck... https:…",Sun May 14 00:42:17 +0000 2017
rugby,sonya_001,@FallenRedNinja Thank you dude! We've been out for lunch and I didn't have to eat a kfc bucket (I lost the rugby bet last night :(,Sun May 14 00:42:05 +0000 2017
rugby,SocialMediaZeal,Kieran Foran's former partner Rebecca Pope breaks silence over social media abuse - The Sydney Morning Herald https://t.co/QX9UyZ0bxO,Sun May 14 00:42:05 +0000 2017
rugby,kiss_net_nz,Chris Rattue: The problem with NZ rugby commentators  https://t.co/oDv84yeCyP,Sun May 14 00:41:52 +0000 2017
rugby,KTVBSportsGuy,RT @WillHallKTVB: Fascinating! Boys state rugby championship...#RockyMountain leads #Eagle 10-0 in the 1st #KTVBhss https://t.co/4RsAcIpxqg,Sun May 14 00:41:44 +0000 2017
rugby,grandadsghost,@cardiffstu @jayclark0106 @simonrug @MichaelKOfori @agarethgates @maff_1980 @tonylewis92 @cardiff_blues Regional ru… https://t.co/lNjODZgWil,Sun May 14 00:41:36 +0000 2017
rugby,StacyLWray,Congrats to the Harpeth Harlequins on the 32-0 Rugby State Chapionship!  So proud of @_jacobschoeff_ officially the… https://t.co/Tz4aoGf0gY,Sun May 14 00:40:56 +0000 2017
rugby,LMBRL_Rugby,RT @ATHLETICSaints: 2nd XV trailing @Shaw_Athletics 15-5 in the 1st half https://t.co/K3DwTYvkif,Sun May 14 00:40:43 +0000 2017
rugby,Abby__Haines,SOS ANYONE AT THE RUGBY GAME HAVE A BLANKET 😭😭,Sun May 14 00:40:42 +0000 2017
rugby,WillHallKTVB,Fascinating! Boys state rugby championship...#RockyMountain leads #Eagle 10-0 in the 1st #KTVBhss https://t.co/4RsAcIpxqg,Sun May 14 00:40:21 +0000 2017
rugby,LMBRL_Rugby,RT @Go_Sabres: Senior rugby plays a great 60 minutes but fall to an excellent @CollingwoodCavs team 24-0. @LMBRL_Rugby @BCSchoolRugby,Sun May 14 00:40:09 +0000 2017
rugby,JudoTalk,RT @Kimi48Renicks: Great day today was at all girls judo session &amp; after watched cartha sevens rugby then chilling night with some good cha…,Sun May 14 00:39:44 +0000 2017
