category,user,tweet,time
rugby,haydn_davies,RT @Tim_Opolis: @scarlets_rugby 80 minutes from the final boys. Strive to be at your very best for each minute. Good luck.#inthepack,Thu May 18 10:22:21 +0000 2017
rugby,UttamSarker1424,"RT @guardian: Success for unprepared Lions would be despite, not thanks to, administrators | The Breakdown https://t.co/3ZtxrsLXvW via @gua…",Thu May 18 10:22:19 +0000 2017
rugby,The_L3gend27,"RT @CIRCA_SA: FOLLOW, RETWEET TO WIN @SuperRugby double tickets to @LionsRugbyUnion VS @Kings at Emirates Airline Park on 28 May
https://t.…",Thu May 18 10:22:18 +0000 2017
rugby,richiecemex,"RT @milton_carl: The new intake of 17 Cemex driver apprentices.
Great visit to Rugby plant -learning about the business &amp; safety first http…",Thu May 18 10:22:15 +0000 2017
rugby,higgilucy,RT @EnglandRugby: Ground-breaking research undertaken with @UniofBath shows how rugby injuries can be reduced by more than 70%: https://t.c…,Thu May 18 10:22:14 +0000 2017
rugby,worldcupsport,#Rugby - Australian union to hold special meeting on Super Rugby cuts https://t.co/iekBJ5aN3w,Thu May 18 10:22:13 +0000 2017
rugby,KillWennedy,@EgertonSport I see your point. I don't think this will boost Italian Rugby. But there are a lot of things to fix w… https://t.co/FymaULK83l,Thu May 18 10:22:09 +0000 2017
rugby,cahulaan,"Success for unprepared Lions would be despite, not thanks to, administrators | The Breakdown https://t.co/SM2NyrWmwX https://t.co/zI89TVejoD",Thu May 18 10:22:08 +0000 2017
rugby,RugbyNuus,"https://t.co/giIFG2roqu | April starts, Deysel debuts for new-look Sharks https://t.co/hE6HIL61pt https://t.co/vuOLy8yKHC",Thu May 18 10:22:08 +0000 2017
rugby,mm_crocker,RT @c_newton11: Congratulations @Channel7 on the announcement. Elevating an exciting and fast developing part of our Game. Women's Rugby Le…,Thu May 18 10:22:04 +0000 2017
rugby,SportsJOEdotie,Massive changes for @ChampionsCup qualification announced and @PRO12rugby is looking good https://t.co/16gP8PjqPS,Thu May 18 10:22:01 +0000 2017
rugby,CIRCA_SA,"FOLLOW, RETWEET TO WIN @SuperRugby double tickets to @LionsRugbyUnion VS @Kings at Emirates Airline Park on 28 May… https://t.co/uPnAkCJvKE",Thu May 18 10:22:00 +0000 2017
rugby,Graham_Thomas,Is Welsh Regional Rugby Now Heading Down The Right Path? https://t.co/lXa7S5aIHE via @Dai_Sport_,Thu May 18 10:21:56 +0000 2017
rugby,porthquinsrfc,RT @RugbyMiners: Interested in playing rugby. @RugbyMiners are looking for girls year 9/10 to join our summer cluster. Be a part of somethi…,Thu May 18 10:21:55 +0000 2017
rugby,EYWGRugby,Credit where it's due. I did my level 2 referee course there last year and I was impressed then. The rugby pathway… https://t.co/omIdV7BgnJ,Thu May 18 10:21:46 +0000 2017
rugby,SamDGallagher,RT @Gilbyccfc: Last day in work tomorrow and then it's Benidorm on rugby tour 🍻🍻🍻 @St_Julians_RFC,Thu May 18 10:21:36 +0000 2017
rugby,DHLTwyn,RT @WalesRugby: BIG BREAKING NEWS: European Champions Cup qualification process ripped up in Pro12 as Italian teams face shut out https://t…,Thu May 18 10:21:36 +0000 2017
rugby,HumanBehaviorof,Belief is key for the Kings - SuperSport https://t.co/EAXDHX3OxY,Thu May 18 10:21:34 +0000 2017
rugby,worldcupsport,"Super Rugby https://t.co/VxNIxQqxTe | April starts, Deysel debuts for new-look Sharks https://t.co/XuA8Sttk8I",Thu May 18 10:21:33 +0000 2017
rugby,HMBHoldMyBeer,My younger brother seconds before knocking himself out in a under 16s rugby match https://t.co/ZTJVSudTdq #hmb… https://t.co/aypkXp0fbD,Thu May 18 10:21:31 +0000 2017
rugby,Team_Walkden,"Year 8 Football vs @AllHallowsPE in @gmcsfa Cup Final at @AGSBSport, 5pm ⚽️
Year 9&amp;10 Rugby Finals vs @StAmbroseBarlow 🏉#ThrillingThursday",Thu May 18 10:21:30 +0000 2017
rugby,SamanthaJMeeke,"RT @CIRCA_SA: Bookings open for
@SuperRugby between  @VodacomBulls and @Hurricanesrugby
27th of May at Loftus Versveld Pretoria
https://t.c…",Thu May 18 10:21:30 +0000 2017
rugby,RuGbY_REGGIE,You can easily fool yourself into believing you're on the righ... More for Taurus https://t.co/TqyPZRuzIm,Thu May 18 10:21:30 +0000 2017
rugby,iFatirah,"RT @amir_ihsan90: Dear YB @Khairykj , with this kind of performance, i would say, Malaysian Rugby deserve a newspaper front page headline.…",Thu May 18 10:21:23 +0000 2017
rugby,adherencenoble,"RT @amir_ihsan90: Dear YB @Khairykj , with this kind of performance, i would say, Malaysian Rugby deserve a newspaper front page headline.…",Thu May 18 10:21:17 +0000 2017
rugby,wwos,"The Voices of Rugby League: Ray 'Rabs' Warren and his partner in crime, Phil 'Gus' Gould. 

#NRLSharksCowboys |… https://t.co/ieMgbl8DSt",Thu May 18 10:21:17 +0000 2017
