category,user,tweet,time
science,KBAScience,"RT @teacherchalky1: GCSE Science Daily Revision Summary Sheets catchup!
#ukedchat #ocr #biology #revision #gcse #asechat #sunchat #ittchat…",Fri May 19 17:19:33 +0000 2017
science,roberts_keena,RT @jbsilk1: #GreatAdaptations Primate brains have specific region dedicated to processing social interactions https://t.co/7p6ZHaWi4v,Fri May 19 17:19:32 +0000 2017
science,sinseiminora,"RT @pbogosta: Finally I decide to finish #CS50 the best Compute science program from @Harvard and @davidjmalan .
Quality of the course is j…",Fri May 19 17:19:31 +0000 2017
science,Fashiongirl1040,"RT @pbogosta: Finally I decide to finish #CS50 the best Compute science program from @Harvard and @davidjmalan .
Quality of the course is j…",Fri May 19 17:19:31 +0000 2017
science,RoddiRanks,RT @Independent: Government accused of gagging scientists during election campaign by misapplying 'purdah' rule https://t.co/XaFHV5IPqX,Fri May 19 17:19:31 +0000 2017
science,el_saico,"RT @pbogosta: Finally I decide to finish #CS50 the best Compute science program from @Harvard and @davidjmalan .
Quality of the course is j…",Fri May 19 17:19:30 +0000 2017
science,aleximomo,"RT @jimmykimmel: Amazing, explosive and perilous moments in science with @ScienceBob... https://t.co/VhYyl8jCfW",Fri May 19 17:19:30 +0000 2017
science,smokieyob420,RT @maddow: Anti-Trump Science Protesters Finally Released Their Thoroughly Fact-Checked Crowd Estimates https://t.co/epfP1a8LEJ,Fri May 19 17:19:29 +0000 2017
science,greenurlifenow,"RT @O_Magazine: The health benefits of friendship, according to science https://t.co/Ve41tbBsO8",Fri May 19 17:19:28 +0000 2017
science,janepwilson,Climate Change Is Turning Antarctica Green https://t.co/h01QMzxBXj #science,Fri May 19 17:19:27 +0000 2017
science,okbutelliot,"RT @delaneyyshae: knights, make the choice and VOTE DELANEY in your science classes today🤑🤑🤑",Fri May 19 17:19:26 +0000 2017
science,xoxoitsuki,"RT @pbogosta: Finally I decide to finish #CS50 the best Compute science program from @Harvard and @davidjmalan .
Quality of the course is j…",Fri May 19 17:19:26 +0000 2017
science,Astronomy_Nerd,"RT @Astromaterials: Our Earth Science and Remote Sensing Unit lead, William Stefanov, presented at @37ISRSE on the Astronaut Photography of…",Fri May 19 17:19:25 +0000 2017
science,CathyFerron,"@rebleber @JoyAnnReid love my fellow science nerds I was 1 of the 50,000 in SF and 1.1mil worldwide More to come https://t.co/zz70phTzvf",Fri May 19 17:19:24 +0000 2017
science,jakkiy910,"RT @pbogosta: Finally I decide to finish #CS50 the best Compute science program from @Harvard and @davidjmalan .
Quality of the course is j…",Fri May 19 17:19:23 +0000 2017
science,afterthegold,"RT @pbogosta: Finally I decide to finish #CS50 the best Compute science program from @Harvard and @davidjmalan .
Quality of the course is j…",Fri May 19 17:19:23 +0000 2017
science,raikasarkett,“We’re starting to crack the hard computer science of conversationality.” #googleio #emergingtech #bots https://t.co/IXsoP9cOpJ,Fri May 19 17:19:22 +0000 2017
science,Twittociate,Mimir (YC S15) Is Looking for a Lead CS Curriculum Engineer (Remote or In-House) https://t.co/xzTux4bS6R https://t.co/XZ4dgbUpfo,Fri May 19 17:19:21 +0000 2017
science,GabiSchaffzin,"""Feminist STS is how I got into science studies &amp; then our core curriculum provides minimal exposure to feminist voices—16%"" -Rachel #SSPC17",Fri May 19 17:19:20 +0000 2017
science,sirylj,"@milo9 @nouscast Of all the things to hate Republicans for, you chose a climate science hoax. 🐸👌",Fri May 19 17:19:20 +0000 2017
science,GeoffreyBenn,Using microbes to treat PTSD: https://t.co/A0o7uKysl0 #science,Fri May 19 17:19:19 +0000 2017
science,EdJoyce,.@CASeaGrant among 33 #SeaGrant science programs serving U.S. coastal areas for 50 years! #EndangeredSpeciesDay https://t.co/zfQInDlDfH,Fri May 19 17:19:16 +0000 2017
science,sdiego1717,"RT @thinkprogress: Interior nominee says he'll look to Trump first, science second, to make decisions https://t.co/dVynjdjq2s https://t.co/…",Fri May 19 17:19:16 +0000 2017
science,mancekas,"RT @pbogosta: Finally I decide to finish #CS50 the best Compute science program from @Harvard and @davidjmalan .
Quality of the course is j…",Fri May 19 17:19:15 +0000 2017
science,vivek_mutalik,RT @drtkeane: Guess I've been in this role for &gt;10 years now. Opp to do some great science. Key is to keep skills relevant. https://t.co/LN…,Fri May 19 17:19:15 +0000 2017
science,DivaKnevil,RT @Telegraph: Lonely white puffin finally finds a mate to share burrow https://t.co/L70UfvhOAx,Fri May 19 17:19:15 +0000 2017
science,Bahai_Quote,"""The more knowledge and science increases, the more crimes will diminish"" #AbdulBaha #Bahai https://t.co/Hyqvxp0m7b https://t.co/51z6OczpRi",Fri May 19 17:19:12 +0000 2017
