category,user,tweet,time
song,hyunnieandtea,"RT @taehyungpic: Jhope asked Tæ stop singing Cypher so Tae pretend to hold his hand frm the mic but lip sync with the song 
SO CUTEE https:…",Fri May 19 11:49:56 +0000 2017
song,minajdaley,RT @AshleyAHelene: There is nothing a Britney Spears song can't fix 🙏 https://t.co/LBT6HO8wuC,Fri May 19 11:49:56 +0000 2017
song,younqfeel,so they fucking sang a japanese song while i was away gREAT,Fri May 19 11:49:56 +0000 2017
song,slime_slimey,https://t.co/hG0kY9xwy6 I'm addicted to this song,Fri May 19 11:49:55 +0000 2017
song,babyy_cm,RT @howdoyuwhisk: the first 52 seconds of only angel vs the rest of the song https://t.co/nuj93eBG5r,Fri May 19 11:49:55 +0000 2017
song,pretttty_ne,use to be my favorite song 😩 https://t.co/e5B849c1sC,Fri May 19 11:49:55 +0000 2017
song,janjuathala,"I added a video to a @YouTube playlist https://t.co/Au130pj9GW Sheera Jasvir ""New Punjabi Sad Song Collection"" - Kide Door Chale Jaiye",Fri May 19 11:49:55 +0000 2017
song,AshleyDWarren_,RT @SoDamnTrue: This is the most iconic rock song to date. don't argue with me on this https://t.co/ONrmQVQeE9,Fri May 19 11:49:55 +0000 2017
song,RollingRegui,RT @MintRoyale: The only good thing about the Camila Cabello song is that at least Ed Sheeran gets a chance to sue someone for once.,Fri May 19 11:49:55 +0000 2017
song,Robinson120293,RT @STR_360: #RaththamEnRaththam is the INTRO SONG of #MaduraMichael penned by #Vairamuthu sir !!! @iam_str @thisisysr #AAA1D https://t.co/…,Fri May 19 11:49:55 +0000 2017
song,Pau_Harmonizer,RT @paisamila: I can't stop listening to Crying In The Club. This song is such a bop and I'm so proud of Camila 💖 #BuyCryingInTheClubOniTun…,Fri May 19 11:49:55 +0000 2017
song,dareustheblack,@BlackKenobi It's fire but I can't survive with one song of new Vince for a month 😭,Fri May 19 11:49:55 +0000 2017
song,guadaasavaresi,"RT @Camila_Cabello: first song from the hurting the healing the loving, hope u guys love it, i can't wait for u to see the video 🌹#BuyCryin…",Fri May 19 11:49:55 +0000 2017
song,AngelRachelley,And another ever sooo very fabulous song I soooo love!!!  https://t.co/QgfZNA1a4P Happy Friday everyone!! @)--)--,Fri May 19 11:49:54 +0000 2017
song,geminisza,"RT @SOMEXlCAN: Someone: What is your favorite Beyoncé song?
Me: https://t.co/CTRNhdCnur",Fri May 19 11:49:54 +0000 2017
song,styIishmiley,RT @yikesams: Bad Liar is straight trash. Y'all better stop trying to find an excuse. Selena went into that studio and recorded the worst s…,Fri May 19 11:49:54 +0000 2017
song,kkwbu,RT @Hits93Toronto: POLL: What do you guys think this years song of the summer is thus far?,Fri May 19 11:49:54 +0000 2017
song,Adam_Bent26,What the hell is this new Katy perry song 😷,Fri May 19 11:49:54 +0000 2017
song,llatifall,"RT @Romaithiez: I still remember every song 
You told me to listen to",Fri May 19 11:49:54 +0000 2017
song,squishyg7,am i the only one who think that twice's new song isn't catchy??? hmm........,Fri May 19 11:49:54 +0000 2017
