category,user,tweet,time
song,Rake_85,RT @loving_khj: Sang new song 아직도 during rehearsal! The Korean version of Imademo ^^ #김현중 #KimHyunJoong #Anemone,Sat Apr 29 07:51:30 +0000 2017
song,NATALlAROMAN0VA,HALSEY AND LAUREN JAUREGUI IN ONE SONG IM SO USED TO GIVING AND NOW I GET TO RECEIVE https://t.co/Faa4L850dK,Sat Apr 29 07:51:30 +0000 2017
song,guzeldorofeeva9,RT @jakemwills: ASIDE FROM THE INTRO AND INTERLUDES THERE'S ONLY ONE SOLO SONG AAAAAAAAA,Sat Apr 29 07:51:30 +0000 2017
song,Chanyeolss61,RT @everlasting506: Sehun was the one who wore the tiara on Baekhyun 😭💕😭💕😭💕😭💕😂💕 &amp; the fans sang a bday song for him &amp; at the end he congrat…,Sat Apr 29 07:51:30 +0000 2017
song,Stef51710351,"RT @fanatic_got7: Jackson slaying Chinese charts with his first ever Chinese song, he produced it. If this is not legendary, then I don't k…",Sat Apr 29 07:51:29 +0000 2017
song,GracePearce0126,RT @ashleytisdale: Which @Beyonce song should I start my workout with?,Sat Apr 29 07:51:29 +0000 2017
song,Laetey,Remember when Song Jong Ki cries during Park Bo Gum's tearful speech after win at 2016 KBS DRAMA AWARDS… https://t.co/DMINFdmzyM,Sat Apr 29 07:51:29 +0000 2017
song,Deea_Andreea__,RT @CPongla: Best song ever #TeamNiall,Sat Apr 29 07:51:29 +0000 2017
song,ElinaGallardo,RT @velvetgasm: red velvet have to guess the song by doing the choreo &amp; passing it to each member. 😂 THEYRE SO CUTE . part 1 https://t.co/1…,Sat Apr 29 07:51:28 +0000 2017
song,sehunslave,RT @everlasting506: Sehun was the one who wore the tiara on Baekhyun 😭💕😭💕😭💕😭💕😂💕 &amp; the fans sang a bday song for him &amp; at the end he congrat…,Sat Apr 29 07:51:28 +0000 2017
song,therealrandy7,RT @KingDaunteking6: My summer song for sure https://t.co/U7QIqnzDDj,Sat Apr 29 07:51:28 +0000 2017
song,Jakefromthe6,"RT @iamlucascoly: Once this gets enough retweets, Ima drop it. This is prolly the hardest love song I made this year 😩 https://t.co/UJDxefh…",Sat Apr 29 07:51:28 +0000 2017
song,WhiskeyTwilight,"*plays song on Youtube*
*gathers gaalis because new gen all around me* https://t.co/yySwdVUkxD",Sat Apr 29 07:51:28 +0000 2017
song,DebonairGazbe,"‘WONDER WOMAN’ PLEASE LISTEN PLEASE SHARE PLEASE EMBRACE PLEASE FEEL FREE PLEASE PLAY THIS GREAT SONG
https://t.co/n2qcIoyRTt",Sat Apr 29 07:51:27 +0000 2017
song,I37diKGJE17YwF3,"RT @choobles: hey @LifeOfDesiigner... i think ur lying in ur song ""Panda"" bc my friend @Nudah went to Atlanta, and there wasn't a single fu…",Sat Apr 29 07:51:27 +0000 2017
song,RTJIII,@jasmineedeitz That song sucks balls,Sat Apr 29 07:51:27 +0000 2017
song,damndurtydave,RT @PatMcAfeeShow: DID NOT LIKE what @espn did to @Edwerderespn today so I sang him a song.. Hear the entire convo on tomorrow's podcast. L…,Sat Apr 29 07:51:27 +0000 2017
song,roalee_,RT @GOT7_REACTIONS: When the squads song comes on https://t.co/ileJG3Ocj1,Sat Apr 29 07:51:27 +0000 2017
song,yollershollers,RT @Knifti: when you play some fire on the aux and everyone asking for the name of the song https://t.co/m1GZHxpHqC,Sat Apr 29 07:51:26 +0000 2017
song,PRINCESSTEEZ,RT @comedyandtruth: When the lyrics of the song are just too damn relatable https://t.co/eY0W3hPuyk,Sat Apr 29 07:51:25 +0000 2017
song,Stephanievalve8,RT @_theycallmetrey: When you in the club and you hear the DJ about to drop the beat to your fav song 😂😩 https://t.co/rJKl3XxvNM,Sat Apr 29 07:51:24 +0000 2017
song,EastonMusicTeam,#NewMusic - Jazzy song By Petula Beckles called Wherever Jesus Leads Me #Gospel #Christian -&gt;… https://t.co/DYBmN1m8ye,Sat Apr 29 07:51:24 +0000 2017
song,9DIGIT_REC,RT @Pouyalilpou: album song #3 is a work in progress https://t.co/ccRqs5gRPb,Sat Apr 29 07:51:24 +0000 2017
song,discovertrack,We're looking for song critics!! Apply If you have love and knowledge of multiple music genres! #PaidGig #JobOpp… https://t.co/H1PRMRBS9m,Sat Apr 29 07:51:24 +0000 2017
song,rawhiphopbeats,RT @SammyLClay: Anyone coming to SNAP tonight in Aldershot will be the first to hear my new song #Always,Sat Apr 29 07:51:24 +0000 2017
song,dolffans,"RT @fdamusic: Man free my boy @iamkevingates thry gave him another 30 month, savage man, check out my music video and song with him https:/…",Sat Apr 29 07:51:23 +0000 2017
song,fazlianarahim,RT @milkteu: sehun is putting a tiara on baekhyun's head while the fans singing a happy birthday song to him ㅠㅠ https://t.co/iBzCz9wPGq,Sat Apr 29 07:51:23 +0000 2017
song,5SOS_BANDS_2101,"RT @Michael5SOS: Flume is honestly so great. his ability to blend organic sounds into electronic music is unreal, and every song is SWUNG!…",Sat Apr 29 07:51:23 +0000 2017
song,sergeantsquats,Best Gorillaz song? Fire Coming Out of the Monkey's Head.,Sat Apr 29 07:51:23 +0000 2017
song,Nwanzo,"RT @antsstyle: 0 - 0, by inho song: https://t.co/mWC8GncXJf https://t.co/OgrbbpF34H",Sat Apr 29 07:51:22 +0000 2017
song,annasyafir,"RT @konic_mup: The yg producer  said that iKON song is done and iKON will comeback soon ©KIMBinnie 
Btw TBH you antirats_ we don't care bou…",Sat Apr 29 07:51:22 +0000 2017
song,d_u3_a,♫ “Mystery Girl” https://t.co/rT5sJ0Urs5,Sat Apr 29 07:51:22 +0000 2017
song,woaishen123455,"RT @churchAlmighty: The Hymn of God's Word ""Are You One in the Stream of the Holy Spirit"" https://t.co/NRINlTzmJh
#Light #Belief #Song #Tru…",Sat Apr 29 07:51:21 +0000 2017
song,52musicJoe,A new favorite: Gravity Falls - Theme Song (Naukorin Remix) / Weirdmageddon by @Naukorin https://t.co/BkK5CQ0CEJ on #SoundCloud,Sat Apr 29 07:51:21 +0000 2017
song,jurocruz,RT @httpzouwee: This is the song of the summer https://t.co/VMU8jIzSFo,Sat Apr 29 07:51:21 +0000 2017
song,capturelightabe,"making a song, topical pic https://t.co/83wwX1Qkgm",Sat Apr 29 07:51:21 +0000 2017
song,yallmusbgay_bot,Ppl think im on i wouldnt feel all this is actually a good design or song/ painting w/e.,Sat Apr 29 07:51:21 +0000 2017
song,backhand187,RT @Vieparlafoi: Switching over to @justdancegame for the remainder of the night. Time to tackle our nonstop 25 song playlist 💪🏻💪🏻 https://…,Sat Apr 29 07:51:20 +0000 2017
