category,user,tweet,time
staff,BMoreAuthentic,"RT @brianklaas: Staff: Mr President, we need to avoid the appearance that you obstructed the Russia investigation &amp; acted Nixonian!

Trump:…",Thu May 11 10:18:09 +0000 2017
staff,SophieRoss20,"RT @Pre_schoolLA: Also pledges a transition to a qualified, graduate-led workforce ""by increasing staff wages and enhancing
training opport…",Thu May 11 10:18:09 +0000 2017
staff,CMolinaSanchez,"RT @cstrasbaugh: ""When you have small staff and lots to digitize, you have to be smart. We didn't start smart"" Marine van Rooney. Enter Goo…",Thu May 11 10:18:09 +0000 2017
staff,allafrica,"Army Appoints New Commanders, Staff Officers for Formations, Units: https://t.co/yaviGjvtq7 #Nigeria",Thu May 11 10:18:08 +0000 2017
staff,mactavish2191,RT @TeamArgoFy: @oyorooms pathetic Service.Please anyone don't take Oyo room when you r with some lady. They will allow their staff to call…,Thu May 11 10:18:07 +0000 2017
staff,3NovicesChennai,#3Novices : United Airlines cancels Indian-origin man's ticket for filming staff https://t.co/dyWXcFJpwV Navang Oza was refused entry on a…,Thu May 11 10:18:06 +0000 2017
staff,adarna25,".@AmericanAir Flew w/@AmericanAir today n it was horrible from beginning 2 end. $25 to check 1st bag, rude staff, n… https://t.co/575ypCo4qb",Thu May 11 10:18:03 +0000 2017
staff,nyjb9496,"RT @igot7_MarKP: JB: lets use 1 of the hint i think we need to hear sth we dont know anything
Staff:1 aegyo for 1 hint
JB: i dont want to d…",Thu May 11 10:18:02 +0000 2017
staff,thefrankreport,RT @jbillinson: An all-time great editor's note https://t.co/RNuJuxsaE4 https://t.co/70ezKU4Aa6,Thu May 11 10:18:01 +0000 2017
staff,jacky_yu23,RT @OntariosDoctors: Overcrowding leaves front-line staff struggling to shift patients from ER to in-patient beds. https://t.co/TFYYqWgU8m…,Thu May 11 10:18:00 +0000 2017
staff,TableMountainCa,#TBT to our amazing #Cableway staff party last week: https://t.co/3ZGkejYTgr https://t.co/QJfJG55EE1,Thu May 11 10:17:57 +0000 2017
staff,Dash_36,"RT @DrChubbyy: If we don't buy icecream, icecream companies will lose money, lay off staff, more people unemployed, economy plummets..you s…",Thu May 11 10:17:57 +0000 2017
staff,ssseulgie,"RT @baetoujours: Staff: can you be a good writer?
Seulgi: actually, I don't know. https://t.co/bmltntV3S2",Thu May 11 10:17:57 +0000 2017
staff,mactavish2191,"RT @TeamArgoFy: @OYO4U @BDUTT @RealArnabG @narendramodi @vijayrupanibjp Latest news , Oyo rooms permits their staff to call women prostitut…",Thu May 11 10:17:57 +0000 2017
staff,BritBookmakers,@carolynharris24 Bogus report paid for by commercial rivals including those who funded FOBT APPG and want to see 20… https://t.co/ahwBrjANKj,Thu May 11 10:17:56 +0000 2017
staff,jmdavid750,"In Final Letter To Staff, Comey Lauds FBI As 'Rock Of Competence' https://t.co/DnmWMwjPmk",Thu May 11 10:17:55 +0000 2017
staff,markyyytuan,"RT @igot7_MarKP: JB: lets use 1 of the hint i think we need to hear sth we dont know anything
Staff:1 aegyo for 1 hint
JB: i dont want to d…",Thu May 11 10:17:54 +0000 2017
staff,HydeHousing,"Group Chief Executive, Elaine Bailey launches our new strategic plan at staff conference #Hyde50… https://t.co/CdlDXo54Pb",Thu May 11 10:17:52 +0000 2017
staff,sinead_ryan,"@CJayFla Seriously, it's putting lives in danger. The flu jab should be mandatory for care staff.",Thu May 11 10:17:52 +0000 2017
staff,SEAGULLMINSUGA,RT @sparklingjimin: look at the staff reaction when he realizes the plushie has the same colour as jimin's hair i'm laughing so hard https:…,Thu May 11 10:17:47 +0000 2017
staff,fluffywangs,"RT @jaenumb: staff: for this episode of the jackson show we have invited all of jackson's side men
mark: so how many exactly
staff: 87
jack…",Thu May 11 10:17:47 +0000 2017
staff,NguynLHong1,"Comey pens farewell letter to FBI staff. ""I'm not going to spend time on the decision or... https://t.co/822mU7Pqyi… https://t.co/ENCef9Ic5g",Thu May 11 10:17:46 +0000 2017
staff,Mr_Ali_k,"RT @DrChubbyy: If we don't buy icecream, icecream companies will lose money, lay off staff, more people unemployed, economy plummets..you s…",Thu May 11 10:17:45 +0000 2017
staff,chryssaleana,"RT @igot7_MarKP: JB: lets use 1 of the hint i think we need to hear sth we dont know anything
Staff:1 aegyo for 1 hint
JB: i dont want to d…",Thu May 11 10:17:44 +0000 2017
staff,msmega_,"RT @DrChubbyy: If we don't buy icecream, icecream companies will lose money, lay off staff, more people unemployed, economy plummets..you s…",Thu May 11 10:17:43 +0000 2017
staff,JermSun,RT @brianklaas: Every defense of the Comey firing Trump and his staff have put forward has crumbled into the ashes of blatant lies. https:/…,Thu May 11 10:17:43 +0000 2017
staff,aqsaubaid46,RT @pmln_org: Chief of Air Staff Air Chief Marshal Sohail Aman called on Prime Minister Muhammad Nawaz Sharif at PM House today. https://t.…,Thu May 11 10:17:39 +0000 2017
staff,brianklaas,"Staff: Mr President, we need to avoid the appearance that you obstructed the Russia investigation &amp; acted Nixonian!… https://t.co/ZO2vGB7b6a",Thu May 11 10:17:39 +0000 2017
staff,creammie_1994,RT @1Dupdatingyou: Liam with staff at Q100Atlanta https://t.co/BZcOBvIoCy,Thu May 11 10:17:38 +0000 2017
staff,cnqvv,RT @MDimainGlobal: More unionized workers arriving at picket line outside of Toronto Zoo. Encouraging staff to stay strong and positive #to…,Thu May 11 10:17:37 +0000 2017
staff,carrechic,Teething baby hippo Fiona enjoys a check and mouth massage https://t.co/tkH8bbN54C,Thu May 11 10:17:37 +0000 2017
staff,mac_ashe,"RT @JohnNorth50: People were calling for Bus Eireann staff to be sacked for going on strike,An Garda Siochana behave like gangsters and the…",Thu May 11 10:17:37 +0000 2017
staff,RobertMoseder,RT @washingtonpost: This story has been updated to more precisely describe Spicer's location near White House bushes on Tuesday night https…,Thu May 11 10:17:35 +0000 2017
staff,PivotalSandra,"RT @pivotalmikeA: I had the BEST day with the staff at @MardenHigh yesterday. What a Dedicated, enthusiastic and inspiring team 😊",Thu May 11 10:17:32 +0000 2017
staff,jyheffect1027,RT @figfling: Seungri is only nice to his manager when there is staff around and he buys him things that he doesn't need haha (his manager…,Thu May 11 10:17:29 +0000 2017
staff,TalkieWallie,RT @carnegierugby: Support Carnegie staff running for Leah in the #LeedsHalfMarathon in aid of Leeds General Infirmary Paediatric ICU https…,Thu May 11 10:17:29 +0000 2017
staff,JobToday_UK,@SaferLondon1 Hi SafeLon :) I see you're looking for new staff? With JOB TODAY you can post jobs for free &amp; get res… https://t.co/S6mESIjYJj,Thu May 11 10:17:29 +0000 2017
staff,CVMvanderHarten,"RT @cstrasbaugh: ""When you have small staff and lots to digitize, you have to be smart. We didn't start smart"" Marine van Rooney. Enter Goo…",Thu May 11 10:17:29 +0000 2017
staff,23_dross,RT @BrendanNyhan: But his senior staff were reportedly mostly blindsided https://t.co/7w8HlvoSzm,Thu May 11 10:17:29 +0000 2017
staff,YAaa446,staff(  ˙-˙  ),Thu May 11 10:17:27 +0000 2017
staff,gman_mish,RT @washingtonpost: This story has been updated to more precisely describe Spicer's location near White House bushes on Tuesday night https…,Thu May 11 10:17:26 +0000 2017
staff,ThePilk95,@uutmoodi @ConorsDebates @IAmMrDexB @marcelo0561 Now hug a paid member of UBU staff. Take a photo. Post on FB.,Thu May 11 10:17:25 +0000 2017
staff,pulpmarkets,"valuewalk: Senior staff flood out of Michael Hintze's hedge fund CQS, and secure new jobs - eFinancialCareers https://t.co/J99xSJKvsV",Thu May 11 10:17:23 +0000 2017
staff,KWCH12,"RT @KWCHMark: A 1st for me Tuesday, I shared my weather talk w/3rd+4th graders at Remington Elem. in Potwin. Students and staff were outsta…",Thu May 11 10:17:22 +0000 2017
staff,GrahamAubrie,RT @carl680: No zoo for you.   Unionized staff at the Toronto Zoo are now on strike forcing the zoo to close today https://t.co/EaVKsKLYdo,Thu May 11 10:17:21 +0000 2017
staff,Kerri_urbanist,RT @NHSMillion: The #NHS would be on its knees without dedicated staff from around the world. Please RT to show your appreciation for all t…,Thu May 11 10:17:21 +0000 2017
staff,Yoongladesh,RT @jintherapper: backstage staff: shit ed sheeran bust his leg and his stage is in 2 min how can we find a good singer tht also knows all…,Thu May 11 10:17:21 +0000 2017
staff,darlow_paul,@virgineascoast Staff on your trains who sit next to First Class quiet coaches should be reminded about the word quiet.,Thu May 11 10:17:20 +0000 2017
staff,DarStarr7,"RT @kylegriffin1: This is just the most unreal scene to picture—Spicer, hiding in the bushes, asking for the lights to be turned off https:…",Thu May 11 10:17:18 +0000 2017
staff,sargesalute,"Prisoner on Prisoner Assaults 2016, 68% increase compared to 2006. Staff and investment needed. #ToriesOut… https://t.co/pWhnvTTYo3",Thu May 11 10:17:18 +0000 2017
