category,user,tweet,time
star,SViikna,Journalists shouldn’t become the news: Public Editor | Toronto Star https://t.co/EtNlVtEnOS,Fri May 05 13:42:23 +0000 2017
star,jepthebest_,"RT @DeadlineDayLive: Chelsea are prepared to pay Real Madrid £63m for Álvaro Morata, whose girlfriend has already bought a house in London.…",Fri May 05 13:42:23 +0000 2017
star,saunieindiego,RT @BLMca: Historic @yumasun photos from filming at Imperial Sand Dunes or #Glamis in #SoCal → https://t.co/Zj3hCMqlxS #MayThe4thBeWithYou…,Fri May 05 13:42:23 +0000 2017
star,SlGNCFTHETlMES,"RT @bucchanans: since is star wars day today, lets bring back this iconic accapeLLA EVER https://t.co/zuLwf9J4PV",Fri May 05 13:42:23 +0000 2017
star,N2theLightPara,"Once again, the Star of India was crazy active! More EVPs than we can count! #Listen https://t.co/QuSIcsWkZk https://t.co/Tj5fDm76zz",Fri May 05 13:42:22 +0000 2017
star,WeGotLoves_CA,"11 Quote Inspiratif di Film Star Wars

a thread by Admin Naeun
Source: IDNTimes",Fri May 05 13:42:22 +0000 2017
star,gregsedwards,"🎵 Sammy used to be a baseball starDiane once dated Frazier 🎵",Fri May 05 13:42:22 +0000 2017
star,JennylinGonzal1,"RT @poll_phil: Vote Janella Salvador for MOST FAVORITE SOCIAL MEDIA STAR &amp; TWITTER QUEEN

Like = 1
Retweet = 1 https://t.co/DfUf6EjTj1",Fri May 05 13:42:22 +0000 2017
star,FlFairTax,"RT @FairTaxOfficial: Star Parker:  on taxes https://t.co/CMDXfifVyZ ""I'd like to see a business tax rate of zero in low-income urban areas""…",Fri May 05 13:42:22 +0000 2017
star,clare1982,RT @GameSeek: Follow &amp; Retweet for your chance to #win Star Wars: Battlefront 2 on release day! #Giveaway available on #PS4 and #XboxOne. G…,Fri May 05 13:42:22 +0000 2017
star,MillarMatthews,"Bradley Cooper Avoids Baby Talk, Opens Up About ‘A Star is Born’ On ‘Ellen’ – Watch Here! https://t.co/boM1d1QmOZ https://t.co/bA3JNDXLT0",Fri May 05 13:42:22 +0000 2017
star,emilyhughes,RT @Syfyfangrrls: What it means to love a thing that has never represented you and then suddenly does. https://t.co/nHnJjZHd9O,Fri May 05 13:42:22 +0000 2017
star,Chris_Corlew,RT @LindseyThiry: Two years ago I interviewed high school star Lonzo Ball postgame. Now I can't afford even one pair of his shoes. Life com…,Fri May 05 13:42:21 +0000 2017
star,fluttershy_23,RT @GameSeek: Follow &amp; Retweet for your chance to #win Star Wars: Battlefront 2 on release day! #Giveaway available on #PS4 and #XboxOne. G…,Fri May 05 13:42:21 +0000 2017
star,msfunnybones_j,@timesofindia @MissKyra12 Who cares about these useless star kids! More power to Kangana😘,Fri May 05 13:42:21 +0000 2017
star,justdoxoit,RT @LVLGAGA: Bradley Cooper on working with Lady Gaga in 'A Star Is Born' on Ellen 😘 https://t.co/2jSAdn3hFD,Fri May 05 13:42:21 +0000 2017
star,damiusdavis_13,RT @LindseyThiry: Two years ago I interviewed high school star Lonzo Ball postgame. Now I can't afford even one pair of his shoes. Life com…,Fri May 05 13:42:21 +0000 2017
star,PyarShasha,"RT @ShahidsPakFC: Congratulations to the extremely dashing &amp; multitalented star @shahidkapoor for crossing 10M followers. LOVE ❤😘
10 Mil Sh…",Fri May 05 13:42:21 +0000 2017
star,nicksiobhan,"RT @AllergyKidsDoc: Microscopic view of grass pollen looks awfully similar to the Death Star. 
I've got a bad feeling about this.
#MayThe4t…",Fri May 05 13:42:21 +0000 2017
star,fashionclad,Justin Trudeau and the Case of the ‘Star Wars’ Socks https://t.co/lEYiYKm1cj #Socks #TrudeauJustin #fashion #style https://t.co/MIsyhIjPDS,Fri May 05 13:42:20 +0000 2017
star,EmzzyLou20,RT @VirtueLondon: RT &amp; F to #win our stunning silver star ring this #FreebieFriday Good luck! x #Competition #sterlingsilver https://t.co/Q…,Fri May 05 13:42:20 +0000 2017
star,djaysofay,Star Wars Fan Adam Scott (Parks and Rec) Is Surprised by His Idol Mark Hamill [Jimmy Kimmel Live] via /r/videos https://t.co/M3OwGGHhDj,Fri May 05 13:42:20 +0000 2017
star,RussBrook4,RT @brfootball: What do Barcelona fans really think of Cristiano Ronaldo? @karlmatchett had the interesting task of finding out: https://t.…,Fri May 05 13:42:20 +0000 2017
