category,user,tweet,time
swimming,johnbsaucin_,I was 10 running around the neighborhood shirtless and in swimming trunks not doing my homework... this girl is alr… https://t.co/6pDdKMQQfJ,Sat Apr 29 01:56:44 +0000 2017
swimming,mba_deon,RT @Humor_DaiIy: Just keep swimming😂    https://t.co/qbX0bqfML6,Sat Apr 29 01:56:40 +0000 2017
swimming,1959_lala,RT @GoogleFacts: Four 30-ton whales swimming silently below a paddle boarder https://t.co/Bnr3RBb9x4,Sat Apr 29 01:56:38 +0000 2017
swimming,diannecuevas,Good Morning people 😎 . Let's go swimming 🌊 🏊 .,Sat Apr 29 01:56:37 +0000 2017
swimming,ciara__va,"psa thick thighs only save lives when it's cold or when swimming, not in this hot ass weather",Sat Apr 29 01:56:37 +0000 2017
swimming,GoldCoastMum,Gorgeous autumn day 👌👌💖 #goldcoast #swimming https://t.co/KsgHmaUQ5G,Sat Apr 29 01:56:28 +0000 2017
swimming,MckRysLyl,Packing hehe ready for swimming?,Sat Apr 29 01:56:22 +0000 2017
swimming,rschloerbCCT,RT @GoogleFacts: Four 30-ton whales swimming silently below a paddle boarder https://t.co/Bnr3RBb9x4,Sat Apr 29 01:56:15 +0000 2017
swimming,shopping4all101,Junior Children's Latex Swimming Cap - Pink - https://t.co/5HzNvk2iMW https://t.co/d5TgHOjA9R,Sat Apr 29 01:56:14 +0000 2017
swimming,OnlineMarket789,New post (Junior Children's Latex Swimming Cap - Pink) has been published on CatsPaw Swimming -… https://t.co/nNW6q2QSdt,Sat Apr 29 01:56:13 +0000 2017
swimming,klaireen_,Yay! Swimming again!,Sat Apr 29 01:56:09 +0000 2017
swimming,butler790_donna,"#nasty swimming brussels #mega #terrassa girlpower

--&gt; https://t.co/sASXXXqqDv https://t.co/q6dGXoLIwI",Sat Apr 29 01:56:08 +0000 2017
swimming,Nessaness15,All I wanted to do was go swimming.,Sat Apr 29 01:55:58 +0000 2017
swimming,maisrabarakbah,"RT @Himosexual: cis straight men might see a girl taking a shower &amp; call her a hoe for doing that naked, what is she supposed to wear swimm…",Sat Apr 29 01:55:43 +0000 2017
swimming,Djvshs1,"This life is like a swimming pool. You dive into the water, but you can't see how deep it is.",Sat Apr 29 01:55:37 +0000 2017
swimming,rkdame1977,CBC won’t name Lethbridge swimming pool sex assault suspect — because he’s a Muslim migrant https://t.co/XuNAsG5U7a,Sat Apr 29 01:55:30 +0000 2017
swimming,aari_ortegaa,RT @ASB_WHS: Amazing work today by @warren_aquatics Our girls were movin' in their Swim-A-Thon! Just keep swimming...just keep swimming ...…,Sat Apr 29 01:55:28 +0000 2017
swimming,garza_23_99,Gonna go swimming anyone wanna go?,Sat Apr 29 01:55:25 +0000 2017
swimming,Melodydc9,@RalphIanDelaCr2 Musta ang swimming ? 😂,Sat Apr 29 01:55:15 +0000 2017
swimming,shanipiggy,Want to go swimming rn,Sat Apr 29 01:55:01 +0000 2017
swimming,jjaacckkssoonn_,With adika  at KCC Swimming Pool — https://t.co/KyLgQNLcNN,Sat Apr 29 01:55:00 +0000 2017
swimming,OneWithNature84,"To the birth weekend of mi mama. We love you Mama Becenti😊

#birthdayweekend #swimming #camping… https://t.co/Gz5VwNUG0S",Sat Apr 29 01:54:56 +0000 2017
swimming,jamesramsey1,@HoltkampRyan You guys drying out alright. Seems like your either concrete and burnt up or swimming.,Sat Apr 29 01:54:48 +0000 2017
swimming,imjennyxx,planning on the last minute for our swimming😂 @mardiangki,Sat Apr 29 01:54:48 +0000 2017
swimming,lghspeters,"@LosGatosHigh swimming league finals! Two meet records broken, one school record. Hopefully more to come! #golgcats https://t.co/AvpVCRVXl3",Sat Apr 29 01:54:44 +0000 2017
swimming,mindfulthought2,Just keep swimming! https://t.co/3GqGw1fTcT,Sat Apr 29 01:54:43 +0000 2017
swimming,CaseyGuerin,RT @GoogleFacts: Four 30-ton whales swimming silently below a paddle boarder https://t.co/Bnr3RBb9x4,Sat Apr 29 01:54:42 +0000 2017
swimming,extraordinaryo,"susan sarandon today was swimming with her granddaughter marlowe, so adorable",Sat Apr 29 01:54:38 +0000 2017
swimming,Allison_Carella,RT @GoogleFacts: Four 30-ton whales swimming silently below a paddle boarder https://t.co/Bnr3RBb9x4,Sat Apr 29 01:54:32 +0000 2017
swimming,MamaCurtiss,RT @MamaBananasAdv: Looking for a swim diaper with all the matching accessories? Love this swim set from Bummis! Great review by... https:/…,Sat Apr 29 01:54:29 +0000 2017
swimming,ramyeonth,"Cat's bio is cute
She wrote 'underwater' bc used to play waterpolo,i bet she could kick anyone's ass on swimming &amp; it relates to Shownu too💞",Sat Apr 29 01:54:24 +0000 2017
swimming,GemMcK25,"RT @DisneyPixar: ""Just keep swimming, swimming, swimming."" #FreeAdviceIn5Words https://t.co/D4Pu5SJwsE",Sat Apr 29 01:54:22 +0000 2017
swimming,HonestGangsta,"FAFSA out here giving me $2 for school next year, meanwhile C/o 2017 rich ass swimming in my tuition for prom 🙄 #ImTelling",Sat Apr 29 01:54:18 +0000 2017
swimming,Paula_la71,@nhuynh_swimming Yep City were cocky &amp; didn't buckle down &amp; get the job done. They must recruit coach/players well or risk member decline.,Sat Apr 29 01:54:17 +0000 2017
swimming,DrLilrobot,@NWPlayer123 idk they're swimming in splatoon 1.5 and mario kart 8.1 money,Sat Apr 29 01:54:00 +0000 2017
swimming,MrxLongshot,RT @eliroth: I feel bad for everyone who went to #fyrefest and wound up in one of my movies. (Also - if someone is fed to swimming pigs plz…,Sat Apr 29 01:53:57 +0000 2017
swimming,heyyythereamani,RT @AmayaLacy: Does anyone wanna go night swimming /:,Sat Apr 29 01:53:53 +0000 2017
