category,user,tweet,time
tax,OR_Lindsey,".@TobiasRead: Oregon has strong credit rating, but over-reliance on personal income tax is a threat; #orleg reform could increase stability",Thu May 11 15:47:24 +0000 2017
tax,SteelBackbone,RT @don85375: @SteelBackbone @noellescaggs @pi330lot @TimHHeaton @carrieksada This is EXACTLY what our Goverment has been doing to the Amer…,Thu May 11 15:47:24 +0000 2017
tax,jwilkinson39,@chris_paul71 Ruling out income tax rises for 95% of population gives you no room for manoeuvre at all and massivel… https://t.co/UZBAmFVfuj,Thu May 11 15:47:23 +0000 2017
tax,fullnflnews,Why won't Rangers be home team in NHL Winter Classic at Citi Field? Follow the money https://t.co/9APUVP6upJ https://t.co/FGvAX7D3I5,Thu May 11 15:47:22 +0000 2017
tax,OpineSOCIAL,@OpineSOCIAL » Delaware House Committee Approves Bill to Regulate and Tax #Marijuana Like Alcohol https://t.co/i2nhcpnodE  🗣#Opines on #Soci,Thu May 11 15:47:22 +0000 2017
tax,ThePeoplesNet,RT @LabourEoin: Reversing Tory Corporation Tax Cuts would a) Raise £63 billion b) Still leave the U.K. With the lowest Corporation Tax rate…,Thu May 11 15:47:22 +0000 2017
tax,JuliaSm45799532,"@christinawilkie Instead of paying big money to a law firm, why not to publish TAX RETRNS??? This is Because Trump… https://t.co/WYBS0rexXx",Thu May 11 15:47:21 +0000 2017
tax,gapinmich,@POTUS So giving a huge tax break to yourself and your buddies and throwing 24mil people off Medicaid is the answer??,Thu May 11 15:47:21 +0000 2017
tax,KECooksey,"RT @WaysandMeansGOP: NOTICE: Hearing focused on tax reform policies that will generate economic growth, create jobs, &amp; increase paychecks
h…",Thu May 11 15:47:21 +0000 2017
tax,thecalbot,At least it was just gonna keep it all. Maybe next tax refund in 😘.,Thu May 11 15:47:21 +0000 2017
tax,WarrenHanover,RT @gabrielsnyder: I call this the Trump tax on productivity https://t.co/QGvhtDLdXW,Thu May 11 15:47:19 +0000 2017
tax,alderleymel,"RT @GodfreyElfwick: According to Diane Abbott, every pledge in the #LabourManifesto is affordable if corporation tax is raised by twelvety-…",Thu May 11 15:47:19 +0000 2017
