category,user,tweet,time
tax,RoniSeale,"RT @VPPressSec: From @washingtonpost - @VP Pence says @POTUS Trump remains focused on policy priorities, including tax cuts. https://t.co/N…",Fri May 19 14:13:16 +0000 2017
tax,Pat1066Patrick,"Shelter is for people, not tax https://t.co/NzQDKMa6el",Fri May 19 14:13:15 +0000 2017
tax,MikeDWinter,"RT @LabourEoin: Confession: I didn't really understand details of Tory Dementia Tax. Thankfully, these guys have explained. 52% of us face…",Fri May 19 14:13:15 +0000 2017
tax,TracyNovick,"@pmcape online rental tax
districts grouped to propose taxes
state looking at online sales #MASBOAI17",Fri May 19 14:13:14 +0000 2017
tax,vinodinijv1,It is very essential to make the sanitary napkins TAX free.,Fri May 19 14:13:14 +0000 2017
tax,YanchakSteven,"@AJ_Kuechle @Katie73012887 @realDonaldTumpr The fine, I mean the tax for not buying ( is it a fine or tax?) ACA is kaput as is Obamacare!",Fri May 19 14:13:13 +0000 2017
tax,FollowMyHandle,"It will be an extraordinary movie, Sachin's Biopic deserves being tax free #AllTheBestSachin @SachinTheFilm https://t.co/M3PIRp6wFS",Fri May 19 14:13:12 +0000 2017
tax,KGlendza,"RT @tobyperkinsmp: So the party who brought you the poll tax and the bedroom tax, now introduce Dementia Tax. They just despise frailty and…",Fri May 19 14:13:12 +0000 2017
tax,TheClumpany,"RT @jamesdoleman: Findlay ""The bank was paid, the stadium was fixed, the tax case was appealed and players were signed.""",Fri May 19 14:13:12 +0000 2017
tax,mbrom999,"RT @ShiCooks: As Trump Built His Real Estate Empire, Tax Breaks Played A Pivotal Role https://t.co/WzEtL1T3ES RT @LarsJohanL @The_News_DIVA…",Fri May 19 14:13:11 +0000 2017
tax,YahMelia,"RT @JohnEdwards33: Hard faced against school children and dementia sufferers.
Crawling to Corporations and tax dodgers. 
#bbcqt https://t.c…",Fri May 19 14:13:11 +0000 2017
tax,garyashley5,RT @BarryGardiner: This analysis shows just how Tory Dementia Tax could be used to allow city financial services to make profits by taking…,Fri May 19 14:13:09 +0000 2017
