category,user,tweet,time
tennis,SportsbookBTC,#Tennis 🎾🎾🎾 Tribute: Berdych Celebrates 600th Match Win In Rome https://t.co/GDqp2mgT5y → via https://t.co/detTPx4XPX,Tue May 16 18:04:17 +0000 2017
tennis,sandraf007,"RT @RichieMcCormack: French tennis president Bernard Giudicelli on Facebook saying he's for wildcards for those returning from injury, not…",Tue May 16 18:04:17 +0000 2017
tennis,Jankovisicki,@jelena_jankovic #Jelena #Jankovic #JJ #Roma #15may17 #ibi17 #WTA #tennis This #FILA dress is the most beautiful I'… https://t.co/4mFypKkfhS,Tue May 16 18:04:14 +0000 2017
tennis,TsewolePanseh,Maria Sharapova not given wildcard to play at French Open - CNN https://t.co/EkR1KwyQAf https://t.co/njxu61bLpJ,Tue May 16 18:04:14 +0000 2017
tennis,tennis_result,Roman Jebavy and Antonio Sancic beat @chaps_vol and John-Patrick Smith  6-4 5-7 10-6 in the 1st round at Heilbronn #ATPChallenger #tennis,Tue May 16 18:04:13 +0000 2017
tennis,parishatzi,No Wild Card for Maria Sharapova to Enter the French Open https://t.co/bN4Ypn8ym1,Tue May 16 18:04:12 +0000 2017
tennis,ForTechSake,"Shorter sets, shot clocks and sudden-death deuce part of tennis trial https://t.co/quwiERvC3n",Tue May 16 18:04:12 +0000 2017
tennis,thesusandarcy,RT @DrJohnAKing: Hank the Unicorn @ Amy's yard sale (raising money for tennis equipment ) https://t.co/YOsYQ2CsO6,Tue May 16 18:04:11 +0000 2017
tennis,FoxboroWarrior,"Girls' Tennis has a big match today against last year's D3 State Champs, Martha's Vineyard at 4 - Come support the girls!! #warriors",Tue May 16 18:04:11 +0000 2017
tennis,AvornuKorku,"RT @BBCSport: Maria Sharapova has not been handed a wild card into this year's French Open.

More: https://t.co/dXM44edtLE #bbctennis https…",Tue May 16 18:04:10 +0000 2017
tennis,shadman03,RT @ESPNTennis: French Open does not extend wild-card entry to Maria Sharapova https://t.co/06YhKZrSYd,Tue May 16 18:04:10 +0000 2017
tennis,comicvault,"‘Battle of The Sexes’ Trailer: Emma Stone, Steve Carell Square Off On The Tennis Court https://t.co/ojamwM8lM5 https://t.co/bkPdjrpube",Tue May 16 18:04:09 +0000 2017
tennis,monkeys_robots,"‘Battle of The Sexes’ Trailer: Emma Stone, Steve Carell Square Off On The Tennis Court https://t.co/JZQoSo8U18 https://t.co/l9yRSHLtll",Tue May 16 18:04:08 +0000 2017
tennis,MatthewSardo,"‘Battle of The Sexes’ Trailer: Emma Stone, Steve Carell Square Off On The Tennis Court https://t.co/nuNyOEA8Gl https://t.co/8BfR4Eg56r",Tue May 16 18:04:08 +0000 2017
tennis,GuthrieCorral,Hot babe gave her tennis trainer a head blow https://t.co/vA1Uq6FlzH,Tue May 16 18:04:06 +0000 2017
tennis,MyTrackingBoard,It's chauvinistic Steve Carell vs. feminist Emma Stone in the first trailer for #BattleoftheSexes… https://t.co/XsyG6y8s75,Tue May 16 18:04:05 +0000 2017
tennis,MakiSpoke,Lol! | French Open denies invitation to Sharapova https://t.co/u8Cidb5ZgC,Tue May 16 18:04:04 +0000 2017
tennis,TerryBatty1,This is happening right now! Get down and get your chops round some free drinks before our tennis ladies get them! https://t.co/ibDHaZSGTr,Tue May 16 18:04:03 +0000 2017
tennis,_mrsee,And here I was thinking I was going to be bored of tennis in Serena's absence 😂,Tue May 16 18:04:02 +0000 2017
tennis,IhabSolimanDDS,RT @SportsCenter: Two-time champion Maria Sharapova has not been given a wild-card entry for the French Open. https://t.co/LmbLTKCR70,Tue May 16 18:04:00 +0000 2017
tennis,ActionNH,"@JDHutchinson34 @NHYoungDems @frmngtnnhdems @MiltonDemocrats @NHDems A wise use of grant funding. 😒 No shelters, no… https://t.co/1H4obfdel3",Tue May 16 18:03:54 +0000 2017
tennis,jaredmckiernan,"No-ad is terrible, it is not tennis, this is simple",Tue May 16 18:03:52 +0000 2017
tennis,aarahulsingh,"RT @BBCSport: Johanna Konta is into the Italian Open third round, but Aljaz Bedene loses to Novak Djokovic.

More: https://t.co/LzYT7OmCgo…",Tue May 16 18:03:50 +0000 2017
tennis,BettorsChat,Moondogs #Tennis Picks 5/16/17 @ https://t.co/kmv5uG3QIa #romemasters #Djokovic #Bedene #Sharapova #LucicBaroni… https://t.co/QWovtlRKiM,Tue May 16 18:03:48 +0000 2017
tennis,TennisNewsItaly,"🎾 Tennis, niente Roland Garros per Sharapova: negata la wild card... #sport #tennis https://t.co/m2yjytlsMA",Tue May 16 18:03:46 +0000 2017
tennis,Djstucky1,"""Maria Sharapova not given wildcard to play at French Open - CNN"" {by } via #Google #Sports https://t.co/S3xduqIR1T",Tue May 16 18:03:44 +0000 2017
tennis,dylnhrwd,"RT @caelinmcdermott: Trying to work out if he's a pilot, born in ww1 or a famous tennis player #aqafrench https://t.co/trogAQ23Fk",Tue May 16 18:03:42 +0000 2017
tennis,04LJ1HAGBuDN6WD,tennis star naked https://t.co/4mCUYv2DgG,Tue May 16 18:03:42 +0000 2017
tennis,mediat_sports,Sharapova denied French Open wildcard: PARIS (Reuters) - Twice former champion Maria Sharapova was… https://t.co/4khNwL5LVc reuters sports,Tue May 16 18:03:40 +0000 2017
tennis,mediat_sports,ATP to trial new scoring system at Next Gen finals in Milan: LONDON (Reuters) - The ATP's flagship… https://t.co/GTLyoBr7vp reuters sports,Tue May 16 18:03:40 +0000 2017
tennis,Tennis,Novak Djokovic overcomes tough first set to beat Aljaz Bedene in Rome | https://t.co/lSFqd0Z0xy https://t.co/2xgxlvjysd,Tue May 16 18:03:38 +0000 2017
tennis,livetennis,"No Roland Garros wildcard for Maria #Sharapova!

The two-time champ will not be part of Roland Garros.
More &gt;&gt;&gt;… https://t.co/CuNLSHev9x",Tue May 16 18:03:37 +0000 2017
tennis,Mr_AlVil,"Shorter sets and a shot clock?

Tennis is trying to attract a younger audience.

Full story: … https://t.co/vJI9nwbk3B",Tue May 16 18:03:37 +0000 2017
tennis,OneChoix,Maria Sharapova will miss French Open after tournament officials decided not to give her a wildcard. @RPTeurope  https://t.co/xs12vsQefg,Tue May 16 18:03:36 +0000 2017
tennis,WahBloMatty,@SkySportsNewsHQ The other female tennis players denied her a wild card because they kept crying,Tue May 16 18:03:35 +0000 2017
tennis,LaCorteJill,Did you know that you can check out the the coolest court in your state and look for more tennis courts using the... https://t.co/ahkacazQtR,Tue May 16 18:03:32 +0000 2017
tennis,picc05,RT @BCSDAthletics: Good luck boys Tennis today v AA in semifinals. 4 pm @ BC,Tue May 16 18:03:31 +0000 2017
tennis,BigFundamentle,@jwillz404 @TennisChannel @rolandgarros Tennis is bigger than Sharapova! Its ratings were just fine when she was se… https://t.co/5M8uFzLbWe,Tue May 16 18:03:31 +0000 2017
tennis,Otman9915,"Shorter sets, shot clocks and sudden-death deuce part of tennis trial https://t.co/ZyErqLK4yC",Tue May 16 18:03:29 +0000 2017
tennis,VSP4mA2i5nH0Ot3,naked tennis game https://t.co/NlnApCqLFc,Tue May 16 18:03:28 +0000 2017
tennis,NewsTweetsWorld,Reuters Top News: Sharapova denied French Open wild card: organizers https://t.co/iV6xSJCJ9u… https://t.co/HZggJsmnvd,Tue May 16 18:03:28 +0000 2017
tennis,alexday31193,Do we Know why women's tennis not being shown @bgtennisnation,Tue May 16 18:03:25 +0000 2017
tennis,TableTennisBe41,It's official: Table tennis is all over the world! #TableTennis https://t.co/mkBtBNxv9k,Tue May 16 18:03:24 +0000 2017
tennis,e_sportnet,Maria Sharapova denied French Open wildcard by tournament officials https://t.co/tg8IYAwEyk,Tue May 16 18:03:22 +0000 2017
tennis,umichtennis,W: Heading to Georgia for the rest of the NCAA Tournament! https://t.co/1XJbXfrLwX #goblue #ncaatennis,Tue May 16 18:03:21 +0000 2017
tennis,SharpSharpsusan,RT @BBCWorld: Maria Sharapova: French Open decides against giving former champion a wildcard https://t.co/Pvg6keM94N,Tue May 16 18:03:19 +0000 2017
tennis,jtennis_en,"https://t.co/XORF4XY3XF

#tennis #FrenchOpen [New York Times]French Tennis Federation president Bernard Giudicelli announced on Tuesday th…",Tue May 16 18:03:19 +0000 2017
tennis,itseajee,RT @ReutersIndia: Maria Sharapova denied French Open wildcard https://t.co/f5HGKFaTfB,Tue May 16 18:03:19 +0000 2017
tennis,UK_Tennis_News,Tennis-Sharapova denied French Open wild card - organisers - Reuters https://t.co/Vbo4sY6AaX,Tue May 16 18:03:18 +0000 2017
tennis,XoSportsPodcast,#Trending #sports #podcast ATP to trial new scoring system at Next Gen finals in Milan https://t.co/KhjdRPHmrl,Tue May 16 18:03:18 +0000 2017
tennis,XoSportsPodcast,#Trending #sports #podcast Sharapova denied French Open wildcard https://t.co/rmoM6vgwML,Tue May 16 18:03:18 +0000 2017
tennis,nysh,HILARIOUS! awwww! Happy birthday Andy Murray: 30 reasons why I love you  https://t.co/l3ZYEQbZfm HB beloved champ! @andy_murray,Tue May 16 18:03:18 +0000 2017
tennis,UK_Tennis_News,UPDATE 2-Tennis-No French Open wildcard for snubbed Sharapova - Reuters https://t.co/0N8O0dWWsC,Tue May 16 18:03:18 +0000 2017
tennis,jtennis_en,"https://t.co/JGARG7agyX

#tennis #FrenchOpen [USA Today]The French Tennis Federation has announced that Maria Sharapova will not be allowe…",Tue May 16 18:03:18 +0000 2017
tennis,jtennis_en,"https://t.co/ce1fSz1vkL

#tennis #FrenchOpen [CNN](CNN)Maria Sharapova will not play at the French Open after organizers did not grant her…",Tue May 16 18:03:17 +0000 2017
tennis,bitzsports,Sharapova misses out on French Open wild card after doping - USA TODAY https://t.co/fH2IOZzEF5,Tue May 16 18:03:17 +0000 2017
tennis,jtennis_en,"https://t.co/SJpZ5AmPq5

#tennis #FrenchOpen [Sporting News]May 16, 2017 1:44pm EDT May 16, 2017 1:41pm EDT Tennis, Breaking News, WTA, Ne…",Tue May 16 18:03:16 +0000 2017
tennis,jtennis_en,"https://t.co/PQGpmhNG7X

#tennis #FrenchOpen [Los Angeles Times]Two-time champion Maria Sharapova has not been granted a wild-card entry f…",Tue May 16 18:03:15 +0000 2017
tennis,MrTinoGonzalez,RT @NYTSports: Don't look for Maria Sharapova at the French Open. The tournament declined to give her a wild card. https://t.co/4fSf5Qbmcz…,Tue May 16 18:03:15 +0000 2017
tennis,ImAsshLee,"Watch lesbian movie: https://t.co/rxXaseGiZk
Summer camp tennis girls https://t.co/hP12ei9Lcl",Tue May 16 18:03:12 +0000 2017
tennis,FlowLikeXavi,RT @InteBNLdItalia: .@DjokerNole just earned the right to play in the next round winning this last match! 💪 #ibi17 #ATP #tennis https://t.c…,Tue May 16 18:03:12 +0000 2017
tennis,insidethegames,Updated version of the breaking news about #Sharapova not getting a wildcard to @rolandgarros #tennis #RG17 https://t.co/jNKrAahVVg,Tue May 16 18:03:11 +0000 2017
tennis,FrankiesBooks,TENNIS NEWS 🎾  Maria Sharapova: French Open decides against giving former champion a wildcard https://t.co/U3VLFX0BYE,Tue May 16 18:03:10 +0000 2017
tennis,SportNewsViews,"Shorter sets, shot clocks and sudden-death deuce part of tennis trial https://t.co/uj6FqIoAf5 #sport",Tue May 16 18:03:09 +0000 2017
tennis,mvsandmore,"'Battle of the Sexes' Trailer: Emma Stone, Steve Carell Re-Create Epic Tennis Match https://t.co/KDFzX3z3hi",Tue May 16 18:03:09 +0000 2017
tennis,1997gabrielle,Nothing hurts my eyes more than seeing a girl wear athletic tennis shoes with a cute outfit 🚫,Tue May 16 18:03:09 +0000 2017
tennis,bigolivecams,Like our Page and Share this post HOTTEST FEMALE TENNIS PLAYERS IN THE WORLD 2017!… https://t.co/AryyyXon0Q visit… https://t.co/7s6As3ASdI,Tue May 16 18:03:07 +0000 2017
tennis,Blog4SR,Maria Sharapova will not take part at French Open after being denied wildcard by organisers https://t.co/y4IVTfymSA https://t.co/fVKsbvYWvE,Tue May 16 18:03:06 +0000 2017
tennis,z4mp1,screenrant: Battle of the Sexes Trailer: Emma Stone vs. Steve Carrell on the Tennis Court - … https://t.co/xtMsJO9YiA,Tue May 16 18:03:06 +0000 2017
tennis,latestscore,"Shorter sets, shot clocks and sudden-death deuce part of tennis trial https://t.co/rz1mQ1Tiec #Sports",Tue May 16 18:03:06 +0000 2017
tennis,Patenta_Peru,Shorter sets and shot clock to be trialled in ATP youth event trial in Milan https://t.co/YGbDG2TKJ0,Tue May 16 18:03:06 +0000 2017
tennis,_HONKYWOOD_,Emma Stone vs Steve Carell in Tennis in Trailer for 'Battle of the Sexes' https://t.co/CjGOircbaY | https://t.co/6LgvKNUK3F,Tue May 16 18:03:05 +0000 2017
tennis,vic_20z,"RT @BenRothenberg: Extraordinary moment for tennis. Maria Sharapova, currently oddsmakers' second favorite to WIN the French Open, not give…",Tue May 16 18:03:05 +0000 2017
