category,user,tweet,time
tennis,jessiicapark,"RT @BVarsityLive: HS notebook: Stockdale's Brandon Park top local in section tennis finals; four locals at state swim championships

 https…",Fri May 19 04:17:11 +0000 2017
tennis,Brendalcahill67,RT @TravelLeisure: The world’s first residential luxury yacht has a full-size tennis court https://t.co/Dow0GZccTY https://t.co/Ma9j8nwc6Y,Fri May 19 04:17:10 +0000 2017
tennis,kenna_p_18,RT @shelby_kayy17: Btw you can't be at the tennis courts past 10 o'clock @mjspilde @BoomPeyton @halverson_a @kenna_p_18 #word,Fri May 19 04:17:08 +0000 2017
tennis,RacketRehab,Whoever runs the @usopen account is an animal lol I can hardly keep up #Tennis,Fri May 19 04:17:05 +0000 2017
tennis,Alanaleonhard,"happy bday elena thx for an awesome 1st yr of tennis!! can't wait for the next one w u, hope u had a great day love&amp;miss u @elenasimonian24",Fri May 19 04:16:39 +0000 2017
tennis,CTipper_,@James_fryee I go for tennis 🎾,Fri May 19 04:16:21 +0000 2017
tennis,Sabtran17,RT @Ivxivy: tennis banquet w friends😝🎾 https://t.co/dOqMno5HO2,Fri May 19 04:16:20 +0000 2017
tennis,Chandra53246409,RT @SexuallVideos: giving her tennis coach a bj 🎾 https://t.co/KBIItNpZ0w,Fri May 19 04:16:20 +0000 2017
tennis,ChettriSierra,"RT @jacob_parra_: I really wish I joined Tennis a long time ago, met some amazing people 😭😭🎾 https://t.co/dEyDBHBQj0",Fri May 19 04:16:15 +0000 2017
tennis,Sabtran17,RT @joshkmc: Given the MVP Award at my last high school tennis banquet 🥇🎾 I'm going to miss my team and all the great memories we've made t…,Fri May 19 04:16:03 +0000 2017
tennis,WakeMTennis,"RT @DemonDeacons: For the first time in program history, the @WakeMTennis team punched its ticket to the NCAA quarterfinals.

RECAP: https:…",Fri May 19 04:15:52 +0000 2017
tennis,Katie_tupper,There was a literal tarantula in mine &amp;Joyce's bed room this morning....I know I exaggerate a lot but it was the SIZE OF A TENNIS BALL srsly,Fri May 19 04:15:45 +0000 2017
tennis,RyanKronberg,RT @chsindathletics: Congrats to girls double teams of Redmond/Sickels and Stubbe/Linskens for qualifying for state tennis!! #expectexcelle…,Fri May 19 04:15:44 +0000 2017
tennis,OnMySpaceship,Women'sNike Flare QS 852214 101 White Size 10.5 tennis shoes  https://t.co/mbWRglb05n,Fri May 19 04:15:44 +0000 2017
tennis,Sabtran17,"RT @jacob_parra_: I really wish I joined Tennis a long time ago, met some amazing people 😭😭🎾 https://t.co/dEyDBHBQj0",Fri May 19 04:15:43 +0000 2017
tennis,NCFilmFestival,"Great to see the buzz is starting for ""Battle of the Sexes"" the upcoming film about the legendary tennis match... https://t.co/Cs2yQTeOOX",Fri May 19 04:15:38 +0000 2017
tennis,jlosz1,RT @TennisBishop: Let's go knights! 4A State Tennis  Championships starts tomorrow! Rest up and Good Luck! 🎾 https://t.co/UGEqYApAJ7,Fri May 19 04:15:34 +0000 2017
tennis,gabrielacoshi,"RT @GlowintheBark: Our Oversized Tennis Balls will keep your dog entertained for hours! 🎾😂

https://t.co/PRKAG0T1ub https://t.co/B9v74LO8Uf",Fri May 19 04:15:28 +0000 2017
tennis,Root4HomeTeam,Women'sNike Flare QS 852214 101 White Size 10.5 tennis shoes  https://t.co/73XW6Bn9Sd,Fri May 19 04:15:21 +0000 2017
tennis,Keeenziiee,Today was hiking tomorrow is tennis and I can't be more excited to be back on the court. 💕🎾,Fri May 19 04:15:13 +0000 2017
tennis,haley_knorr21,RT @HHS_TigerAD: Boys tennis beats Mankato West 4-3 to advance in the section 2AA team tournament.  #TigerPride,Fri May 19 04:15:09 +0000 2017
tennis,sauce91_,RT @QDOTjones: What kinda nigga wear reebok tennis shoes takin off his shirt just to show his tattoos,Fri May 19 04:15:07 +0000 2017
tennis,REALJESSlCAALBA,tennis shoes dont even need to buy a new dress.... if u aint there no one else to impresss....,Fri May 19 04:14:51 +0000 2017
tennis,Zodilux,Women'sNike Flare QS 852214 101 White Size 10.5 tennis shoes  https://t.co/ys7t9SStUx,Fri May 19 04:14:48 +0000 2017
tennis,gracesantos656,RT @rgvsports: Sharyland Pioneer's Joaquin Delgado won twice on Thursday to return to the 5A boys state tennis championship match https://t…,Fri May 19 04:14:41 +0000 2017
tennis,aileene_madrid,that's a wrap for lett tennis 🎾 https://t.co/eCpZUuAN2D,Fri May 19 04:14:29 +0000 2017
tennis,recruitchamps,"RT douglasmilesCRG: Sherman, King of Wash, Linn-Mar's Anderson earn rousing regional girls' tennis titles | The Ga… https://t.co/4uy0IYq07w",Fri May 19 04:14:26 +0000 2017
tennis,Tnguyen912,"RT @jacob_parra_: I really wish I joined Tennis a long time ago, met some amazing people 😭😭🎾 https://t.co/dEyDBHBQj0",Fri May 19 04:14:23 +0000 2017
tennis,1yungdroochie,#White Stan Smith like I'm playing tennis https://t.co/d8q1LRdV86,Fri May 19 04:14:23 +0000 2017
tennis,yeezy_snaps,"Pharrell's Adidas Tennis Hu
2 More Colorways SooN!
https://t.co/AJ5u54WV5k https://t.co/IQ44A3G3BH",Fri May 19 04:14:21 +0000 2017
tennis,delvinhdn,"RT @jacob_parra_: I really wish I joined Tennis a long time ago, met some amazing people 😭😭🎾 https://t.co/dEyDBHBQj0",Fri May 19 04:14:15 +0000 2017
tennis,isabellacanones,RT @ethan_borja: HEY GUYS SUPPORT RANCHO TENNIS @ CHIPOTLE TMR!!!(show them this) pls ily https://t.co/LPAIFqpRQw,Fri May 19 04:14:14 +0000 2017
tennis,Pure_Tennis,France Chooses Clay For Davis Cup Semifinal: France will host Serbia on red https://t.co/z874YnPnCY #tennis,Fri May 19 04:14:05 +0000 2017
tennis,joshkmc,"RT @jacob_parra_: I really wish I joined Tennis a long time ago, met some amazing people 😭😭🎾 https://t.co/dEyDBHBQj0",Fri May 19 04:14:05 +0000 2017
tennis,natalie_tonya33,RT @Rick_Sports10: Sectional titles not good enough for THS girls tennis. Senior Pam Dorman says Lady Braves focused on return trip to stat…,Fri May 19 04:13:59 +0000 2017
tennis,jacob_parra_,RT @joshkmc: Given the MVP Award at my last high school tennis banquet 🥇🎾 I'm going to miss my team and all the great memories we've made t…,Fri May 19 04:13:58 +0000 2017
