category,user,tweet,time
trump,Unfollowme_1187,"RT @bfraser747: #HillaryClinton to start #Trump resistance pac...  ~ @KellyannePolls 

Are you kidding me?  She has no business taking any…",Sun May 07 06:48:21 +0000 2017
trump,pink_sprnva,RT @Rockprincess818: We have proof that Hillary's camp colluded with the MSM &amp; DNC to influence an election. Zero proof Trump colluded w an…,Sun May 07 06:48:20 +0000 2017
trump,Pabooblette,"RT @SmellTheTea: ""This week, Trump started building his wall... a wall between millions of Americans and their health care.” https://t.co/0…",Sun May 07 06:48:20 +0000 2017
trump,trump_szn,@TravusHertl @PersianFarrah Not what I heard 👀 @_comtois,Sun May 07 06:48:20 +0000 2017
trump,thebeadingnana,"RT @RBReich: Trump bars desperate refugees from entering the U.S., while his family pitches rich Chinese on getting in by investing in the…",Sun May 07 06:48:20 +0000 2017
trump,MarkPare5,RT @ALT_uscis: the only reason @realDonaldTrump has filed for 2020 candidacy is because it will funnel a cool 6 figures in income each mont…,Sun May 07 06:48:20 +0000 2017
trump,aquart,RT @funder: .@FUNDER: Flynn should be in jail... a paper trail will lead back to Pence and Trump #AMJoy #trumprussia #russiagate https://t.…,Sun May 07 06:48:19 +0000 2017
trump,WinyanStaz,"RT @bocavista2016: #TrumpRacehorseNames

👉 Hacking Hillary

 https://t.co/Lbaq8fs4EB
@realDonaldTrump #TrumpTrain #Trump #MAGA
#KentuckyDer…",Sun May 07 06:48:19 +0000 2017
trump,peddles65,RT @DailyCaller: Cornell University Offers Trump Bashing 101 To Students https://t.co/d85hnImYxC #Trump #Cornell https://t.co/dADVv55FQ7,Sun May 07 06:48:19 +0000 2017
trump,cyndispeaks,What's baffling is how long it's taking to prove trump's mob ties. Q https://t.co/MFtQ77LrF7,Sun May 07 06:48:19 +0000 2017
trump,cyberbeatfm,RT @TEN_GOP: .@SheriffClarke: If Trump made me his FBI Director I would be arresting Hillary Clinton today. https://t.co/XoYxz7xNCI,Sun May 07 06:48:19 +0000 2017
trump,groktrek,RT @EdwardTHardy: Another potential conflict of interest by someone connected to Trump's administration. Do they offer a defence? No. They…,Sun May 07 06:48:19 +0000 2017
trump,sdvicto,RT @CREWcrew: We released the Trump conflict of interest timeline [https://t.co/keyGAXA9ri ] 8 days ago. We have updated it every single da…,Sun May 07 06:48:19 +0000 2017
trump,scott4pendleton,"RT @AwkwardHolland: What if I told you...
I photoshopped the same face onto every man behind Trump. Would you have noticed if I hadn't said…",Sun May 07 06:48:19 +0000 2017
trump,Grinch1877,RT @thehill: New York Democrats push state law to make Trump's tax returns public https://t.co/NRA8gnoM92 https://t.co/Hbp30a9vxL,Sun May 07 06:48:18 +0000 2017
trump,helynosis,"RT @Impeach_D_Trump: Trump, a sexual assault offender can become President but a sexual assault victim can't get healthcare thanks to Trump…",Sun May 07 06:48:18 +0000 2017
trump,WarAgainstWomen,"@BLUpfront Wa. State - of People voting 2016, over 10% did not opt to vote for Clinton nor Trump. Merely did not vo… https://t.co/VZ6g3W5dMR",Sun May 07 06:48:18 +0000 2017
trump,squidallday,RT @powerpuffgrl: the 53% of white women who voted for trump acting shocked that he's taking away their maternal health care now https://t.…,Sun May 07 06:48:18 +0000 2017
trump,rumagejamie,"RT @xeni: George Lakoff says, 'Don't underestimate Trump'  https://t.co/Cjx60YYL5o",Sun May 07 06:48:18 +0000 2017
trump,fatarae,RT @GeorgeTakei: It feels like the world now treats us like Trump is a pre-existing condition.,Sun May 07 06:48:17 +0000 2017
trump,anchanjp,Boycott Israel. https://t.co/fUrLUEKxI0 https://t.co/H36N2TEJCr #NASA #Chicago #Syria #Trump #BBC https://t.co/CjAtcljZec,Sun May 07 06:48:17 +0000 2017
trump,BladesMonica,RT @Newsweek: 236-pound Donald Trump won't stop talking about other people's weight https://t.co/mDnJ7xUto6 https://t.co/6QJuQtik5T,Sun May 07 06:48:16 +0000 2017
trump,Marcie_too,"RT @WJeffreyBrown: Now @GolfDigest is calling out @realDonaldTrump for lying.  

https://t.co/amM3zBerGP",Sun May 07 06:48:16 +0000 2017
trump,Fanoffreedoms,RT @deborahjuanita4: Trump has three reason Why we need that Travel Ban! Americans have got that same reason to! #TrumpsArmy https://t.co/O…,Sun May 07 06:48:16 +0000 2017
trump,JudyWoods8,RT @ForQ2: If #trumpcare goes through anyone who isn't covered should send all their health care bills to donald trump for payment! #AHCA @…,Sun May 07 06:48:16 +0000 2017
trump,GlassKeys,"@RepStevenSmith @realDonaldTrump If Hitler had a daughter, I highly doubt he would've allowed her to marry a Jew. T… https://t.co/lkk494iyjD",Sun May 07 06:48:16 +0000 2017
trump,gmarieritter,"RT @christogrozev: Jack Posobiec, tracked down as ""patient zero"" on Macron ""leaks"", with his Russian wife at Trump's ""deplorables"" ball. ht…",Sun May 07 06:48:15 +0000 2017
trump,Chillivata,"Ivanka Trump - 0 Jane Goodall - 1
When your words don't match your actions, you're what we call a fraud, Ivanka Tru… https://t.co/awHX93vEZh",Sun May 07 06:48:15 +0000 2017
trump,sandraluke5,"RT @Impeach_D_Trump: We Are Less Than 48 Hours From Sally Yates' Public Testimony, which will Show that the Trump Administration Lied to th…",Sun May 07 06:48:15 +0000 2017
trump,Info54015797Tux,"RT @christogrozev: Jack Posobiec, tracked down as ""patient zero"" on Macron ""leaks"", with his Russian wife at Trump's ""deplorables"" ball. ht…",Sun May 07 06:48:15 +0000 2017
trump,LisaII,"RT @Doranimated: Trump's critics said he was a “Russian Puppet."" Now he's just crazy. | https://t.co/DzkJRrQeQM",Sun May 07 06:48:14 +0000 2017
trump,uarethequeen,"RT @SarahLSmith677: Not news to most, but faux-Christian, white supremacist Mercer literally put Trump in WH, via Renaissance Technologies.…",Sun May 07 06:48:14 +0000 2017
