category,user,tweet,time
trump,ItsRigged2016,"RT @TrueFactsStated: While folks around Trump have slowly been teaching him how to play checkers, Comey is 27 moves ahead in 3 dimensional…",Fri May 19 12:51:22 +0000 2017
trump,Snapandbud,"RT @HillaryWarnedUs: Trump whines about a 5 day trip being too long.

Secretary of State Hillary traveled 956,733 miles - 38.42 times aroun…",Fri May 19 12:51:22 +0000 2017
trump,RichardVerMeul1,"RT @VivaLaAmes: Your daily reminder that this ""GOP"" Palestinian congressman from #Michigan's 3rd District wants to IMPEACH President Trump.…",Fri May 19 12:51:22 +0000 2017
trump,riseup4nations,RT @NicholsUprising: It really should not surprise the commentariat to learn that Mike Pence is complicit in at least as much wrongdoing as…,Fri May 19 12:51:22 +0000 2017
trump,katriord,RT @BraddJaffy: A remarkable look at how foreign officials are preparing for the President of the United States https://t.co/502o86o7m5 htt…,Fri May 19 12:51:22 +0000 2017
trump,HeyNikki1,"RT @KaivanShroff: TRUMP WANTS A WALL TO KEEP MEXICANS OUT, BUT HE ALLOWS THE TURKISH PRESIDENT'S GUARDS TO COME HERE &amp; BEAT UP AMERICAN PRO…",Fri May 19 12:51:22 +0000 2017
trump,MarcellusVoter,"RT @HowardMortman: Lieberman '99 Funniest Celeb Contest Trump jokes: ""The Donald is quite a ladies man."" Predicts ""all-female cabinet."" htt…",Fri May 19 12:51:21 +0000 2017
trump,athenaksarasara,RT @dbfulton: All the people surprised to learn that Trump is a con artist are the reason there are con artists. https://t.co/AbADv0Qk6Y,Fri May 19 12:51:21 +0000 2017
trump,amirtibon,RT @haaretzcom: Behind the scenes of the Trump administration's tug-of-war over the Israel embassy move https://t.co/zlYqREmqac,Fri May 19 12:51:21 +0000 2017
trump,ann_j_clino,RT @nvoiceapp: @mmfa You should have a look at what Trump sees at Twitter - @foxandfriends are most of the tweets: https://t.co/4V1M8wMgWH,Fri May 19 12:51:21 +0000 2017
trump,NeijzingA,"RT @danmericaCNN: Wooed by Trump's promises, opioid advocates now worry they were all empty - My story: https://t.co/g6DWPfeEy3",Fri May 19 12:51:21 +0000 2017
trump,GGlemaud,RT @CTwoman1432: @EliStokols @amjoyshow Trump won't decry the abuse against Americans. He has a luxury condo complex in Istanbul - Erdogan…,Fri May 19 12:51:21 +0000 2017
trump,ClimateCentral,"Trump doesn’t believe in climate change, but it’s going to drown Mar-a-Lago https://t.co/a5CCKOJcHS via @voxdotcom https://t.co/znmlYnbux2",Fri May 19 12:51:21 +0000 2017
trump,BakerRocky9279,RT @Salon: Donald Trump longs to lock up journalists — and sooner or later he’s going to try it https://t.co/bPr897KmJ5,Fri May 19 12:51:21 +0000 2017
trump,pkmnlocator,Hitmonchan was found trying to make friends on top of Donald Trump's hair.,Fri May 19 12:51:21 +0000 2017
trump,unrealgord,"RT @TrancewithMe: As a former/recovering picky eater, let me tell you....

Trump is suffering terribly with this trip. https://t.co/OWProqA…",Fri May 19 12:51:21 +0000 2017
trump,bourdainstalker,"RT @CNN: Phil Mudd on Trump: ""He doesn't represent 320 million Americans. He represents one and that's Donald Trump"" https://t.co/dHImKbA32…",Fri May 19 12:51:21 +0000 2017
trump,gsarnoldjr,WATCH: Jesse Watters Just Cleared Trump’s Name With 1 Sentence. Liberals Are FURIOUS. - Tea Party News https://t.co/1cgJAdoW8a,Fri May 19 12:51:21 +0000 2017
trump,bozobaxter,"Comey, Unsettled by Trump, Is Said to Have Wanted Him Kept at a Distance https://t.co/91zu5oEZef",Fri May 19 12:51:21 +0000 2017
trump,007darB,@lazertag69 @PrisonPlanet I am Just Saying I'd RATHER put a MASSIVE Health Care System in the hands of Pres. Trump… https://t.co/OLfjclvjZf,Fri May 19 12:51:21 +0000 2017
trump,michellet0624,RT @FoxNews: ICE arrests under Trump jump 40 percent as border crossings drop  https://t.co/F4ANzVwTe1 https://t.co/px7EpwYwn0,Fri May 19 12:51:21 +0000 2017
trump,MartyMo50519619,"RT @KaivanShroff: TRUMP WANTS A WALL TO KEEP MEXICANS OUT, BUT HE ALLOWS THE TURKISH PRESIDENT'S GUARDS TO COME HERE &amp; BEAT UP AMERICAN PRO…",Fri May 19 12:51:21 +0000 2017
trump,kttk234567,"Embassies court Ivanka... https://t.co/iOMKzNvYNW

— DRUDGE REPORT (DRUDGE_REPORT) May 19, 2017

#tcot #p2",Fri May 19 12:51:21 +0000 2017
trump,MissTaraG,RT @PrisonPlanet: Top Republican: Coup Attempt Against Trump Being Led by GOP Insiders - https://t.co/GjF06MNBX0 https://t.co/DtoUr0smhZ,Fri May 19 12:51:21 +0000 2017
trump,mitrasites2016,hypervocal: Worldwide effort set to keep Trump happy on 1st trip abroad https://t.co/L0evunBfJP https://t.co/5AhDRkMKsn,Fri May 19 12:51:21 +0000 2017
trump,dreamedofdust,#MAGA! https://t.co/FY8ZRWeweI Feinstein Admits AGAIN: NO EVIDENCE of Trump/Russia Collusion,Fri May 19 12:51:21 +0000 2017
trump,JulieKranendonk,"RT @michikokakutani: Trump vs Mueller, Comey
Trump doesn't understand dedication to higher principles. puts down ""respectable"" men of ""unco…",Fri May 19 12:51:21 +0000 2017
trump,MaralynBurstein,"RT @Robert4787: US Intelligence Agencies Lost faith in President Trump. Feel he's a security risk, can't share state secrets https://t.co/j…",Fri May 19 12:51:21 +0000 2017
trump,DebugAngel,RT @GregoryWillis20: Republicans think Trump ceasing to tweet will miraculously make him not an idiot. The moron still speaks.,Fri May 19 12:51:21 +0000 2017
trump,anapolish1,"Hey @realDonaldTrump, your career is a reality shitshow. Please retire and golf every day. 🙏🏽 Attn! We now #boycott #trump brands worldwide!",Fri May 19 12:51:21 +0000 2017
trump,mimimayes13,"RT @brithume: But ""no evidence of wrongdoing or collusion.."" https://t.co/UiGNxtycLF",Fri May 19 12:51:21 +0000 2017
trump,JeremyDeeSelden,RT @jbarro: We tell jokes to cover our pain about the truth. Which is why Kevin McCarthy joked about Putin paying Trump. https://t.co/XwwYQ…,Fri May 19 12:51:21 +0000 2017
trump,SelDSinatree,RT @EliStokols: Trump not making any statement about this (WH referred yesterday to Tillerson's comment instead) is a statement of its own.…,Fri May 19 12:51:21 +0000 2017
trump,bronxhoops2033,"RT @mitchellvii: So the FBI cleared Flynn of wrongdoing a month before the Trump dinner and Comey testified 5/3 he was never pressured.

Fa…",Fri May 19 12:51:21 +0000 2017
trump,DabyBaby,"RT @ericbolling: Look, I found sworn testimony- James Comey-no one asked him to halt investigation. Ever. Where are news orgs? https://t.co…",Fri May 19 12:51:21 +0000 2017
trump,chloedancer,RT @darionavarro111: Is Nunes secretly conspiring with Trump to obstruct Russiagate investigations by leaking committee info to White House…,Fri May 19 12:51:21 +0000 2017
trump,ScarletJedi,@POTUSThesaurus @benjaminwittes @Alt_NEArts Obama is a patriot and Trump is not. Let's see what happens. But the Trump shitshow will end.,Fri May 19 12:51:20 +0000 2017
trump,davojrock,"RT @davojrock: Who elected Trump? The People of America
Christians Freely chose him &amp; turned out Destroying Polls against the World Media &amp;…",Fri May 19 12:51:20 +0000 2017
trump,Llys_A,"RT @theknifemedia: White House, Trump respond to appointment of special counsel in Russia investigation  https://t.co/wMOOFkIzdQ",Fri May 19 12:51:20 +0000 2017
trump,kompleksibot,Why not try a complete mess once Trump bcomes president.,Fri May 19 12:51:20 +0000 2017
trump,kaslina,RT @ALT_uscis: Someone took trump off list of clients off joe Lieberman firm.. https://t.co/LKFrWJH4A4,Fri May 19 12:51:20 +0000 2017
trump,jhalbrecht,RT @ALT_uscis: Someone took trump off list of clients off joe Lieberman firm.. https://t.co/LKFrWJH4A4,Fri May 19 12:51:20 +0000 2017
trump,sdmairs,"RT @anniekarni: Foreign leaders getting hang of Trump. ""Do not assume he knows history of country or its major points of contention"" https:…",Fri May 19 12:51:20 +0000 2017
trump,_broguy,RT @TEN_GOP: Remember when Trump met privately with Loretta Lynch on the tarmac to discuss an ongoing FBI investigation? Oh wait.. that was…,Fri May 19 12:51:20 +0000 2017
trump,buttinger79,"RT @danagould: I read this:
Trump is a dumb person's idea of a smart person, a poor person's idea of a rich person, and a coward's idea of…",Fri May 19 12:51:20 +0000 2017
trump,Angeliiiiique,"""Trump University: go pricks!"" OH MY GOD!!! 😂😂😂😂😂 #kimmyschmidt",Fri May 19 12:51:20 +0000 2017
trump,NoSlackDelta,RT @DRUDGE_REPORT: Harvard Study Reveals Huge Anti-Trump Media Bias... https://t.co/X9vuxuGGar,Fri May 19 12:51:20 +0000 2017
trump,nanelvisfan,"RT @TheRickyDavila: Pres. Obama: Chewed gum, feet on desk in WH

GOP: SCANDAL!

trump: Praises dictators, Nepotism, Money Laundering, Treas…",Fri May 19 12:51:20 +0000 2017
trump,mbcrowley,He was a lawyer for Trump... forget it... I like him but we need someone without connection or from FBI https://t.co/Mf86QOD4GX,Fri May 19 12:51:20 +0000 2017
trump,TrilliumFlowers,RT @ddale8: Countries around the world are cultivating relationships with Ivanka Trump: https://t.co/YESAdO3ivb,Fri May 19 12:51:20 +0000 2017
trump,kathleenroeberg,RT @LouiseMensch: As I reported in April. Literally in April https://t.co/Pioul4cUal https://t.co/UE6cjvFeGZ,Fri May 19 12:51:20 +0000 2017
trump,Vmbritsch,"RT @Impeach_D_Trump: The real news Here is that House leadership KNEW it was the Russians who hacked the DNC, and thought that funny. 

htt…",Fri May 19 12:51:20 +0000 2017
trump,fiftyfiveandup,RT @TheDemCoalition: Health insurers plan big #Obamacare rate hikes — and they blame Trump for sabotaging the system https://t.co/lFOo3fiak…,Fri May 19 12:51:20 +0000 2017
trump,WayneAdams1955,"RT @RVAwonk: So Trump not only tried to obstruct the Flynn investigation; he also tried to obstruct the investigation OF HIMSELF.
https://t…",Fri May 19 12:51:20 +0000 2017
trump,markb,"RT @HowardMortman: Lieberman '99 Funniest Celeb Contest Trump jokes: ""The Donald is quite a ladies man."" Predicts ""all-female cabinet."" htt…",Fri May 19 12:51:20 +0000 2017
trump,cashira2554,"RT @danmericaCNN: Just re-listened and it isn't clear whether Trump says ""always"" or only."" Either way, he is making clear he is speaking f…",Fri May 19 12:51:20 +0000 2017
trump,Carol_Mertz,"RT @Liz_Wheeler: Remember that time  Donald Trump was paid $500,000 to give a speech in Moscow?! Oh no wait... that was BILL CLINTON.",Fri May 19 12:51:20 +0000 2017
trump,LauraHouston4,RT @foxandfriends: Pres. Trump reveals former Sen. Joe Lieberman is one of his top picks to head the FBI https://t.co/12cr5YmQaJ,Fri May 19 12:51:20 +0000 2017
trump,Racoon2013,Destroying Donald Trump all that matters to some - https://t.co/lpQPUkvw9G - @washtimes,Fri May 19 12:51:20 +0000 2017
trump,Cbrown131,"RT @CNN: Phil Mudd on the President: ""He doesn't represent 320 million Americans. He represents one. And that's Donald Trump"" https://t.co/…",Fri May 19 12:51:20 +0000 2017
trump,Mahhhlon,RT @TIME: President Trump is headed to Saudi Arabia. He once said it wants ‘women as slaves and to kill gays’ https://t.co/xxxOKXDanz,Fri May 19 12:51:20 +0000 2017
trump,22norsedad,RT @BringtheFlag: McCarthy on calls for Trump impeachment: Obama did worse protecting Hillary https://t.co/qDmK769RNy,Fri May 19 12:51:20 +0000 2017
trump,DemocratSlayer,If Dems Think They Can Impeach President Trump for Nothing after He Won 30 States in 2016 They Are Sadly Mistaken https://t.co/Q7eqz1Fmof,Fri May 19 12:51:20 +0000 2017
