category,user,tweet,time
war,RobbyD24,Jeff Sessions' Reason for Rebooting the War on Drugs Underscores its Discrimination - https://t.co/tztIc5lYlP https://t.co/EMQH3deTQG,Sun May 14 22:00:07 +0000 2017
war,spoopylemon,civil war https://t.co/pkVRJwTMyI,Sun May 14 22:00:07 +0000 2017
war,isabellamisceo,"RT @BAFTA: If a picture's worth 1000 words, you could write a War &amp; Peace on Benedict Cumberbatch 📷📷📷📷📷📷 #BAFTATV https://t.co/MnR6RUNFNV",Sun May 14 22:00:06 +0000 2017
war,AudioBooksBS,"RT @terryirving: You've never seen a #book on #war cameramen like this, with #photos taken directly from the original film. https://t.co/6d…",Sun May 14 22:00:06 +0000 2017
war,Kara_Roggenkamp,"RT @rezaaslan: Except of course Syrian moms fleeing war, famine, and genocide with their starving children. Fuck those moms. https://t.co/O…",Sun May 14 22:00:05 +0000 2017
war,smilon713,RT @nadabakos: Newly declassified CIA files offer glimpse of playbook the Trump admin will use if it stumbles into a nuclear war. https://t…,Sun May 14 22:00:04 +0000 2017
war,JayStank,"RT @RonPaul: President Trump: Toss Your Generals’ War Escalation Plans In the Trash - my latest column:
https://t.co/jv8cRgcqNr",Sun May 14 22:00:04 +0000 2017
war,FamilySearchInd,Is your family in the United States Index to Naturalizations of World War I Soldiers collection? @WW1CC #USWW100 https://t.co/zWJGJh1ldX,Sun May 14 22:00:04 +0000 2017
war,AcesFlyingHigh,Austro-Hungarian Lohner L reconnaissance flying boat during World War One. The pilot and observer sat in an open... https://t.co/sWWzIabywx,Sun May 14 22:00:03 +0000 2017
war,steve13smith,Spurs with the barbell approach; 20 yr old point guard... civil war vet (Manu) at hooting forward.,Sun May 14 22:00:03 +0000 2017
war,EuIsraelEnglish,"TEMPLE MOUNT – The True Story! 
#Israel is at WAR with the #UN &amp;amp; #UNESCO 
https://t.co/rl48vfM6Pl 15May@01:00am",Sun May 14 22:00:03 +0000 2017
war,ThatRacingSite,Two Insane Bikes Wage War On A 900HP Nissan! https://t.co/UIsGBhls2w,Sun May 14 22:00:02 +0000 2017
war,concertvault,"Hear Glen Campbell play his hits ""Gentle On My Mind,"" ""Rhinestone Cowboy"" and ""Galveston"" in this 1985 set.… https://t.co/FxyYghFD3X",Sun May 14 22:00:02 +0000 2017
war,goldddsoul,RT @Strattontrial: @ftwgiovanni An iraqi war vet with bad ptsd. Rookie. The guy flipped out and laid 3 bullets into jayson and Julian when…,Sun May 14 22:00:02 +0000 2017
war,OlaTishe,"Watching Half a Yellow Sun, my mum can't watch it because it brings back horrible memories of the Biafra war...",Sun May 14 22:00:02 +0000 2017
