category,user,tweet,time
war,Fats_215,RT @cthagod: Don't ever go to war with someone unless you give a fuck less than them.,Thu May 18 21:23:51 +0000 2017
war,CfoundDOTorg,@Thorsenburg No they need to strike all of it? There needs to be a war,Thu May 18 21:23:50 +0000 2017
war,TLuke06,@GeorgeHWBush @davidaxelrod what a guy he turned the news into his mouthpiece in order to brainwash and divide our… https://t.co/WGaXHsftjn,Thu May 18 21:23:49 +0000 2017
war,MrESPN_Cooln,RT @cthagod: Don't ever go to war with someone unless you give a fuck less than them.,Thu May 18 21:23:49 +0000 2017
war,sibomb22,@AmiahMiller I cant wait for July #War @war4apes @ApesMovies I have my very own Caesar 🐵 https://t.co/U8eB1j1xpp,Thu May 18 21:23:49 +0000 2017
war,fredricgstewart,"Breaking News: The Secret Transcripts of the Six-Day War, Part I – Tablet Magazine https://t.co/Rtl446yUw2",Thu May 18 21:23:48 +0000 2017
war,OrAroundTen,"If the US gave up on the cold war, the world would be a much better place. https://t.co/lrF56c7gYw",Thu May 18 21:23:48 +0000 2017
war,HazDaddySlim,@BreezyTheButt reacting to the possibility of nuclear war https://t.co/hELMW74v6N,Thu May 18 21:23:48 +0000 2017
war,sanjselvaMBAPMP,"RT @JustinTrudeau: On the 8th anniversary of the end of 26 years of war in Sri Lanka, we honour the lives lost: https://t.co/IRYOAZXl9L",Thu May 18 21:23:48 +0000 2017
war,isabelailie,"RT @dubstep4dads: its summer 2017 😈😤that means..
dudes wearin rompers 😍😜
late night fidget spinning 😎😆
possible world war 😮😳
tucking ur hom…",Thu May 18 21:23:48 +0000 2017
war,War_For_Ya_Soul,FLAME is always spitting truth in his lyrics!! #RoyalFlush #Forward,Thu May 18 21:23:47 +0000 2017
war,TweetyDahine,"@mkraju 18 tweets by various msm stating the same thing. you guys at
war?",Thu May 18 21:23:46 +0000 2017
war,JGadiPeller,RT @JGadiPeller: @darokr1 @JoeDouglas1 @samibedouin @AngryScreed @khan1952 @HelenaKasp @empressborn @schlockDoctrine @RokedvMagen @OccuPale…,Thu May 18 21:23:45 +0000 2017
war,MiniThin,try to impeach trump and it will be CIVIL WAR ROUND 2! no protests! just fucking WAR!,Thu May 18 21:23:45 +0000 2017
war,US_Intel,@imperienytt You keep re-arming the taliban...we keep having to kill them. It's our own little proxy war.,Thu May 18 21:23:45 +0000 2017
war,A7medJa7af,"As long as the UK, US &amp; France keeps sponsoring Saudi’s war in Yemen civilians are going to continue to die from bo… https://t.co/9upanq8KlH",Thu May 18 21:23:44 +0000 2017
war,gregshine,@DanielleGembala @Ebonyteach Also @NatlParkService resources at Presidio like https://t.co/psGFbpXtcS &amp;… https://t.co/UDJRvfGk6T,Thu May 18 21:23:44 +0000 2017
war,iGotTheJuiceBro,@hg_cutie hopefully trump start a war or something then I will go sign up for the marines or sum. Earth overrated. same result,Thu May 18 21:23:44 +0000 2017
war,guidossss,RT @Bud_Doggin: They are not going away easily. This is turning into full scale war! https://t.co/Xn6CtyX0Gg,Thu May 18 21:23:44 +0000 2017
