category,user,tweet,time
watch,SonicologyMusic,Greetings Earthling thanks FF @johntayles the wisdom of the cosmos lies in this link https://t.co/acJxTsiZNt,Fri May 12 02:12:20 +0000 2017
watch,nadyuh_,RT @MAGCONUpdates: Watch @CameronDallas get turned into a Harajuku boy by @RinRin_Doll! Full video here: https://t.co/3a36Yz7u7w https://t.…,Fri May 12 02:12:20 +0000 2017
watch,ktothvisuals,"""If you are in the habit of shitting on people.."" #festool https://t.co/wL35ZlPwwp",Fri May 12 02:12:20 +0000 2017
watch,_yaeeyaee,RT @girlstripmovie: You deserve this. Watch the new #GirlsTrip trailer now. https://t.co/nRDrY4b9Yo,Fri May 12 02:12:20 +0000 2017
watch,volkzjager,Euroboat  -  [Initial D - Nights of Fire - Eurobeat] https://t.co/QgjFJgUbBP via @YouTube,Fri May 12 02:12:20 +0000 2017
watch,A3zzen,"RT @RV_doubleS: 170511 #RedVelvet on CD dol - MTV 我愛偶像 Idols of Asia [Part 2]
▶️ https://t.co/x3zmUlxW2A
Source:MTV Taiwan 
#DoubleS 🐻🐹 htt…",Fri May 12 02:12:20 +0000 2017
watch,donnamarie827,@DanaPerino @TheFive Can we please replace Bob...he doesn't even check his facts before speaking! If I wanted to li… https://t.co/KlcjXEZq91,Fri May 12 02:12:20 +0000 2017
watch,CoachMMacDonald,"Success isn't built in a day, it's built daily
https://t.co/pHobqor07v #success #goals #habits #leadership #successhabits #dailyhabits",Fri May 12 02:12:20 +0000 2017
watch,ughjofni,The Jelly Bean Story https://t.co/PYpdyl5PTI,Fri May 12 02:12:20 +0000 2017
watch,franktbh,Now it's time to watch Moonrise Kingdom omg two Wes Anderson films in one day?! https://t.co/b0QozGiSeY,Fri May 12 02:12:20 +0000 2017
watch,QuinnJohnston9,I liked a @YouTube video https://t.co/W9RPn5cft8 Minecraft Is Now on Nintendo Switch. Let's See How Long Until I off Myself.,Fri May 12 02:12:20 +0000 2017
watch,_BALLSOFGLORY69,I liked a @YouTube video https://t.co/nNkdUgUe0o OVERPOWERED NEW DLC!?,Fri May 12 02:12:20 +0000 2017
watch,TaraLaRosa,Well this is taking longer than I thought.. Damn Zelda! NES nostalgia night continues! #TheLegendofZelda #twitch https://t.co/jaVxKdPvQT,Fri May 12 02:12:20 +0000 2017
watch,playmymusic25,The Week Before Finals: https://t.co/Ak7klz0MlS via @YouTube,Fri May 12 02:12:20 +0000 2017
watch,Juan_anthonyjr_,RT @degostee: Watch this throwback 😂#BowWowChallenge https://t.co/bcJ9Bugjmn,Fri May 12 02:12:20 +0000 2017
watch,JimRile74214272,"RT @eissolomon11: 🔍10 Major FBI Scandals on Comey's 
Watch ⚠️

#FBI Was Aware of Most Terrorist Attacks in the Past 8years

FBI lost Credib…",Fri May 12 02:12:20 +0000 2017
watch,JaganJindal,RT @tarsem_insan: @insan_honey @Gurmeetramrahim Watch MSG as a SSS &amp; MASTER in His upcoming movie !! i am really excited to know more about…,Fri May 12 02:12:20 +0000 2017
watch,hobmins,i wish this wasn't prerecorded (bc we know they can do the vocals live) but they still did so well am proud https://t.co/7aTW4yNmHv,Fri May 12 02:12:20 +0000 2017
watch,novajoxo,come watch the stream w/ me or ur mom is gonna be my bitch https://t.co/NqkTIrE5p2,Fri May 12 02:12:19 +0000 2017
watch,chris_9388,"RT @LoganPaul: New Vlog is up... it's... uh... 
haha just go watch it ➡️ https://t.co/dPmXzLoz6X https://t.co/hJU9uQZOIe",Fri May 12 02:12:19 +0000 2017
watch,ellehcin_,RT @freeee_cw: Watch who u vent to. A listening ear can be a running mouth,Fri May 12 02:12:19 +0000 2017
watch,EDMlover1111,DJ Obek ft. Ambush - Craissy 2K12 (Albert Neve &amp; Chuckie 2K12 Remix) https://t.co/BwVOtGHIlQ,Fri May 12 02:12:19 +0000 2017
watch,MattyCoonz,"RT @EverydayStrugg: Here we go. You can only pick one, which Kanye album is a classic. Then watch the latest #EveryDayStruggle episode: htt…",Fri May 12 02:12:19 +0000 2017
watch,Voz457,"Kickass show last night @soundgarden 
https://t.co/UCtLfmuzsM",Fri May 12 02:12:19 +0000 2017
watch,Matthewjohnbak3,WATCH: Seven refugees on trial after setting homeless man on FIRE on Christmas and LAUGHING about it https://t.co/5be7AdCLkn,Fri May 12 02:12:19 +0000 2017
watch,AskLuisCraveiro,Hi @Aunty_ChiChi made a quick video to say hello https://t.co/P2uzg5Zvfd . Thanks for following and wish you a great day :),Fri May 12 02:12:19 +0000 2017
watch,ThinkFactory_,https://t.co/wuyoCYDlXA Check Out #MMAFallout Ep15! #UFC Commentating! #UFC211 #UFCDallas #CommonSense Subscribe! #YouTube /ThinkFactory_,Fri May 12 02:12:19 +0000 2017
watch,NE_xManiac,I liked a @YouTube video https://t.co/4yJqIpyOTU Status of Youtube &amp; My Channels,Fri May 12 02:12:19 +0000 2017
watch,daphneflores04,"RT @jccaylen: SEASON FINALE OF H8TERS IS UP ON THE FULLSCREEN APP !! DOWNLOAD THAT SHIZ FOR FREE &amp; BINGE WATCH THE WHOLE SEASON RN!

I'm wa…",Fri May 12 02:12:19 +0000 2017
watch,edwinpierrot26,"RT @GM_Brillo: It's been amazing to watch the outpouring of love &amp; support for @geroysimon &amp; his family. Thank you!

@BCLions @CFL

https:/…",Fri May 12 02:12:19 +0000 2017
watch,_BlueEyedBlond_,"RT @MeanSoup_Media: https://t.co/XzjL6EJ1jF

Fifa 17 ultimate team gameplay. Silver team road to division one. 

Twitter @futheadunderdog
I…",Fri May 12 02:12:19 +0000 2017
watch,13Valeria,Made it in time to watch @NBCBlacklist #TheBlacklist,Fri May 12 02:12:19 +0000 2017
watch,Tree26,https://t.co/qb4khrLakP hello live cam,Fri May 12 02:12:19 +0000 2017
watch,spookycil,RT @blameflex: RIP BIG BLACK !! I can't help but find and watch old clips of rob and big right now #classic https://t.co/LtJapdOefd,Fri May 12 02:12:19 +0000 2017
