category,user,tweet,time
watch,HDwillvideos,I liked a @YouTube video https://t.co/pJ7AG7XbMR CANADA VS THE WORLD,Fri May 19 10:46:28 +0000 2017
watch,dawdlerMe,"RT @KeralaTourism: At Shangumukham, a laid​-back 35-metre-long cement mermaid keeps watch over the sea. https://t.co/ADUAO6Y60T",Fri May 19 10:46:28 +0000 2017
watch,BTJM_0000,RT @bts_bbmas_vote: May he vote @BTS_twt for #BTSBBMAs https://t.co/eVfYgYkGKB,Fri May 19 10:46:28 +0000 2017
watch,MiraMango01,RT @AnieCh22: stop hitting them up first and watch y'all never talk again,Fri May 19 10:46:28 +0000 2017
watch,ZaynnJb,"RT @Harry_Styles: Sign of the Times. 

https://t.co/aQLHn9bI5X",Fri May 19 10:46:28 +0000 2017
watch,ShadowTheo,Action: https://t.co/hPViU0XdoE via @YouTube,Fri May 19 10:46:28 +0000 2017
watch,Chrissy_4744,"@RealTrump2016 I am praying for you. Proud of all that you have done. Looking forward to what God will do yet still
.https://t.co/7wSk5DZBpF",Fri May 19 10:46:28 +0000 2017
watch,miluaman,I liked a @YouTube video https://t.co/FTiFtW1BHI SOUNDGARDEN *BLACK HOLE SUN* live in DETROIT Fox Theatre 5/17/2017 HD,Fri May 19 10:46:28 +0000 2017
watch,afshal_rahman,"RT @Karthi_Offl: .@Rohinimolleti ma what a beautiful title! #AppavinMeesai
Congrats on your directional debut! https://t.co/4kXec71xl3",Fri May 19 10:46:28 +0000 2017
watch,dutlstmfql,RT @bts_bbmas_vote: I probably vote @BTS_twt for #BTSBBMAs https://t.co/Fr4hGbfpAb,Fri May 19 10:46:28 +0000 2017
watch,kblue22khj,RT @bts_bbmas_vote: May she vote @BTS_twt for #BTSBBMAs https://t.co/Fr4hGbfpAb,Fri May 19 10:46:28 +0000 2017
watch,caratdeul_,"RT @FALLinHOSH: Watch the MV til the end in Svt official channel
720p(or highest quality inthe device)
volume⬆50%
dont login
clean history&amp;…",Fri May 19 10:46:28 +0000 2017
watch,ForeverBTS_0430,RT @bts_bbmas_vote: LOVE  vote @BTS_twt for #BTSBBMAs     https://t.co/Fr4hGbfpAb,Fri May 19 10:46:28 +0000 2017
watch,daengdaeng_,RT @bts_bbmas_vote: I could vote @BTS_twt for #BTSBBMAs https://t.co/Fr4hGbfpAb,Fri May 19 10:46:28 +0000 2017
watch,AntStiller,"RT @rob_caporetto: https://t.co/BQlKbPc7fk

NEW VIDEO: Tranz Am for the Spectrum! A game of driving through Post-Apocalypse America, and ""r…",Fri May 19 10:46:28 +0000 2017
watch,NICKB0E,RT @dodo: Watch this dog get carried up the escalator https://t.co/Uu3RK0RC8S,Fri May 19 10:46:28 +0000 2017
watch,cikkurthi1,Prabhas As A Brand Ambassador To Gionne Company | LR Media https://t.co/fs1PBqztPz via @YouTube,Fri May 19 10:46:28 +0000 2017
watch,duykhang1904,"RT @DrakeMoon: Elite Case for the strongest players by https://t.co/IwqpmwNWy6!

-RT, Like, Follow
-Affi code 
-Like + Sub https://t.co/3Xz…",Fri May 19 10:46:28 +0000 2017
watch,fabianjow123,"I liked a @YouTube video https://t.co/7Ce0rruimD DJ Khaled - I'm the One ft. Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",Fri May 19 10:46:27 +0000 2017
watch,__KRoshay,"RT @TBanSA: Watch my #DamnKendrickBattle 
LOVE  💔😿 ( Those word came out my heart she knows ) 

Help me win by only  ¤▪ Retweeting ○• this…",Fri May 19 10:46:27 +0000 2017
watch,marta_rose,RT @Popehat: It's pretty shocking when @radleybalko puts it all in one place:  @SheriffClarke is a genuinely evil totalitarian.  https://t.…,Fri May 19 10:46:27 +0000 2017
watch,mijakarlas,RT @JoJoWright: LOOK WHO I FOUND! @Camila_Cabello &amp; MOM!!! #CabelloSandwich (I'm in the middle) #CryingInTheClub 👉🏽 https://t.co/Uutyqb4VDB…,Fri May 19 10:46:27 +0000 2017
watch,renebolf,Tim Armstrong Acoustic NAMM 2017 https://t.co/t1Wt0FNOWl via @YouTube,Fri May 19 10:46:27 +0000 2017
