category,user,tweet,time
work,rutabekah,I've tried to work on this paper all day and I have written literally a paragraph😒,Mon May 15 18:42:06 +0000 2017
work,aypaybaybay,I'm skipping work to film and edit a video and then go on a hike with squad tonight.,Mon May 15 18:42:06 +0000 2017
work,bweinert,RT @laurenmartire: Hard work pays off for students like @EastSideTSI Martin who is now @CompTIA A+ certified #leydenpride @LeydenBusEd http…,Mon May 15 18:42:06 +0000 2017
work,izzyb628,@marlymcneal @ChrisMzCarrell I tried this for my accounting final and it didn't work☹️,Mon May 15 18:42:06 +0000 2017
work,villechurch,"Sometimes life throws us curveballs; everything doesn't always work out as we planned, but we… https://t.co/7qhjFRZDTK",Mon May 15 18:42:06 +0000 2017
work,MeliissaLizeth,"Like I've never heard my step dad say""I love you"" to me.But the way he shows he cares is by wanting to beat the shit out of an ex @ his work",Mon May 15 18:42:06 +0000 2017
work,tmj_phx_banking,"If you're looking for work in #Phoenix, AZ, check out this #job: https://t.co/RSgOe7VRNv #Banking #Veterans #Hiring… https://t.co/GdPF9lP0Oc",Mon May 15 18:42:06 +0000 2017
work,SupaahMariaa,RT @bbygiirlzo: @ college profs: stop assigning group projects bc i hate havin to rely on other ppl to complete work &amp; none of us can even…,Mon May 15 18:42:06 +0000 2017
work,DunnoAbout,"RT @JAmy208: MT @gunluvngal: Gun Free Zones Don't Work! Ask Chicago, during Obama Presidency, CPD Records 3917 deaths. https://t.co/9ovP7j4…",Mon May 15 18:42:06 +0000 2017
work,_DailyDoodle,"RT @kenriots: #mondaymotivation #MondayMorning Sizing up this new work week like..
#OnceUponATime #picture #drawings #sketchbook #dailydood…",Mon May 15 18:42:06 +0000 2017
work,flowerchild0927,I'm too tired to be at work today 😅,Mon May 15 18:42:06 +0000 2017
work,chelseasclarke,This work is stressing me outttttg,Mon May 15 18:42:06 +0000 2017
work,Seven332975,"RT @simenona: One morning on my way to work, I was walking in the building &amp; a group of 40 men rose to their feets &amp; gave me a standing ova…",Mon May 15 18:42:06 +0000 2017
work,HussainIbnAT,"RT @CCDawah: May Allāh reward ustaadh @AbuIyaadSP with good for this forthcoming book
Knowing the subject matter, it's greatly needed for o…",Mon May 15 18:42:06 +0000 2017
work,christalwisdom,"RT @kyIiefeed: We're all a work in progress. We're not perfect. As long as we're trying to be better than we were yesterday, that's all tha…",Mon May 15 18:42:06 +0000 2017
work,tmj_MIN_health,"Want to work at CVS Health? We're #hiring in #AnnArbor, MI! Click for details: https://t.co/G3dZWBE1Ca #Healthcare… https://t.co/yJppNnYRH2",Mon May 15 18:42:05 +0000 2017
work,CragMask,@ work like https://t.co/Affj4znsZj,Mon May 15 18:42:05 +0000 2017
work,chelsswhittaker,"RT @simenona: One morning on my way to work, I was walking in the building &amp; a group of 40 men rose to their feets &amp; gave me a standing ova…",Mon May 15 18:42:05 +0000 2017
work,nyasshoIe,"me: wow i have a lot of work to be doing
me: isnt.",Mon May 15 18:42:05 +0000 2017
work,JumBob57,RT @tomcopley: 55% of people living in poverty are in work https://t.co/W3vkr1k46n,Mon May 15 18:42:05 +0000 2017
work,1Fatx2Bih,I already work to much this really gone do it,Mon May 15 18:42:05 +0000 2017
work,HearthWitch,"RT @jewelsncorbin: Voting today with some of my fave BTS gifs and memes. 😁😁😁 ""We work very hard"" YES THEY DO! 😍😍

My vote is for @BTS_twt #…",Mon May 15 18:42:05 +0000 2017
work,sagittarian6811,"RT @fthotladies: If people knew how hard I had to work to gain my mastery, it wouldn’t seem wonderful at all.
#ALDUB22ndMonthsary",Mon May 15 18:42:05 +0000 2017
work,prettygalshanaz,20 mins till bae come home from work😙😙😙😙😙😙,Mon May 15 18:42:05 +0000 2017
